label,seed_u64,route_attempted,lawful,near_cov,near_fw,has_verb,has_true,has_decl_pattern,flint_pass,generic_pass,cadence_pass,context_pass,final_status
HEAD_001_v52,2337,GRID_W14_ROWS,MOCK,0.900,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_008_v52,9337,GRID_W14_ROWS,MOCK,0.918,5,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_009_v52,10337,GRID_W14_ROWS,MOCK,0.895,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_010_v52,11337,GRID_W14_ROWS,MOCK,0.907,6,True,True,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_014_v52,15337,GRID_W14_ROWS,MOCK,0.891,5,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_021_v52,22337,GRID_W14_ROWS,MOCK,0.900,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_023_v52,24337,GRID_W14_ROWS,MOCK,0.910,6,True,True,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_025_v52,26337,GRID_W14_ROWS,MOCK,0.898,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_027_v52,28337,GRID_W14_ROWS,MOCK,0.919,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_034_v52,35337,GRID_W14_ROWS,MOCK,0.920,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_035_v52,36337,GRID_W14_ROWS,MOCK,0.888,5,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_039_v52,40337,GRID_W14_ROWS,MOCK,0.921,5,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_041_v52,42337,GRID_W14_ROWS,MOCK,0.886,5,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_043_v52,44337,GRID_W14_ROWS,MOCK,0.889,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_046_v52,47337,GRID_W14_ROWS,MOCK,0.898,7,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_049_v52,50337,GRID_W14_ROWS,MOCK,0.923,5,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_051_v52,52337,GRID_W14_ROWS,MOCK,0.927,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_053_v52,54337,GRID_W14_ROWS,MOCK,0.902,5,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_058_v52,59337,GRID_W14_ROWS,MOCK,0.904,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_061_v52,62337,GRID_W14_ROWS,MOCK,0.913,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_062_v52,63337,GRID_W14_ROWS,MOCK,0.895,5,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_064_v52,65337,GRID_W14_ROWS,MOCK,0.897,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_066_v52,67337,GRID_W14_ROWS,MOCK,0.889,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_067_v52,68337,GRID_W14_ROWS,MOCK,0.892,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_071_v52,72337,GRID_W14_ROWS,MOCK,0.894,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_072_v52,73337,GRID_W14_ROWS,MOCK,0.892,5,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_078_v52,79337,GRID_W14_ROWS,MOCK,0.895,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_079_v52,80337,GRID_W14_ROWS,MOCK,0.895,5,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_080_v52,81337,GRID_W14_ROWS,MOCK,0.886,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_081_v52,82337,GRID_W14_ROWS,MOCK,0.924,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_084_v52,85337,GRID_W14_ROWS,MOCK,0.901,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_086_v52,87337,GRID_W14_ROWS,MOCK,0.902,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_087_v52,88337,GRID_W14_ROWS,MOCK,0.895,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_092_v52,93337,GRID_W14_ROWS,MOCK,0.891,5,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_093_v52,94337,GRID_W14_ROWS,MOCK,0.891,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_095_v52,96337,GRID_W14_ROWS,MOCK,0.886,5,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_097_v52,98337,GRID_W14_ROWS,MOCK,0.929,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_099_v52,100337,GRID_W14_ROWS,MOCK,0.904,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_100_v52,101337,GRID_W14_ROWS,MOCK,0.929,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_104_v52,105337,GRID_W14_ROWS,MOCK,0.894,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_105_v52,106337,GRID_W14_ROWS,MOCK,0.912,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_106_v52,107337,GRID_W14_ROWS,MOCK,0.923,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_110_v52,111337,GRID_W14_ROWS,MOCK,0.921,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_114_v52,115337,GRID_W14_ROWS,MOCK,0.900,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_116_v52,117337,GRID_W14_ROWS,MOCK,0.920,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_117_v52,118337,GRID_W14_ROWS,MOCK,0.907,7,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_122_v52,123337,GRID_W14_ROWS,MOCK,0.903,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_124_v52,125337,GRID_W14_ROWS,MOCK,0.922,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
HEAD_125_v52,126337,GRID_W14_ROWS,MOCK,0.885,6,True,False,False,False,TBD,TBD,TBD,FAIL_NEAR
