label,seed,f_words_gaps,f_words_post,verbs_gaps,verbs_post,coverage,pass_pre,pass_post,has_true
HEAD_001_v522,1347869131,10,10,2,2,0.851366147847159,True,True,False
HEAD_002_v522,1307083474,10,5,2,1,0.9324094368822691,True,False,False
HEAD_003_v522,721141392,10,10,2,2,0.8886183596591228,True,True,False
HEAD_004_v522,194218375,10,5,2,1,0.8761453087760497,True,False,False
HEAD_005_v522,4112672342,10,10,2,2,0.9367433247466678,True,True,False
HEAD_006_v522,3915570387,10,5,2,1,0.9211073085788171,True,False,False
HEAD_007_v522,2031331856,10,10,2,2,0.863481765300818,True,True,False
HEAD_008_v522,2162137312,10,5,2,1,0.8553556935556098,True,False,False
HEAD_009_v522,2828520172,10,10,2,2,0.8817457517868722,True,True,False
HEAD_010_v522,3117042047,10,10,2,2,0.8725171383361074,True,True,False
HEAD_011_v522,4286387830,10,5,2,1,0.8712336075978828,True,False,False
HEAD_012_v522,1211176199,10,10,2,2,0.9136864401020719,True,True,False
HEAD_013_v522,3296504130,10,10,2,2,0.8615246048795411,True,True,False
HEAD_014_v522,3924970151,10,5,2,1,0.9406606157372838,True,False,False
HEAD_015_v522,356970106,10,10,2,2,0.8565567043197253,True,True,False
HEAD_016_v522,542102286,10,5,2,1,0.9069229836027257,True,False,False
HEAD_017_v522,522634920,10,5,2,1,0.9272779817280323,True,False,False
HEAD_018_v522,4121099667,10,10,2,2,0.8538798181754682,True,True,False
HEAD_019_v522,731509864,10,10,2,2,0.8623893868723611,True,True,False
HEAD_020_v522,1024714096,10,5,2,1,0.9106624443209462,True,False,False
HEAD_021_v522,1493530027,10,5,2,1,0.8516420334338483,True,False,False
HEAD_022_v522,1210555810,10,5,2,1,0.8764575052279431,True,False,False
HEAD_023_v522,1313682405,10,10,2,2,0.8652006910882329,True,True,False
HEAD_024_v522,3477254126,10,10,2,2,0.858703783207381,True,True,False
HEAD_025_v522,1190973456,8,3,3,2,0.9323173729986913,True,False,False
HEAD_026_v522,13031465,10,10,2,2,0.8874218609429482,True,True,False
HEAD_027_v522,495789902,10,5,2,1,0.8881757171912064,True,False,False
HEAD_028_v522,477323039,10,5,2,1,0.9205381303312435,True,False,False
HEAD_029_v522,2592699864,10,10,2,2,0.9125238812542293,True,True,False
HEAD_030_v522,408315979,10,10,2,2,0.9365460775285572,True,True,False
HEAD_031_v522,1957738319,10,10,2,2,0.9206131757949356,True,True,False
HEAD_032_v522,2204476547,10,10,2,2,0.9052388613753625,True,True,False
HEAD_033_v522,1866425528,10,5,2,1,0.9135810042963797,True,False,False
HEAD_034_v522,1029976309,10,5,2,1,0.919775910601678,True,False,False
HEAD_035_v522,408360522,10,10,2,2,0.9230347766754755,True,True,False
HEAD_036_v522,3442345846,10,10,2,2,0.8593865947342378,True,True,False
HEAD_037_v522,132838776,10,5,2,1,0.936726670196984,True,False,False
HEAD_038_v522,309601815,10,5,2,1,0.8643075291855793,True,False,False
HEAD_039_v522,2967148246,10,5,2,1,0.887545818142266,True,False,False
HEAD_040_v522,1871667753,10,10,2,2,0.8512417788733755,True,True,False
HEAD_041_v522,1112659364,10,5,2,1,0.8723856119835215,True,False,False
HEAD_042_v522,3549756331,10,10,2,2,0.9191117894334879,True,True,False
HEAD_043_v522,659797323,10,5,2,1,0.85828786072753,True,False,False
HEAD_044_v522,3667196979,10,5,2,1,0.9392883014177009,True,False,False
HEAD_045_v522,1756132111,10,5,2,1,0.8702262370497578,True,False,False
HEAD_046_v522,3720588660,10,10,2,2,0.9109895361068487,True,True,False
HEAD_047_v522,2431167230,10,10,2,2,0.9451674317223364,True,True,False
HEAD_048_v522,3983506774,10,10,2,2,0.9498715798909103,True,True,False
HEAD_049_v522,3176669684,10,5,2,1,0.9264245848838477,True,False,False
HEAD_050_v522,4148092801,10,10,2,2,0.9429081656659021,True,True,False
