strategy,k,derived_count,closed,sha_match
prefix,1,48,False,False
prefix,2,49,False,False
prefix,3,50,False,False
prefix,4,51,False,False
prefix,5,52,False,False
prefix,6,53,False,False
prefix,7,54,False,False
prefix,8,55,False,False
prefix,9,56,False,False
prefix,10,57,False,False
prefix,11,58,False,False
prefix,12,59,False,False
prefix,13,60,False,False
prefix,14,61,False,False
prefix,15,62,False,False
prefix,16,63,False,False
prefix,17,64,False,False
prefix,18,65,False,False
prefix,19,66,False,False
prefix,20,67,False,False
prefix,21,68,False,False
prefix,22,68,False,False
prefix,23,68,False,False
prefix,24,68,False,False
prefix,25,68,False,False
prefix,26,68,False,False
prefix,27,68,False,False
prefix,28,68,False,False
prefix,29,68,False,False
prefix,30,68,False,False
every_3th,1,48,False,False
every_3th,2,49,False,False
every_3th,3,50,False,False
every_3th,4,51,False,False
every_3th,5,52,False,False
every_3th,6,53,False,False
every_3th,7,54,False,False
every_3th,8,54,False,False
every_3th,9,54,False,False
every_3th,10,54,False,False
every_3th,11,54,False,False
every_3th,12,54,False,False
every_3th,13,55,False,False
every_3th,14,56,False,False
every_3th,15,57,False,False
every_3th,16,58,False,False
every_3th,17,59,False,False
every_3th,18,60,False,False
every_3th,19,61,False,False
every_3th,20,62,False,False
every_3th,21,63,False,False
every_3th,22,63,False,False
every_3th,23,63,False,False
every_3th,24,63,False,False
greedy,1,48,False,False
greedy,2,49,False,False
greedy,3,50,False,False
greedy,4,51,False,False
greedy,5,52,False,False
greedy,6,53,False,False
greedy,7,54,False,False
greedy,8,55,False,False
greedy,9,56,False,False
greedy,10,57,False,False
greedy,11,58,False,False
greedy,12,59,False,False
greedy,13,60,False,False
greedy,14,61,False,False
greedy,15,62,False,False
greedy,16,63,False,False
greedy,17,64,False,False
greedy,18,65,False,False
greedy,19,66,False,False
greedy,20,67,False,False
greedy,21,68,False,False
greedy,22,69,False,False
greedy,23,70,False,False
greedy,24,71,False,False
greedy,25,72,False,False
greedy,26,73,False,False
greedy,27,74,False,False
greedy,28,75,False,False
greedy,29,76,False,False
greedy,30,77,False,False
greedy,31,78,False,False
greedy,32,79,False,False
greedy,33,80,False,False
greedy,34,81,False,False
greedy,35,82,False,False
greedy,36,83,False,False
greedy,37,84,False,False
greedy,38,85,False,False
greedy,39,86,False,False
greedy,40,87,False,False
greedy,41,88,False,False
greedy,42,89,False,False
greedy,43,90,False,False
greedy,44,91,False,False
greedy,45,92,False,False
greedy,46,93,False,False
greedy,47,94,False,False
greedy,48,95,False,False
greedy,49,96,False,False
greedy,50,97,True,True
