run_id,constraints_used,classes_json,undetermined_indices_json,undetermined_count,per_class_missing_slots_json
0,anchors_only,"{""0"": 17, ""1"": 16, ""2"": 16, ""3"": 16, ""4"": 16, ""5"": 16}","[9, 14, 15, 16, 17, 18, 19, 20, 39, 44, 45, 46, 47, 48, 49, 50, 51, 57, 74, 75, 76, 77, 78, 79, 80, 81]",26,"{""3"": [9, 4, 6, 1, 7, 2], ""2"": [4, 0], ""1"": [6], ""5"": [7], ""0"": [8], ""4"": [9]}"
1,anchors_only,"{""0"": 17, ""1"": 16, ""2"": 16, ""3"": 16, ""4"": 16, ""5"": 16}","[9, 14, 15, 16, 17, 18, 19, 20, 21, 39, 44, 45, 46, 47, 48, 49, 50, 51, 57, 74, 75, 76, 77, 78, 79, 80, 81, 87]",28,"{""3"": [9, 4, 10, 6, 1, 7, 2], ""2"": [4, 0], ""1"": [6], ""5"": [7], ""0"": [8], ""4"": [9]}"
2,anchors_only,"{""0"": 17, ""1"": 16, ""2"": 16, ""3"": 16, ""4"": 16, ""5"": 16}","[9, 14, 15, 16, 17, 18, 19, 20, 22, 39, 44, 45, 46, 47, 48, 49, 50, 51, 52, 57, 74, 75, 76, 77, 78, 79, 80, 81, 82]",29,"{""3"": [9, 4, 6, 1, 7, 2], ""2"": [4, 0], ""1"": [6, 2], ""5"": [7], ""0"": [8], ""4"": [9]}"
3,anchors_only,"{""0"": 17, ""1"": 16, ""2"": 16, ""3"": 16, ""4"": 16, ""5"": 16}","[9, 14, 15, 16, 17, 18, 19, 20, 23, 39, 44, 45, 46, 47, 48, 49, 50, 51, 53, 57, 74, 75, 76, 77, 78, 79, 80, 81, 83]",29,"{""3"": [9, 4, 6, 1, 7, 2], ""2"": [4, 0], ""1"": [6], ""5"": [7, 3], ""0"": [8], ""4"": [9]}"
4,anchors_only,"{""0"": 17, ""1"": 16, ""2"": 16, ""3"": 16, ""4"": 16, ""5"": 16}","[9, 14, 15, 16, 17, 18, 19, 20, 24, 39, 44, 45, 46, 47, 48, 49, 50, 51, 54, 57, 74, 75, 76, 77, 78, 79, 80, 81, 84]",29,"{""3"": [9, 4, 6, 1, 7, 2], ""2"": [4, 0], ""1"": [6], ""5"": [7], ""0"": [8, 4], ""4"": [9]}"
5,anchors_only,"{""0"": 17, ""1"": 16, ""2"": 16, ""3"": 16, ""4"": 16, ""5"": 16}","[9, 14, 15, 16, 17, 18, 19, 20, 25, 39, 44, 45, 46, 47, 48, 49, 50, 51, 55, 57, 74, 75, 76, 77, 78, 79, 80, 81, 85]",29,"{""3"": [9, 4, 6, 1, 7, 2], ""2"": [4, 0], ""1"": [6], ""5"": [7], ""0"": [8], ""4"": [9, 5]}"
6,anchors_only,"{""0"": 17, ""1"": 16, ""2"": 16, ""3"": 16, ""4"": 16, ""5"": 16}","[9, 14, 15, 16, 17, 18, 19, 20, 26, 39, 44, 45, 46, 47, 48, 49, 50, 51, 56, 57, 74, 75, 76, 77, 78, 79, 80, 81, 86]",29,"{""3"": [9, 4, 6, 1, 7, 2], ""2"": [4, 0, 6], ""1"": [6], ""5"": [7], ""0"": [8], ""4"": [9]}"
7,anchors_only,"{""0"": 17, ""1"": 16, ""2"": 16, ""3"": 16, ""4"": 16, ""5"": 16}","[9, 14, 15, 16, 17, 18, 19, 20, 27, 39, 44, 45, 46, 47, 48, 49, 50, 51, 57, 74, 75, 76, 77, 78, 79, 80, 81, 93]",28,"{""3"": [9, 4, 5, 6, 1, 7, 2], ""2"": [4, 0], ""1"": [6], ""5"": [7], ""0"": [8], ""4"": [9]}"
8,anchors_only,"{""0"": 17, ""1"": 16, ""2"": 16, ""3"": 16, ""4"": 16, ""5"": 16}","[9, 14, 15, 16, 17, 18, 19, 20, 28, 39, 44, 45, 46, 47, 48, 49, 50, 51, 57, 58, 74, 75, 76, 77, 78, 79, 80, 81, 88]",29,"{""3"": [9, 4, 6, 1, 7, 2], ""2"": [4, 0], ""1"": [6, 8], ""5"": [7], ""0"": [8], ""4"": [9]}"
9,anchors_only,"{""0"": 17, ""1"": 16, ""2"": 16, ""3"": 16, ""4"": 16, ""5"": 16}","[9, 14, 15, 16, 17, 18, 19, 20, 29, 39, 44, 45, 46, 47, 48, 49, 50, 51, 57, 59, 74, 75, 76, 77, 78, 79, 80, 81, 89]",29,"{""3"": [9, 4, 6, 1, 7, 2], ""2"": [4, 0], ""1"": [6], ""5"": [7, 9], ""0"": [8], ""4"": [9]}"
10,anchors_only,"{""0"": 17, ""1"": 16, ""2"": 16, ""3"": 16, ""4"": 16, ""5"": 16}","[0, 9, 14, 15, 16, 17, 18, 19, 20, 30, 39, 44, 45, 46, 47, 48, 49, 50, 51, 57, 60, 74, 75, 76, 77, 78, 79, 80, 81, 90]",30,"{""0"": [0, 8], ""3"": [9, 4, 6, 1, 7, 2], ""2"": [4, 0], ""1"": [6], ""5"": [7], ""4"": [9]}"
11,anchors_only,"{""0"": 17, ""1"": 16, ""2"": 16, ""3"": 16, ""4"": 16, ""5"": 16}","[9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 39, 44, 45, 46, 47, 48, 49, 50, 51, 52, 57, 74, 75, 76, 77, 78, 79, 80, 81, 82, 87]",31,"{""3"": [9, 4, 10, 6, 1, 7, 2], ""2"": [4, 0], ""1"": [6, 2], ""5"": [7], ""0"": [8], ""4"": [9]}"
12,anchors_only,"{""0"": 17, ""1"": 16, ""2"": 16, ""3"": 16, ""4"": 16, ""5"": 16}","[9, 14, 15, 16, 17, 18, 19, 20, 21, 23, 39, 44, 45, 46, 47, 48, 49, 50, 51, 53, 57, 74, 75, 76, 77, 78, 79, 80, 81, 83, 87]",31,"{""3"": [9, 4, 10, 6, 1, 7, 2], ""2"": [4, 0], ""1"": [6], ""5"": [7, 3], ""0"": [8], ""4"": [9]}"
13,anchors_only,"{""0"": 17, ""1"": 16, ""2"": 16, ""3"": 16, ""4"": 16, ""5"": 16}","[9, 14, 15, 16, 17, 18, 19, 20, 21, 24, 39, 44, 45, 46, 47, 48, 49, 50, 51, 54, 57, 74, 75, 76, 77, 78, 79, 80, 81, 84, 87]",31,"{""3"": [9, 4, 10, 6, 1, 7, 2], ""2"": [4, 0], ""1"": [6], ""5"": [7], ""0"": [8, 4], ""4"": [9]}"
14,anchors_only,"{""0"": 17, ""1"": 16, ""2"": 16, ""3"": 16, ""4"": 16, ""5"": 16}","[9, 14, 15, 16, 17, 18, 19, 20, 21, 25, 39, 44, 45, 46, 47, 48, 49, 50, 51, 55, 57, 74, 75, 76, 77, 78, 79, 80, 81, 85, 87]",31,"{""3"": [9, 4, 10, 6, 1, 7, 2], ""2"": [4, 0], ""1"": [6], ""5"": [7], ""0"": [8], ""4"": [9, 5]}"
15,anchors_only,"{""0"": 17, ""1"": 16, ""2"": 16, ""3"": 16, ""4"": 16, ""5"": 16}","[9, 14, 15, 16, 17, 18, 19, 20, 21, 26, 39, 44, 45, 46, 47, 48, 49, 50, 51, 56, 57, 74, 75, 76, 77, 78, 79, 80, 81, 86, 87]",31,"{""3"": [9, 4, 10, 6, 1, 7, 2], ""2"": [4, 0, 6], ""1"": [6], ""5"": [7], ""0"": [8], ""4"": [9]}"
16,anchors_only,"{""0"": 17, ""1"": 16, ""2"": 16, ""3"": 16, ""4"": 16, ""5"": 16}","[9, 14, 15, 16, 17, 18, 19, 20, 21, 27, 39, 44, 45, 46, 47, 48, 49, 50, 51, 57, 74, 75, 76, 77, 78, 79, 80, 81, 87, 93]",30,"{""3"": [9, 4, 10, 5, 6, 1, 7, 2], ""2"": [4, 0], ""1"": [6], ""5"": [7], ""0"": [8], ""4"": [9]}"
