pattern_id,formula_repr,feasible,fail_reason,period_hint
BASELINE,(i mod 2)*3 + (i mod 3),True,,3
MOD_2,i mod 2,False,wheel_solve_failed_class_0,2
MOD_3,i mod 3,False,wheel_solve_failed_class_0,3
MOD_4,i mod 4,False,wheel_solve_failed_class_0,4
MOD_5,i mod 5,False,derivation_error:'key',5
MOD_6,i mod 6,False,derivation_error:'key',6
MOD_7,i mod 7,False,derivation_error:'key',7
MOD_8,i mod 8,False,derivation_error:'key',8
MOD_9,i mod 9,False,derivation_error:'key',9
MOD_10,i mod 10,False,derivation_error:'key',10
MOD_11,i mod 11,False,derivation_error:'key',11
MOD_12,i mod 12,False,derivation_error:'key',12
SUM_2_3,(i mod 2) + (i mod 3),False,wheel_solve_failed_class_2,3
SUM_2_4,(i mod 2) + (i mod 4),False,wheel_solve_failed_class_0,4
SUM_2_5,(i mod 2) + (i mod 5),False,derivation_error:'key',5
SUM_2_6,(i mod 2) + (i mod 6),False,wheel_solve_failed_class_2,6
SUM_2_7,(i mod 2) + (i mod 7),False,derivation_error:'key',7
SUM_3_4,(i mod 3) + (i mod 4),False,wheel_solve_failed_class_2,4
SUM_3_5,(i mod 3) + (i mod 5),False,derivation_error:'key',5
SUM_3_6,(i mod 3) + (i mod 6),False,derivation_error:'key',6
SUM_3_7,(i mod 3) + (i mod 7),False,derivation_error:'key',7
SUM_4_5,(i mod 4) + (i mod 5),False,wheel_solve_failed_class_2,5
SUM_4_6,(i mod 4) + (i mod 6),False,wheel_solve_failed_class_2,6
SUM_4_7,(i mod 4) + (i mod 7),False,derivation_error:'key',7
SUM_5_6,(i mod 5) + (i mod 6),False,wheel_solve_failed_class_4,6
SUM_5_7,(i mod 5) + (i mod 7),False,derivation_error:'key',7
SUM_6_7,(i mod 6) + (i mod 7),False,derivation_error:'key',7
WEIGHTED_2_3_1_2,1*(i mod 2) + 2*(i mod 3),False,derivation_error:'key',3
WEIGHTED_2_3_2_1,2*(i mod 2) + 1*(i mod 3),False,wheel_solve_failed_class_2,3
WEIGHTED_2_3_2_2,2*(i mod 2) + 2*(i mod 3),False,wheel_solve_failed_class_4,3
WEIGHTED_2_4_1_2,1*(i mod 2) + 2*(i mod 4),False,wheel_solve_failed_class_0,4
WEIGHTED_2_4_2_1,2*(i mod 2) + 1*(i mod 4),False,wheel_solve_failed_class_0,4
WEIGHTED_2_4_2_2,2*(i mod 2) + 2*(i mod 4),False,wheel_solve_failed_class_0,4
WEIGHTED_2_5_1_2,1*(i mod 2) + 2*(i mod 5),False,derivation_error:'key',5
WEIGHTED_2_5_2_1,2*(i mod 2) + 1*(i mod 5),False,derivation_error:'key',5
WEIGHTED_2_5_2_2,2*(i mod 2) + 2*(i mod 5),False,derivation_error:'key',5
WEIGHTED_3_4_1_2,1*(i mod 3) + 2*(i mod 4),False,derivation_error:'key',4
WEIGHTED_3_4_2_1,2*(i mod 3) + 1*(i mod 4),False,wheel_solve_failed_class_3,4
WEIGHTED_3_4_2_2,2*(i mod 3) + 2*(i mod 4),False,wheel_solve_failed_class_4,4
WEIGHTED_3_5_1_2,1*(i mod 3) + 2*(i mod 5),False,derivation_error:'key',5
WEIGHTED_3_5_2_1,2*(i mod 3) + 1*(i mod 5),False,derivation_error:'key',5
WEIGHTED_3_5_2_2,2*(i mod 3) + 2*(i mod 5),False,derivation_error:'key',5
WEIGHTED_4_5_1_2,1*(i mod 4) + 2*(i mod 5),False,derivation_error:'key',5
WEIGHTED_4_5_2_1,2*(i mod 4) + 1*(i mod 5),False,derivation_error:'key',5
WEIGHTED_4_5_2_2,2*(i mod 4) + 2*(i mod 5),False,wheel_solve_failed_class_4,5
PROD_2_3,(i mod 2) * (i mod 3),False,wheel_solve_failed_class_0,3
PROD_2_4,(i mod 2) * (i mod 4),False,wheel_solve_failed_class_0,4
PROD_2_5,(i mod 2) * (i mod 5),False,wheel_solve_failed_class_0,5
PROD_3_3,(i mod 3) * (i mod 3),False,wheel_solve_failed_class_0,3
PROD_3_4,(i mod 3) * (i mod 4),False,wheel_solve_failed_class_0,4
