id,key1,key2,cols1,cols2,chain_type,anchors_passed,head_text,max_cc_run,four_letter_words,bigram_improvement,accepted
DT14-KRYP-KRYP-7-plain,KRYPTOS,KRYPTOS,7,7,none,False,OXTUPKGSWBZUETDUUUKGU,7,,0.38,False
DT14-KRYP-KRYP-7-VIG-KRYP-dt_first,KRYPTOS,KRYPTOS,7,7,vigenere,False,EGVFWWOIFDKBQBTDWFRSC,13,,-0.62,False
DT14-KRYP-KRYP-7-VIG-KRYP-vig_first,KRYPTOS,KRYPTOS,7,7,vigenere,False,EFABRMPIENGFGCLGGFVPK,12,,0.38,False
DT14-KRYP-KRYP-7-VIG-PALI-dt_first,KRYPTOS,KRYPTOS,7,7,vigenere,False,ZXIMDVOOEIKUTLRFCQSNF,9,,0.38,False
DT14-KRYP-KRYP-7-VIG-PALI-vig_first,KRYPTOS,KRYPTOS,7,7,vigenere,False,ZFPIAZOHEQHFSEVBIQZRU,4,,1.38,False
DT14-KRYP-KRYP-7-VIG-ABSC-dt_first,KRYPTOS,KRYPTOS,7,7,vigenere,False,OWBSHSOSWAHSWBLUUTSEM,5,,-0.62,False
DT14-KRYP-KRYP-7-VIG-ABSC-vig_first,KRYPTOS,KRYPTOS,7,7,vigenere,False,OFRMOSGAWTHCWBBTCUCOS,9,,1.38,False
DT14-KRYP-KRYP-7-BEAU-KRYP-dt_first,KRYPTOS,KRYPTOS,7,7,beaufort,False,WUFVEEMSVXQZKZHXEVJIY,10,,0.38,False
DT14-KRYP-KRYP-7-BEAU-KRYP-beau_first,KRYPTOS,KRYPTOS,7,7,beaufort,False,WVAZJOLSWNUVUYPUUVFLQ,4,,1.38,False
DT14-KRYP-KRYP-7-BEAU-PALI-dt_first,KRYPTOS,KRYPTOS,7,7,beaufort,False,BDSOXFMMWSQGHPJVYKINV,14,,1.38,False
DT14-KRYP-KRYP-7-BEAU-PALI-beau_first,KRYPTOS,KRYPTOS,7,7,beaufort,False,BVLSABMTWKTVIWFZSKBJG,8,,0.38,False
DT14-KRYP-KRYP-7-BEAU-ABSC-dt_first,KRYPTOS,KRYPTOS,7,7,beaufort,False,MEZITIMIEATIEZPGGHIWO,5,,-0.62,False
DT14-KRYP-KRYP-7-BEAU-ABSC-beau_first,KRYPTOS,KRYPTOS,7,7,beaufort,False,MVJOMIUAEHTYEZZHYGYMI,7,,1.38,False
DT14-KRYP-WEBS-7-plain,KRYPTOS,WEBSTER,7,7,none,False,TKONPUXBESGUZWUGDTKUU,4,,0.38,False
DT14-KRYP-WEBS-7-VIG-KRYP-dt_first,KRYPTOS,WEBSTER,7,7,vigenere,False,JTQYWGFRNURBLEKPFERGC,9,,3.38,False
DT14-KRYP-WEBS-7-VIG-KRYP-vig_first,KRYPTOS,WEBSTER,7,7,vigenere,False,AMEDRBFNGIPFGEGPLCVFG,7,,0.38,False
DT14-KRYP-WEBS-7-VIG-PALI-dt_first,KRYPTOS,WEBSTER,7,7,vigenere,False,EKDFDFFXMZRUOOIRLPSBF,10,,-0.62,False
DT14-KRYP-WEBS-7-VIG-PALI-vig_first,KRYPTOS,WEBSTER,7,7,vigenere,False,PZZFAIFQSHOFHEIRVEZQB,4,,0.38,False
DT14-KRYP-WEBS-7-VIG-ABSC-dt_first,KRYPTOS,WEBSTER,7,7,vigenere,False,TJWLHCFBEROSRECGDSSSM,8,,2.38,False
DT14-KRYP-WEBS-7-VIG-ABSC-vig_first,KRYPTOS,WEBSTER,7,7,vigenere,False,RSONOMFTWAGCHWCOBBCUT,5,,1.38,False
DT14-KRYP-WEBS-7-BEAU-KRYP-dt_first,KRYPTOS,WEBSTER,7,7,beaufort,False,RHKCEUVJNGJZPWQLVWJUY,13,,1.38,False
DT14-KRYP-WEBS-7-BEAU-KRYP-beau_first,KRYPTOS,WEBSTER,7,7,beaufort,False,AOWXJZVNUSLVUWULPYFVU,6,,-0.62,False
DT14-KRYP-WEBS-7-BEAU-PALI-dt_first,KRYPTOS,WEBSTER,7,7,beaufort,False,WQXVXVVDOBJGMMSJPLIZV,9,,-0.62,False
DT14-KRYP-WEBS-7-BEAU-PALI-beau_first,KRYPTOS,WEBSTER,7,7,beaufort,False,LBBVASVKITMVTWSJFWBKZ,12,,0.38,False
DT14-KRYP-WEBS-7-BEAU-ABSC-dt_first,KRYPTOS,WEBSTER,7,7,beaufort,False,HREPTYVZWJMIJWYUXIIIO,8,,1.38,False
DT14-KRYP-WEBS-7-BEAU-ABSC-beau_first,KRYPTOS,WEBSTER,7,7,beaufort,False,JIMNMOVHEAUYTEYMZZYGH,7,,2.38,False
DT14-KRYP-BERL-7-plain,KRYPTOS,BERLINCLOCK,7,7,none,False,OITNFPKSUBGXUEDZUTWKG,6,,1.38,False
DT14-KRYP-BERL-7-VIG-KRYP-dt_first,KRYPTOS,BERLINCLOCK,7,7,vigenere,False,ERVYMBSIDDREGMTIWEDWO,6,,3.38,False
DT14-KRYP-BERL-7-VIG-KRYP-vig_first,KRYPTOS,BERLINCLOCK,7,7,vigenere,False,ETADRRMIBNPFFGLGGCEVP,10,,0.38,False
DT14-KRYP-BERL-7-VIG-PALI-dt_first,KRYPTOS,BERLINCLOCK,7,7,vigenere,False,ZIIFTASOCIRXJWRKCPERR,8,,4.38,False
DT14-KRYP-BERL-7-VIG-PALI-vig_first,KRYPTOS,BERLINCLOCK,7,7,vigenere,False,ZPPFFAZHIQOFFSVHIEEZR,5,,1.38,False
DT14-KRYP-BERL-7-VIG-ABSC-dt_first,KRYPTOS,BERLINCLOCK,7,7,vigenere,False,OHBLXXSSUAOVMMLZUSEIY,7,,0.38,False
DT14-KRYP-BERL-7-VIG-ABSC-vig_first,KRYPTOS,BERLINCLOCK,7,7,vigenere,False,OGRNNOSAMTGFCWBHCBWCO,12,,-0.62,False
DT14-KRYP-BERL-7-BEAU-KRYP-dt_first,KRYPTOS,BERLINCLOCK,7,7,beaufort,False,WJFCOZISXXJWUOHSEWXEM,5,,-0.62,False
DT14-KRYP-BERL-7-BEAU-KRYP-beau_first,KRYPTOS,BERLINCLOCK,7,7,beaufort,False,WHAXJJOSZNLVVUPUUYWFL,6,,-0.62,False
DT14-KRYP-BERL-7-BEAU-PALI-dt_first,KRYPTOS,BERLINCLOCK,7,7,beaufort,False,BSSVHAIMYSJDREJQYLWJJ,7,,2.38,False
DT14-KRYP-BERL-7-BEAU-PALI-beau_first,KRYPTOS,BERLINCLOCK,7,7,beaufort,False,BLLVVABTSKMVVIFTSWWBJ,7,,-0.62,False
DT14-KRYP-BERL-7-BEAU-ABSC-dt_first,KRYPTOS,BERLINCLOCK,7,7,beaufort,False,MTZPDDIIGAMFOOPBGIWSC,6,,1.38,False
DT14-KRYP-BERL-7-BEAU-ABSC-beau_first,KRYPTOS,BERLINCLOCK,7,7,beaufort,False,MUJNNMIAOHUVYEZTYZEYM,4,,0.38,False
DT14-KRYP-NORT-7-plain,KRYPTOS,NORTHEAST,7,7,none,False,FNPTIAOXGUBUKSWTKUZED,5,,0.38,False
DT14-KRYP-NORT-7-VIG-KRYP-dt_first,KRYPTOS,NORTHEAST,7,7,vigenere,False,VWREPMWNPWMBWAMCMFGQL,9,,0.38,False
DT14-KRYP-NORT-7-VIG-KRYP-vig_first,KRYPTOS,NORTHEAST,7,7,vigenere,False,RDRATJEFPFNBMIECVGGGL,6,,0.38,False
DT14-KRYP-NORT-7-VIG-PALI-dt_first,KRYPTOS,NORTHEAST,7,7,vigenere,False,QNELWLWTOBMUZKKESQHLO,5,,1.38,False
DT14-KRYP-NORT-7-VIG-PALI-vig_first,KRYPTOS,NORTHEAST,7,7,vigenere,False,FFAPPWZFOFQIZHEEZIHSV,5,,1.38,False
DT14-KRYP-NORT-7-VIG-ABSC-dt_first,KRYPTOS,NORTHEAST,7,7,vigenere,False,FMXRAIWXGTJSCAETKTHCV,7,,0.38,False
DT14-KRYP-NORT-7-VIG-ABSC-vig_first,KRYPTOS,NORTHEAST,7,7,vigenere,False,NNORGZOFGCTMSAWBCCHWB,7,,-0.62,False
DT14-KRYP-NORT-7-BEAU-KRYP-dt_first,KRYPTOS,NORTHEAST,7,7,beaufort,False,FEJWLOENLEOZEAOYOVUKP,3,,1.38,False
DT14-KRYP-NORT-7-BEAU-KRYP-beau_first,KRYPTOS,NORTHEAST,7,7,beaufort,False,JXJAHRWVLVNZOSWYFUUUP,8,,0.38,False
DT14-KRYP-NORT-7-BEAU-PALI-dt_first,KRYPTOS,NORTHEAST,7,7,beaufort,False,KNWPEPEHMZOGBQQWIKTPM,5,,0.38,False
DT14-KRYP-NORT-7-BEAU-PALI-beau_first,KRYPTOS,NORTHEAST,7,7,beaufort,False,VVALLEBVMVKSBTWWBSTIF,13,,-0.62,False
DT14-KRYP-NORT-7-BEAU-ABSC-dt_first,KRYPTOS,NORTHEAST,7,7,beaufort,False,VODJASEDUHRIYAWHQHTYF,7,,0.38,False
DT14-KRYP-NORT-7-BEAU-ABSC-beau_first,KRYPTOS,NORTHEAST,7,7,beaufort,False,NNMJUBMVUYHOIAEZYYTEZ,4,,1.38,False
DT14-KRYP-YARD-7-plain,KRYPTOS,YARD,7,7,none,False,TOPNKUXBSUGEZWUDKTGUU,4,,-0.62,False
DT14-KRYP-YARD-7-VIG-KRYP-dt_first,KRYPTOS,YARD,7,7,vigenere,False,JXRYRGFRBWRLLEKMMENGC,13,,0.38,False
DT14-KRYP-YARD-7-VIG-KRYP-vig_first,KRYPTOS,YARD,7,7,vigenere,False,AERDMBFNIFPGGEGLVCPFG,7,,0.38,False
DT14-KRYP-YARD-7-VIG-PALI-dt_first,KRYPTOS,YARD,7,7,vigenere,False,EOEFYFFXABREOOIOSPOBF,5,,0.38,False
DT14-KRYP-YARD-7-VIG-PALI-vig_first,KRYPTOS,YARD,7,7,vigenere,False,PZAFZIFQHFOSHEIVZERQB,4,,1.38,False
DT14-KRYP-YARD-7-VIG-ABSC-dt_first,KRYPTOS,YARD,7,7,vigenere,False,TNXLCCFBSTOCRECDKSOSM,10,,1.38,False
DT14-KRYP-YARD-7-VIG-ABSC-vig_first,KRYPTOS,YARD,7,7,vigenere,False,ROONSMFTACGWHWCBCBOUT,9,,2.38,False
DT14-KRYP-YARD-7-BEAU-KRYP-dt_first,KRYPTOS,YARD,7,7,beaufort,False,RDJCJUVJZEJPPWQOOWNUY,5,,0.38,False
DT14-KRYP-YARD-7-BEAU-KRYP-beau_first,KRYPTOS,YARD,7,7,beaufort,False,AWJXOZVNSVLUUWUPFYLVU,6,,-0.62,False
DT14-KRYP-YARD-7-BEAU-PALI-dt_first,KRYPTOS,YARD,7,7,beaufort,False,WMWVCVVDAZJWMMSMILMZV,8,,0.38,False
DT14-KRYP-YARD-7-BEAU-PALI-beau_first,KRYPTOS,YARD,7,7,beaufort,False,LBAVBSVKTVMITWSFBWJKZ,9,,-0.62,False
DT14-KRYP-YARD-7-BEAU-ABSC-dt_first,KRYPTOS,YARD,7,7,beaufort,False,HNDPYYVZIHMYJWYXQIMIO,8,,0.38,False
DT14-KRYP-YARD-7-BEAU-ABSC-beau_first,KRYPTOS,YARD,7,7,beaufort,False,JMMNIOVHAYUETEYZYZMGH,7,,1.38,False
DT14-KRYP-PALI-7-plain,KRYPTOS,PALIMPSEST,7,7,none,False,GOUKXUBTSZEWKUUDUGUKA,4,,1.38,False
DT14-KRYP-PALI-7-VIG-KRYP-dt_first,KRYPTOS,PALIMPSEST,7,7,vigenere,False,WXWVEGJJBBPDWCKMWRBWI,15,,-0.62,False
DT14-KRYP-PALI-7-VIG-KRYP-vig_first,KRYPTOS,PALIMPSEST,7,7,vigenere,False,PEBMFFNCIGGEVGKLFPGMH,9,,0.38,False
DT14-KRYP-PALI-7-VIG-PALI-dt_first,KRYPTOS,PALIMPSEST,7,7,vigenere,False,ROJCLFJPAGPWZMIOCCCRL,6,,-0.62,False
DT14-KRYP-PALI-7-VIG-PALI-vig_first,KRYPTOS,PALIMPSEST,7,7,vigenere,False,OZIZFFQEHHSEZIUVQRBCL,6,,1.38,False
DT14-KRYP-PALI-7-VIG-ABSC-dt_first,KRYPTOS,PALIMPSEST,7,7,vigenere,False,GNCIPCJTSYMUCCCDUFCIS,7,,-0.62,False
