id,key_name,family,offset,anchors_passed,head_text,max_cc_run,words_found,word_count,controls_passed
RK-RK1-offset0-vigenere,RK1,vigenere,0,False,NXRVQKKWMGBAXAHLFXOVW,11,,0,False
RK-RK1-offset0-beaufort,RK1,beaufort,0,False,NDJFKQQEOUZADATPVDMFE,7,AT,1,False
RK-RK1-offset0-variant_beaufort,RK1,variant_beaufort,0,False,PFDNYSKGAINWFKVLLNOHW,8,IN,1,False
RK-RK1-offset5-vigenere,RK1,vigenere,5,False,KOSXTVMKOAUITFILVCIUS,6,IT,1,False
RK-RK1-offset5-beaufort,RK1,beaufort,5,False,QMIDHFOQMAGSHVSPFYSGI,10,,0,False
RK-RK1-offset5-variant_beaufort,RK1,variant_beaufort,5,False,SOCLVHISYOUOJFULVIUIA,4,"YOU,HIS,WE",3,True
RK-RK1-offset10-vigenere,RK1,vigenere,10,False,VQGZNOUGTBUYYZHHIEJXJ,5,,0,False
RK-RK1-offset10-beaufort,RK1,beaufort,10,False,FKUBNMGUHZGCCBTTSWRDR,13,,0,False
RK-RK1-offset10-variant_beaufort,RK1,variant_beaufort,10,False,HMOJBOAWTNUYELVPIGTFJ,4,WE,1,True
RK-RK1-offset15-vigenere,RK1,vigenere,15,False,OYCEOOKLNAQLAAKYGBNWL,7,,0,False
RK-RK1-offset15-beaufort,RK1,beaufort,15,False,MCYWMMQPNAKPAAQCUZNEP,9,AT,1,False
RK-RK1-offset15-variant_beaufort,RK1,variant_beaufort,15,False,OESEAOKRZOYLCKSYKJPGH,11,,0,False
RK-RK1-offset20-vigenere,RK1,vigenere,20,False,OOHYNKXNODHJXEJAAZUIL,6,,0,False
RK-RK1-offset20-beaufort,RK1,beaufort,20,False,MMTCNQDNMXTRDWRAABGSP,15,"USE,IN",2,False
RK-RK1-offset20-variant_beaufort,RK1,variant_beaufort,20,False,OONKBSXPYLHNFGTWQLIUH,16,,0,False
RK-RK1-offset25-vigenere,RK1,vigenere,25,False,KBJZQBVKSCJDVLVAABJIP,15,WE,1,False
RK-RK1-offset25-beaufort,RK1,beaufort,25,False,QZRBKZFQIYRXFPFAAZRSL,8,OLD,1,False
RK-RK1-offset25-variant_beaufort,RK1,variant_beaufort,25,False,SBLJYBZSUMFTHZHWQJTUD,10,WE,1,False
RK-RK1-offset30-vigenere,RK1,vigenere,30,False,BZGDPDPIZOJDXAVEESHBJ,7,WE,1,False
RK-RK1-offset30-beaufort,RK1,beaufort,30,False,ZBUXLXLSBMRXDAFWWITZR,10,"HIS,IT",2,False
RK-RK1-offset30-variant_beaufort,RK1,variant_beaufort,30,False,BDOFZZFUNAFTFKHSMSVBJ,11,,0,False
RK-RK2-offset0-vigenere,RK2,vigenere,0,False,GIORCVJVGWJNTFTDQXAQS,15,,0,False
RK-RK2-offset0-beaufort,RK2,beaufort,0,False,USMJYFRFUERNHVHXKDAKI,8,IN,1,False
RK-RK2-offset0-variant_beaufort,RK2,variant_beaufort,0,False,WUGRMHLHGSFJJFJTANCMA,14,,0,False
RK-RK2-offset5-vigenere,RK2,vigenere,5,False,VNRRJDZGTMMTTRDHBRFJD,21,WE,1,False
RK-RK2-offset5-beaufort,RK2,beaufort,5,False,FNJJRXBUHOOHHJXTZJVRX,10,,0,False
RK-RK2-offset5-variant_beaufort,RK2,variant_beaufort,5,False,HPDRFZVWTCCDJTZPPTXTP,21,WE,1,False
RK-RK2-offset10-vigenere,RK2,vigenere,10,False,DDCEZGFGFWQENWWSBFIMI,7,,0,False
RK-RK2-offset10-beaufort,RK2,beaufort,10,False,XXYWBUVUVEKWNEEIZVSOS,5,"ALL,IT",2,False
RK-RK2-offset10-variant_beaufort,RK2,variant_beaufort,10,False,ZZSEPWPWHSYSPOGEPFUQK,9,AT,1,False
RK-RK2-offset15-vigenere,RK2,vigenere,15,False,GJCQJKQAKPBEBZZXQNTAL,7,BE,1,False
RK-RK2-offset15-beaufort,RK2,beaufort,15,False,URYKRQKAQLZWZBBDKNHAP,11,"IN,BE",2,False
RK-RK2-offset15-variant_beaufort,RK2,variant_beaufort,15,False,WTSSFSECCZNSBLDZAXJCH,9,"CAN,WE,BE",3,False
RK-RK2-offset20-vigenere,RK2,vigenere,20,False,KUWVCVQONSGTJKNAEMUXY,7,,0,False
RK-RK2-offset20-beaufort,RK2,beaufort,20,False,QGEFYFKMNIUHRQNAWOGDC,6,BE,1,False
RK-RK2-offset20-variant_beaufort,RK2,variant_beaufort,20,False,SIYNMHEOZWIDTAPWMYIFU,4,AT,1,True
RK-RK2-offset25-vigenere,RK2,vigenere,25,False,VUKYFAFWYGJHILKNONXYD,6,,0,False
