label,seed,head_text,f_words_pre,coverage_pre,has_verb_pre,pass_pre,f_words_post,pass_post,has_true,leakage,template_id
HEAD_001_v521,1884420138,NOTE THE ANGLE OF THE MERIDIAN AND THEN SET THE POINT TO THE MARK,8,0.9060857849515351,True,True,6,False,False,False,T009
HEAD_003_v521,4210131336,MARK THE POINT AT THE STATION AND THEN READ THE ANGLE OF THE LINE,8,0.9473027790031906,True,True,5,False,False,False,T015
HEAD_004_v521,1195984231,NOTE THE ANGLE OF THE MERIDIAN AND THEN SET THE ANGLE TO THE LINE,8,0.9232719640707725,True,True,6,False,False,False,T009
HEAD_005_v521,355594542,MARK THE POINT AT THE STATION AND THEN READ THE MARK OF THE LINE,8,0.9170665464556933,True,True,5,False,False,False,T015
HEAD_006_v521,753825341,MARK THE POINT AT THE STATION AND THEN READ THE ANGLE OF THE LINE,8,0.9245550749779183,True,True,5,False,False,False,T015
HEAD_007_v521,1666129888,NOTE THE ANGLE OF THE MERIDIAN AND THEN SET THE DIAL TO THE LINE,8,0.9280973769466376,True,True,6,False,False,False,T009
HEAD_008_v521,4064562966,TRACE THE ARC TO THE POINT AND THEN READ THE ANGLE AT THE DIAL,8,0.9235609521373176,True,True,6,False,False,False,T013
HEAD_009_v521,3670234652,TRACE THE ARC TO THE MERIDIAN AND THEN READ THE ANGLE AT THE DIAL,8,0.9495949813750952,True,True,6,False,False,False,T013
HEAD_010_v521,2509327124,MARK THE POINT AT THE STATION AND THEN READ THE ANGLE OF THE LINE,8,0.9301746522989915,True,True,5,False,False,False,T015
HEAD_011_v521,1986015408,TRACE THE ARC TO THE ARC AND THEN READ THE GRID AT THE STATION,8,0.9100695461646415,True,True,6,False,False,False,T013
HEAD_012_v521,574866907,NOTE THE ANGLE OF THE MERIDIAN AND THEN SET THE DIAL TO THE LINE,8,0.9023157976611683,True,True,6,False,False,False,T009
HEAD_013_v521,2344550639,NOTE THE ANGLE OF THE ANGLE AND THEN SET THE BEARING TO THE DECLINATION,8,0.8501475494386305,True,True,5,False,False,False,T009
HEAD_014_v521,868823871,TRACE THE ARC TO THE MERIDIAN AND THEN READ THE MERIDIAN AT THE ARC,8,0.9485243647154818,True,True,5,False,False,False,T013
HEAD_015_v521,1568644582,TRACE THE ARC TO THE MERIDIAN AND THEN READ THE POINT AT THE DIAL,8,0.907461200166326,True,True,6,False,False,False,T013
HEAD_016_v521,1937884449,TRACE THE ARC TO THE MERIDIAN AND THEN READ THE ANGLE AT THE ARC,8,0.8984397617835852,True,True,6,False,False,False,T013
HEAD_017_v521,802539097,TRACE THE ARC TO THE GRID AND THEN READ THE ANGLE AT THE DIAL,8,0.9096262247441628,True,True,6,False,False,False,T013
HEAD_018_v521,217977832,MARK THE POINT AT THE STATION AND THEN READ THE ANGLE OF THE LINE,8,0.8719510053877844,True,True,5,False,False,False,T015
HEAD_019_v521,2906058062,MARK THE POINT AT THE STATION AND THEN READ THE LINE OF THE MERIDIAN,8,0.8658716409015186,True,True,5,False,False,False,T015
HEAD_020_v521,3017515013,TRACE THE ARC TO THE MERIDIAN AND THEN READ THE ANGLE AT THE DIAL,8,0.9061595076670845,True,True,6,False,False,False,T013
HEAD_021_v521,2411593812,MARK THE POINT AT THE STATION AND THEN READ THE ANGLE OF THE LINE,8,0.8602514255967063,True,True,5,False,False,False,T015
HEAD_022_v521,3722293373,NOTE THE ANGLE OF THE MERIDIAN AND THEN SET THE DIAL TO THE LINE,8,0.9486628723714262,True,True,6,False,False,False,T009
HEAD_023_v521,3587743081,NOTE THE ANGLE OF THE MERIDIAN AND THEN SET THE DIAL TO THE LINE,8,0.8949227338496049,True,True,6,False,False,False,T009
HEAD_027_v521,3928503553,TRACE THE ARC TO THE MERIDIAN AND THEN READ THE ANGLE AT THE DIAL,8,0.8729693157031317,True,True,6,False,False,False,T013
