label,seed,f_words_pre,f_words_post,verbs_pre,verbs_post,f_words_g1,f_words_g2,coverage,pass_pre,pass_post,has_true,repairs_applied
HEAD_001_v522B,1662305467,10,10,2,2,4,6,0.858815833145118,True,True,False,0
HEAD_002_v522B,1537123922,10,10,2,2,4,6,0.9321843657784156,True,True,False,0
HEAD_003_v522B,3788906313,10,10,2,2,4,6,0.9349392213380742,True,True,False,0
HEAD_004_v522B,2526988130,10,10,2,2,4,6,0.939384992358073,True,True,False,0
HEAD_005_v522B,3671834127,10,10,2,2,4,6,0.9213250498758861,True,True,False,0
HEAD_006_v522B,3891139759,10,10,2,2,4,6,0.8733417961485649,True,True,False,0
HEAD_007_v522B,3404212917,10,10,2,2,4,6,0.9246469582564284,True,True,False,0
HEAD_008_v522B,1571258645,10,10,2,2,4,6,0.9228923776079362,True,True,False,0
HEAD_009_v522B,3458991514,10,10,2,2,4,6,0.949254038378613,True,True,False,0
HEAD_010_v522B,3438772128,10,10,2,2,4,6,0.9471673712968576,True,True,False,0
HEAD_011_v522B,3408505174,10,10,2,2,4,6,0.9112109914447628,True,True,False,0
HEAD_012_v522B,2413961656,10,10,2,2,4,6,0.8651536711853585,True,True,False,0
HEAD_013_v522B,3981885822,10,10,2,2,4,6,0.9125015667284956,True,True,False,0
HEAD_014_v522B,4058915119,10,10,2,2,4,6,0.9046663561171469,True,True,False,0
HEAD_015_v522B,3282553104,10,10,2,2,4,6,0.9230258437573956,True,True,False,0
HEAD_016_v522B,1566826316,10,10,2,2,4,6,0.8565742357513361,True,True,False,0
HEAD_017_v522B,1884479401,10,10,2,2,4,6,0.93978194525747,True,True,False,0
HEAD_018_v522B,1396122667,10,10,2,2,4,6,0.9092431202536412,True,True,False,0
HEAD_019_v522B,4027248901,10,10,2,2,4,6,0.9352931457828073,True,True,False,0
HEAD_020_v522B,1763111993,10,10,2,2,4,6,0.9289857274679291,True,True,False,0
HEAD_021_v522B,1289639157,10,10,2,2,4,6,0.9450056241120628,True,True,False,0
HEAD_022_v522B,1043592238,10,10,2,2,4,6,0.8999847966359092,True,True,False,0
HEAD_023_v522B,1796098824,10,10,2,2,4,6,0.9104067321059685,True,True,False,0
HEAD_024_v522B,255345598,10,10,2,2,4,6,0.8909867909587009,True,True,False,0
HEAD_025_v522B,4258462598,10,10,2,2,4,6,0.922552732160152,True,True,False,0
HEAD_026_v522B,3370358439,10,10,2,2,4,6,0.8505027028654832,True,True,False,0
HEAD_027_v522B,4161656021,10,10,2,2,4,6,0.8813741232725176,True,True,False,0
HEAD_028_v522B,213137772,10,10,2,2,4,6,0.9250670652794484,True,True,False,0
HEAD_029_v522B,197311814,10,10,2,2,4,6,0.8537775746020918,True,True,False,0
HEAD_030_v522B,1669796614,10,10,2,2,4,6,0.9081900957100744,True,True,False,0
HEAD_031_v522B,1993585767,10,10,2,2,4,6,0.9071974437862922,True,True,False,0
HEAD_032_v522B,2385834894,10,10,2,2,4,6,0.9150805508670523,True,True,False,0
HEAD_033_v522B,108410934,10,10,2,2,4,6,0.9454077060448043,True,True,False,0
HEAD_034_v522B,1936815755,10,10,2,2,4,6,0.925129109992009,True,True,False,0
HEAD_035_v522B,427523183,10,10,2,2,4,6,0.8687246261960254,True,True,False,0
HEAD_036_v522B,3098580948,10,10,2,2,4,6,0.8512453171734679,True,True,False,0
HEAD_037_v522B,3702955861,10,10,2,2,4,6,0.9479226330021554,True,True,False,0
HEAD_038_v522B,2053887582,10,10,2,2,4,6,0.8961201136395013,True,True,False,0
HEAD_039_v522B,1522533188,10,10,2,2,4,6,0.9280921712723716,True,True,False,0
HEAD_040_v522B,815549010,10,10,2,2,4,6,0.9290251130575348,True,True,False,0
HEAD_041_v522B,2651677631,10,10,2,2,4,6,0.9324311297673543,True,True,False,0
HEAD_042_v522B,1179213603,10,10,2,2,4,6,0.9146813258347176,True,True,False,0
HEAD_043_v522B,2701743216,10,10,2,2,4,6,0.8959798965310803,True,True,False,0
HEAD_044_v522B,2608136564,10,10,2,2,4,6,0.8829617961071604,True,True,False,0
HEAD_045_v522B,588916861,10,10,2,2,4,6,0.8765612604130737,True,True,False,0
HEAD_046_v522B,2899187845,10,10,2,2,4,6,0.93050986138243,True,True,False,0
HEAD_047_v522B,3501617598,10,10,2,2,4,6,0.8504537826484235,True,True,False,0
HEAD_048_v522B,3629201045,10,10,2,2,4,6,0.9403163918879898,True,True,False,0
HEAD_049_v522B,2588329958,10,10,2,2,4,6,0.9067606019432762,True,True,False,0
HEAD_050_v522B,1409859319,10,10,2,2,4,6,0.8861661865121818,True,True,False,0
