skeleton_id,mapping_spec,T,anchor_east_span,anchor_ne_span,anchor_berlin_span,anchor_clock_span,feasible,optionA_ok,wheels_solved,present_slots_pct,pt_sha256,matches_winner_pt,tail_str,families_json,L_json,phase_json,seed_u64,runtime_ms
S0_BASELINE,((i%2)*3)+(i%3),6,21-24,25-33,63-68,69-73,True,True,True,95.09803921568627,4eceb739ab655d6f4ec87753569b8bf04573fe26d01c0caa68d36776dd052d79,True,HEJOYOFANANGLEISTHEARC,"[""vigenere"", ""vigenere"", ""beaufort"", ""vigenere"", ""beaufort"", ""vigenere""]","[17, 17, 17, 17, 17, 17]","[0, 0, 0, 0, 0, 0]",3069805829616882149,23
MOD_2,MOD_T:2,2,21-24,25-33,63-68,69-73,False,True,False,0.0,,False,,[],[],[],14088774270200568887,5
MOD_3,MOD_T:3,3,21-24,25-33,63-68,69-73,False,True,True,0.0,,False,,[],[],[],14179568220048668787,8
MOD_4,MOD_T:4,4,21-24,25-33,63-68,69-73,False,True,True,0.0,,False,,[],[],[],6723904105407632353,9
MOD_5,MOD_T:5,5,21-24,25-33,63-68,69-73,False,True,True,0.0,,False,,[],[],[],9023703468651200647,12
MOD_6,MOD_T:6,6,21-24,25-33,63-68,69-73,False,True,True,0.0,,False,,[],[],[],2836767723246257852,11
MOD_7,MOD_T:7,7,21-24,25-33,63-68,69-73,False,True,True,0.0,,False,,[],[],[],2263630094349438604,14
MOD_8,MOD_T:8,8,21-24,25-33,63-68,69-73,False,True,True,0.0,,False,,[],[],[],6605703290931991799,15
"S(2,2)","S(p,q):p=2,q=2",2,21-24,25-33,63-68,69-73,False,True,False,0.0,,False,,[],[],[],818478830608164275,5
"S(2,3)","S(p,q):p=2,q=3",6,21-24,25-33,63-68,69-73,False,True,True,0.0,,False,,[],[],[],7854076311974938919,12
"S(2,4)","S(p,q):p=2,q=4",4,21-24,25-33,63-68,69-73,False,True,True,0.0,,False,,[],[],[],18188361748718316208,9
"S(3,2)","S(p,q):p=3,q=2",6,21-24,25-33,63-68,69-73,False,True,True,0.0,,False,,[],[],[],14956574286537751179,11
"S(4,2)","S(p,q):p=4,q=2",4,21-24,25-33,63-68,69-73,False,True,True,0.0,,False,,[],[],[],394315459606290501,9
AFF_2_3_2_6,"AFFINE:p=2,q=3,k=2;M=6",5,21-24,25-33,63-68,69-73,False,True,True,0.0,,False,,[],[],[],10429859945132459063,10
AFF_3_2_2_6,"AFFINE:p=3,q=2,k=2;M=6",6,21-24,25-33,63-68,69-73,False,True,True,0.0,,False,,[],[],[],17399790443411819246,11
AFF_2_4_3_8,"AFFINE:p=2,q=4,k=3;M=8",4,21-24,25-33,63-68,69-73,False,True,True,0.0,,False,,[],[],[],9543511411204818477,9
AFF_3_3_2_6,"AFFINE:p=3,q=3,k=2;M=6",2,21-24,25-33,63-68,69-73,False,True,False,0.0,,False,,[],[],[],11405718101973594888,3
AFF_2_5_2_8,"AFFINE:p=2,q=5,k=2;M=8",7,21-24,25-33,63-68,69-73,False,True,True,0.0,,False,,[],[],[],18125971102175520091,14
AFF_4_2_2_8,"AFFINE:p=4,q=2,k=2;M=8",4,21-24,25-33,63-68,69-73,False,True,True,0.0,,False,,[],[],[],3093750614186875863,9
AFF_3_4_1_7,"AFFINE:p=3,q=4,k=1;M=7",6,21-24,25-33,63-68,69-73,False,True,True,0.0,,False,,[],[],[],3275215177866134203,14
AFF_2_3_3_7,"AFFINE:p=2,q=3,k=3;M=7",6,21-24,25-33,63-68,69-73,False,True,True,0.0,,False,,[],[],[],16540036832816606538,12
AFF_3_2_3_7,"AFFINE:p=3,q=2,k=3;M=7",5,21-24,25-33,63-68,69-73,False,True,True,0.0,,False,,[],[],[],18355824639331695875,11
AFF_3_3_1_3,"AFFINE:p=3,q=3,k=1;M=3",3,21-24,25-33,63-68,69-73,False,True,True,0.0,,False,,[],[],[],492790370348290144,8
AFF_4_3_1_6,"AFFINE:p=4,q=3,k=1;M=6",6,21-24,25-33,63-68,69-73,False,True,True,0.0,,False,,[],[],[],9611595232123335413,14
