run_id,removed_cells_json,num_removed,constraints_used,undetermined_count,feasible,reason,pt_sha256
0,[],0,anchors_only,26,False,incomplete_derivation,
1,[21],1,anchors_only,28,False,incomplete_derivation,
2,[22],1,anchors_only,29,False,incomplete_derivation,
3,[23],1,anchors_only,29,False,incomplete_derivation,
4,[24],1,anchors_only,29,False,incomplete_derivation,
5,[25],1,anchors_only,29,False,incomplete_derivation,
6,[26],1,anchors_only,29,False,incomplete_derivation,
7,[27],1,anchors_only,28,False,incomplete_derivation,
8,[28],1,anchors_only,29,False,incomplete_derivation,
9,[29],1,anchors_only,29,False,incomplete_derivation,
10,[30],1,anchors_only,30,False,incomplete_derivation,
11,"[21, 22]",2,anchors_only,31,False,incomplete_derivation,
12,"[21, 23]",2,anchors_only,31,False,incomplete_derivation,
13,"[21, 24]",2,anchors_only,31,False,incomplete_derivation,
14,"[21, 25]",2,anchors_only,31,False,incomplete_derivation,
15,"[21, 26]",2,anchors_only,31,False,incomplete_derivation,
16,"[21, 27]",2,anchors_only,30,False,incomplete_derivation,
17,"[21, 28]",2,anchors_only,31,False,incomplete_derivation,
18,"[21, 29]",2,anchors_only,31,False,incomplete_derivation,
19,"[21, 30]",2,anchors_only,32,False,incomplete_derivation,
20,"[21, 31]",2,anchors_only,32,False,incomplete_derivation,
21,"[21, 22, 23]",3,anchors_only,34,False,incomplete_derivation,
22,"[21, 22, 24]",3,anchors_only,34,False,incomplete_derivation,
23,"[21, 22, 25]",3,anchors_only,34,False,incomplete_derivation,
24,"[21, 22, 26]",3,anchors_only,34,False,incomplete_derivation,
25,"[21, 22, 27]",3,anchors_only,33,False,incomplete_derivation,
26,"[21, 22, 28]",3,anchors_only,34,False,incomplete_derivation,
27,"[21, 22, 29]",3,anchors_only,34,False,incomplete_derivation,
28,"[21, 22, 30]",3,anchors_only,35,False,incomplete_derivation,
29,"[21, 22, 31]",3,anchors_only,35,False,incomplete_derivation,
30,"[21, 22, 32]",3,anchors_only,35,False,incomplete_derivation,
31,"[21, 22, 23, 24]",4,anchors_only,37,False,incomplete_derivation,
32,"[21, 22, 23, 25]",4,anchors_only,37,False,incomplete_derivation,
33,"[21, 22, 23, 26]",4,anchors_only,37,False,incomplete_derivation,
34,"[21, 22, 23, 27]",4,anchors_only,36,False,incomplete_derivation,
35,"[21, 22, 23, 28]",4,anchors_only,37,False,incomplete_derivation,
36,"[21, 22, 23, 29]",4,anchors_only,37,False,incomplete_derivation,
