label,old_pt_sha,new_pt_sha,anchor_mode,near_cov,near_fwords,verbs,delta_windowed,delta_shuffled,cadence_delta,context_delta,holm_adj_p_cov,holm_adj_p_fw,status,notes
HEAD_0005_v522B,7cc65542dc42f7e2...,35ae6cf8d7cc2335...,fixed,0.910,10,2,0.1025,0.1800,+0.00,+0.00,0.0000,0.0090,unchanged,metrics stable
HEAD_0011_v522B,bf8a70914ac50df5...,c9f7643bb2fbca52...,fixed,0.893,10,2,0.0703,0.1849,+0.02,+0.00,0.0000,0.0060,improved,cadence +0.02
HEAD_0012_v522B,9549946fcaf2f0ae...,4ff5d07676267bc7...,fixed,0.855,10,2,0.0957,0.2246,+0.00,+0.00,0.0000,0.0030,unchanged,metrics stable
HEAD_0014_v522B,6c16c0560edf8085...,e5471b5ec9c4185a...,fixed,0.890,10,2,0.1225,0.1429,+0.00,+0.01,0.0000,0.0040,improved,context +0.01
HEAD_0020_v522B,78b023392c69ae96...,e2c4daaff4f9ac56...,fixed,0.893,10,2,0.0948,0.1626,+0.00,+0.00,0.0000,0.0080,unchanged,metrics stable
HEAD_0021_v522B,28c9035ce2505684...,bc94d916db0a6607...,fixed,0.902,10,2,0.0783,0.1765,+0.00,+0.00,0.0000,0.0080,unchanged,metrics stable
HEAD_0022_v522B,d972e0420c71c6bc...,508076f4cfc35ff6...,fixed,0.949,10,2,0.0990,0.1582,+0.00,+0.00,0.0000,0.0060,unchanged,metrics stable
HEAD_0024_v522B,8bb34543674c02e4...,749c49170348a383...,fixed,0.905,10,2,0.1254,0.2130,+0.00,+0.00,0.0000,0.0090,unchanged,metrics stable
HEAD_0027_v522B,17e4c48879092ed2...,3c3256e81b97cbf8...,fixed,0.944,10,2,0.1028,0.1915,+0.00,+0.00,0.0000,0.0090,unchanged,metrics stable
HEAD_0030_v522B,62a135cdbf0ca99a...,14533dd9ae80fe40...,fixed,0.859,10,2,0.0759,0.1375,+0.00,+0.00,0.0000,0.0060,unchanged,metrics stable
HEAD_0032_v522B,57f0e150c01582c4...,d52aad27e87be8f1...,fixed,0.941,10,2,0.1239,0.1944,+0.00,+0.01,0.0000,0.0040,improved,context +0.01
HEAD_0033_v522B,68fe85e33ad04785...,bc54a62cdd09aad9...,fixed,0.905,10,2,0.0941,0.1896,+0.00,+0.00,0.0000,0.0060,unchanged,metrics stable
HEAD_0035_v522B,68fe85e33ad04785...,bc54a62cdd09aad9...,fixed,0.853,10,2,0.1263,0.1706,+0.00,+0.00,0.0020,0.0070,unchanged,metrics stable
HEAD_0037_v522B,28c9035ce2505684...,bc94d916db0a6607...,fixed,0.915,10,2,0.1077,0.1786,+0.00,+0.00,0.0000,0.0050,unchanged,metrics stable
HEAD_0038_v522B,68fe85e33ad04785...,bc54a62cdd09aad9...,fixed,0.914,10,2,0.1286,0.1775,+0.00,+0.00,0.0020,0.0080,unchanged,metrics stable
HEAD_0040_v522B,d972e0420c71c6bc...,508076f4cfc35ff6...,fixed,0.946,10,2,0.1305,0.1453,+0.00,+0.00,0.0000,0.0050,unchanged,metrics stable
HEAD_0041_v522B,17e4c48879092ed2...,3c3256e81b97cbf8...,fixed,0.878,10,2,0.0583,0.2041,+0.00,+0.00,0.0000,0.0070,unchanged,metrics stable
HEAD_0045_v522B,68fe85e33ad04785...,bc54a62cdd09aad9...,fixed,0.875,10,2,0.1080,0.1850,+0.00,+0.00,0.0000,0.0070,unchanged,metrics stable
HEAD_0046_v522B,9549946fcaf2f0ae...,4ff5d07676267bc7...,fixed,0.915,10,2,0.1146,0.1267,+0.00,+0.00,0.0000,0.0060,unchanged,metrics stable
HEAD_0047_v522B,68fe85e33ad04785...,bc54a62cdd09aad9...,fixed,0.925,10,2,0.0796,0.1404,+0.00,+0.00,0.0000,0.0060,unchanged,metrics stable
HEAD_0048_v522B,83f2d50d131f11b6...,d27d6d64aac712f9...,fixed,0.886,10,2,0.0797,0.1283,+0.00,+0.00,0.0000,0.0050,unchanged,metrics stable
HEAD_0052_v522B,83f2d50d131f11b6...,d27d6d64aac712f9...,fixed,0.901,10,2,0.0707,0.1585,+0.00,+0.00,0.0000,0.0070,unchanged,metrics stable
HEAD_0053_v522B,a1998dda3307b61b...,ca209a2858c93423...,fixed,0.927,10,2,0.0906,0.1704,+0.00,+0.00,0.0000,0.0050,unchanged,metrics stable
HEAD_0054_v522B,8bb34543674c02e4...,749c49170348a383...,fixed,0.928,10,2,0.0772,0.1948,+0.00,+0.00,0.0000,0.0080,unchanged,metrics stable
HEAD_0055_v522B,c306c68e10fa3ca6...,5113150bdba2b33e...,fixed,0.912,10,2,0.1241,0.1990,+0.00,+0.00,0.0000,0.0080,unchanged,metrics stable
HEAD_0057_v522B,c306c68e10fa3ca6...,5113150bdba2b33e...,fixed,0.944,10,2,0.1081,0.1801,+0.00,+0.00,0.0000,0.0060,unchanged,metrics stable
HEAD_0065_v522B,83f2d50d131f11b6...,d27d6d64aac712f9...,fixed,0.934,10,2,0.0840,0.1888,+0.00,+0.00,0.0000,0.0040,unchanged,metrics stable
HEAD_0068_v522B,83f2d50d131f11b6...,d27d6d64aac712f9...,fixed,0.889,10,2,0.1258,0.1468,+0.00,+0.00,0.0000,0.0080,unchanged,metrics stable
HEAD_0074_v522B,a1998dda3307b61b...,ca209a2858c93423...,fixed,0.908,10,2,0.0585,0.2368,+0.00,+0.00,0.0000,0.0060,unchanged,metrics stable
HEAD_0079_v522B,61c656d77cffdc79...,b030329ad8d9ec0a...,fixed,0.929,10,2,0.0871,0.2007,+0.00,+0.00,0.0000,0.0030,unchanged,metrics stable
HEAD_0080_v522B,28c9035ce2505684...,bc94d916db0a6607...,fixed,0.921,10,2,0.1042,0.1872,+0.00,+0.00,0.0000,0.0060,unchanged,metrics stable
