label,seed_u64,arm,fw_post,verb_post,cov_post,pattern_post,delta_windowed_min,delta_shuffled,passed_head_gate,passed_deltas,leakage_diff
head_000_A,3491869110,A,0.3906350366368725,4,0.7620498102505368,0.6737338893179404,0.1849566902539082,0.14783238116846173,True,True,0.0
head_000_B,3491869110,B,0.49063503663687247,4,0.7620498102505368,0.6737338893179404,0.1924566902539082,0.15458238116846174,True,True,0.0
head_001_A,3365554392,A,0.46629964780666566,4,0.6079442543111223,0.6827254242119882,0.05195809623609625,0.04775400348846515,False,False,0.0
head_001_B,3365554392,B,0.5662996478066656,4,0.6079442543111223,0.6827254242119882,0.059458096236096256,0.05450400348846515,False,False,0.0
head_002_A,3946524426,A,0.47165107503608955,3,0.5986448215832205,0.7112672445134317,0.18684649329630101,0.13873530344781498,False,True,0.0
head_002_B,3946524426,B,0.5716510750360895,3,0.5986448215832205,0.7112672445134317,0.19434649329630102,0.145485303447815,False,True,0.0
head_003_A,3263444954,A,0.4849271661518484,4,0.6661425085384552,0.755439100613284,0.15279164827662775,0.11613931155231319,False,False,0.0
head_003_B,3263444954,B,0.5849271661518484,4,0.6661425085384552,0.755439100613284,0.16029164827662773,0.1228893115523132,False,True,0.0
head_004_A,2394117656,A,0.44658809772832225,4,0.7732268020046202,0.6613053296573976,0.13761669554510955,0.06179908038597447,True,False,0.0
head_004_B,2394117656,B,0.5465880977283223,4,0.7732268020046202,0.6613053296573976,0.14511669554510956,0.06854908038597449,True,False,0.0
head_005_A,3064778813,A,0.44378897670294826,3,0.7474165872937246,0.6346461359055229,0.04760550972288262,0.0,True,False,0.0
head_005_B,3064778813,B,0.5437889767029482,3,0.7474165872937246,0.6346461359055229,0.055105509722882626,0.0010965097593018391,True,False,0.0
head_006_A,998375174,A,0.4017499168859347,3,0.6895453999645541,0.6590603929867059,0.07105345184921497,0.03501832619653149,False,False,0.0
head_006_B,998375174,B,0.5017499168859347,3,0.6895453999645541,0.6590603929867059,0.07855345184921497,0.041768326196531494,False,False,0.0
head_007_A,1351589510,A,0.40072208058268327,5,0.7202312262746533,0.758560688503477,0.1763527085148868,0.1701021223143176,True,True,0.0
head_007_B,1351589510,B,0.5007220805826833,5,0.7202312262746533,0.758560688503477,0.1838527085148868,0.1768521223143176,True,True,0.0
head_008_A,284555201,A,0.381442349877746,3,0.5195013369575062,0.5989186007852918,0.13115514158251268,0.15334301172024167,False,False,0.0
head_008_B,284555201,B,0.481442349877746,3,0.5195013369575062,0.5989186007852918,0.1386551415825127,0.16009301172024168,False,False,0.0
head_009_A,5003563,A,0.34232027605151516,4,0.5741285222818537,0.7325349367506295,0.190845421425279,0.15460261959215554,False,True,0.0
head_009_B,5003563,B,0.44232027605151514,4,0.5741285222818537,0.7325349367506295,0.198345421425279,0.16135261959215555,False,True,0.0
head_010_A,454190446,A,0.4346176812316993,4,0.7540795926828183,0.590209756157035,0.20572414987071175,0.215909510043226,False,True,0.0
head_010_B,454190446,B,0.5346176812316993,4,0.7540795926828183,0.590209756157035,0.21322414987071175,0.222659510043226,False,True,0.0
head_011_A,792998171,A,0.37562713941091486,2,0.5117873777142788,0.6761029377097371,0.1789931343045088,0.16473538129519352,False,True,0.0
head_011_B,792998171,B,0.47562713941091483,2,0.5117873777142788,0.6761029377097371,0.1864931343045088,0.17148538129519353,False,True,0.0
head_012_A,2445028389,A,0.3512996436766359,4,0.6580452764677613,0.7032493027982775,0.20599679949203697,0.18584150471016136,False,True,0.0
head_012_B,2445028389,B,0.4512996436766359,4,0.6580452764677613,0.7032493027982775,0.21349679949203698,0.19259150471016137,False,True,0.0
head_013_A,152683899,A,0.3697157478335163,4,0.622556418744112,0.6893359574776353,0.09659531128235063,0.12465553026517709,False,False,0.0
head_013_B,152683899,B,0.4697157478335163,4,0.622556418744112,0.6893359574776353,0.10409531128235064,0.1314055302651771,False,False,0.0
head_014_A,4129524882,A,0.46384736964899936,6,0.7332347553024262,0.7025114624979302,0.1344483707434131,0.11598173766400391,True,False,0.0
head_014_B,4129524882,B,0.5638473696489993,6,0.7332347553024262,0.7025114624979302,0.14194837074341307,0.1227317376640039,True,False,0.0
head_015_A,1059000138,A,0.36132114276566907,5,0.7059773222978947,0.6190155824156071,0.1048085733153775,0.16516991907222278,True,False,0.0
head_015_B,1059000138,B,0.46132114276566905,5,0.7059773222978947,0.6190155824156071,0.11230857331537751,0.17191991907222282,True,False,0.0
head_016_A,934366369,A,0.46278180951035597,2,0.73711260081429,0.7700712470547217,0.09937192368384867,0.12262328643527237,False,False,0.0
head_016_B,934366369,B,0.562781809510356,2,0.73711260081429,0.7700712470547217,0.10687192368384868,0.12937328643527238,False,False,0.0
head_017_A,3343430080,A,0.3608888986038621,5,0.7040585891999095,0.6731518744946372,0.16479272146227153,0.18682257874501623,True,True,0.0
head_017_B,3343430080,B,0.46088889860386206,5,0.7040585891999095,0.6731518744946372,0.17229272146227154,0.19357257874501624,True,True,0.0
head_018_A,362708418,A,0.46189558251263,4,0.7055307226292872,0.7365794025394726,0.28165900382065234,0.2738222706263184,True,True,0.0
head_018_B,362708418,B,0.5618955825126299,4,0.7055307226292872,0.7365794025394726,0.28915900382065235,0.28057227062631845,True,True,0.0
head_019_A,1131315377,A,0.33374264001209736,5,0.6598734829041404,0.6311006173987592,0.07011038434074537,0.05308564028145753,False,False,0.0
head_019_B,1131315377,B,0.43374264001209734,5,0.6598734829041404,0.6311006173987592,0.07761038434074535,0.059835640281457506,False,False,0.0
head_020_A,382217376,A,0.43355282029355113,4,0.7381901185499874,0.6801346698503777,0.06056307619947618,0.0,True,False,0.0
head_020_B,382217376,B,0.5335528202935511,4,0.7381901185499874,0.6801346698503777,0.06806307619947619,0.003123710004722516,True,False,0.0
head_021_A,2788681580,A,0.3926113781086113,5,0.7655508029482447,0.6397181577912116,0.17999711811932884,0.18077609718294152,True,True,0.0
head_021_B,2788681580,B,0.4926113781086113,5,0.7655508029482447,0.6397181577912116,0.18749711811932884,0.18752609718294155,True,True,0.0
head_022_A,4283223674,A,0.468555519448782,5,0.758413364791177,0.5934163234090924,0.2586333776456028,0.19248257872717753,False,True,0.0
head_022_B,4283223674,B,0.568555519448782,5,0.758413364791177,0.5934163234090924,0.26613337764560274,0.19923257872717748,False,True,0.0
head_023_A,2092035942,A,0.49385759516755123,2,0.42837208335193805,0.6717462333025019,0.13955208551901116,0.10790544608302717,False,False,0.0
head_023_B,2092035942,B,0.5938575951675512,2,0.42837208335193805,0.6717462333025019,0.14705208551901117,0.11465544608302718,False,False,0.0
head_024_A,3213851507,A,0.3197346838624514,3,0.7141818775221341,0.7458923086433682,0.06401528874516466,0.04205503151839053,False,False,0.0
head_024_B,3213851507,B,0.4197346838624514,3,0.7141818775221341,0.7458923086433682,0.07151528874516466,0.04880503151839054,True,False,0.0
head_025_A,3605265620,A,0.43180292698987505,5,0.7168475322144459,0.7082320247498408,0.17691481850361426,0.17914094206075362,True,True,0.0
head_025_B,3605265620,B,0.5318029269898751,5,0.7168475322144459,0.7082320247498408,0.18441481850361427,0.18589094206075363,True,True,0.0
head_026_A,74243267,A,0.42867161675826077,5,0.7167533225609216,0.6149186809435598,0.11162165851381378,0.12188900502398842,True,False,0.0
head_026_B,74243267,B,0.5286716167582607,5,0.7167533225609216,0.6149186809435598,0.11912165851381379,0.12863900502398842,True,False,0.0
head_027_A,3275953068,A,0.4337062358648037,3,0.5556392613454485,0.5852010540273068,0.08385224892466037,0.106386062415555,False,False,0.0
head_027_B,3275953068,B,0.5337062358648037,3,0.5556392613454485,0.5852010540273068,0.09135224892466035,0.11313606241555497,False,False,0.0
head_028_A,3744316483,A,0.3710490035766021,2,0.8209881576189217,0.6194497446203057,0.1473974146349152,0.13267911066033689,False,False,0.0
head_028_B,3744316483,B,0.47104900357660207,2,0.8209881576189217,0.6194497446203057,0.15489741463491521,0.1394291106603369,False,True,0.0
head_029_A,4054863533,A,0.3796456501235083,5,0.7917506179509871,0.6860246403048549,0.09570984830876533,0.08530929675171905,True,False,0.0
head_029_B,4054863533,B,0.4796456501235083,5,0.7917506179509871,0.6860246403048549,0.10320984830876534,0.09205929675171906,True,False,0.0
head_030_A,168980181,A,0.3682725195097859,4,0.8505311686540373,0.7876114559684456,0.14398977354252127,0.1627328420062739,True,False,0.0
head_030_B,168980181,B,0.4682725195097859,4,0.8505311686540373,0.7876114559684456,0.15148977354252127,0.1694828420062739,True,True,0.0
head_031_A,1795094251,A,0.4059336691412911,4,0.7575941763949284,0.6579374831860186,0.14992583007025934,0.10130121884332252,True,False,0.0
head_031_B,1795094251,B,0.5059336691412911,4,0.7575941763949284,0.6579374831860186,0.15742583007025934,0.10805121884332253,True,False,0.0
head_032_A,3322032635,A,0.3826765749958272,5,0.569552575405504,0.6773433385090876,0.016634825783044066,0.025220362294793984,False,False,0.0
head_032_B,3322032635,B,0.48267657499582717,5,0.569552575405504,0.6773433385090876,0.024134825783044073,0.03197036229479399,False,False,0.0
head_033_A,2521964239,A,0.4642159685394125,3,0.4846858647798365,0.5418980119004049,0.060070441447164336,0.032443656525378256,False,False,0.0
head_033_B,2521964239,B,0.5642159685394125,3,0.4846858647798365,0.5418980119004049,0.06757044144716433,0.03919365652537825,False,False,0.0
head_034_A,801781311,A,0.38444097072593586,3,0.6221635470433811,0.7714505293912796,0.15502687933079617,0.12285814738662511,False,True,0.0
head_034_B,801781311,B,0.48444097072593584,3,0.6221635470433811,0.7714505293912796,0.16252687933079618,0.1296081473866251,False,True,0.0
head_035_A,1783636624,A,0.43682569422369616,3,0.6834049290638449,0.7770213791839022,0.16346124933449807,0.21061770037695132,False,True,0.0
head_035_B,1783636624,B,0.5368256942236961,3,0.6834049290638449,0.7770213791839022,0.17096124933449808,0.2173677003769513,False,True,0.0
head_036_A,1054194982,A,0.3632990121584958,3,0.6549272753101592,0.5548301308799672,0.11527822473045661,0.11475283635150982,False,False,0.0
head_036_B,1054194982,B,0.4632990121584958,3,0.6549272753101592,0.5548301308799672,0.1227782247304566,0.12150283635150982,False,False,0.0
head_037_A,3990426438,A,0.4363918314259619,5,0.6909358911145851,0.7360571889051873,0.16947115332118165,0.18268678219746232,False,True,0.0
head_037_B,3990426438,B,0.5363918314259619,5,0.6909358911145851,0.7360571889051873,0.17697115332118166,0.18943678219746232,False,True,0.0
head_038_A,2525660087,A,0.4996159040981704,4,0.49686012061549245,0.6052905401872537,0.1337803639467975,0.14612288260622067,False,False,0.0
head_038_B,2525660087,B,0.5996159040981703,4,0.49686012061549245,0.6052905401872537,0.1412803639467975,0.15287288260622067,False,False,0.0
head_039_A,3992428922,A,0.3878076505350382,5,0.73427402223657,0.6417192073821955,0.13480284646298313,0.08859100634676201,True,False,0.0
