policy,pos,ppct,label,route_id,encrypts_to_ct,and_pass,holm_cov_adj,holm_fw_adj,publishable,replicate
pos055_pp15,0.055,1.5,winner,GRID_W14_ROWS,False,False,1.0,1.0,False,0
pos055_pp15,0.055,1.5,winner,GRID_W14_ROWS,False,False,1.0,1.0,False,1
pos055_pp15,0.055,1.5,winner,GRID_W14_ROWS,False,False,1.0,1.0,False,2
pos055_pp10,0.055,1.0,winner,GRID_W14_ROWS,False,False,1.0,1.0,False,0
pos055_pp10,0.055,1.0,winner,GRID_W14_ROWS,False,False,1.0,1.0,False,1
pos055_pp10,0.055,1.0,winner,GRID_W14_ROWS,False,False,1.0,1.0,False,2
pos055_pp05,0.055,0.5,winner,GRID_W14_ROWS,False,False,1.0,1.0,False,0
pos055_pp05,0.055,0.5,winner,GRID_W14_ROWS,False,False,1.0,1.0,False,1
pos055_pp05,0.055,0.5,winner,GRID_W14_ROWS,False,False,1.0,1.0,False,2
pos060_pp15,0.06,1.5,winner,GRID_W14_ROWS,False,False,1.0,1.0,False,0
pos060_pp15,0.06,1.5,winner,GRID_W14_ROWS,False,False,1.0,1.0,False,1
pos060_pp15,0.06,1.5,winner,GRID_W14_ROWS,False,False,1.0,1.0,False,2
pos060_pp10,0.06,1.0,winner,GRID_W14_ROWS,False,False,1.0,1.0,False,0
pos060_pp10,0.06,1.0,winner,GRID_W14_ROWS,False,False,1.0,1.0,False,1
pos060_pp10,0.06,1.0,winner,GRID_W14_ROWS,False,False,1.0,1.0,False,2
pos060_pp05,0.06,0.5,winner,GRID_W14_ROWS,False,False,1.0,1.0,False,0
pos060_pp05,0.06,0.5,winner,GRID_W14_ROWS,False,False,1.0,1.0,False,1
pos060_pp05,0.06,0.5,winner,GRID_W14_ROWS,False,False,1.0,1.0,False,2
pos065_pp15,0.065,1.5,winner,GRID_W14_ROWS,False,False,1.0,1.0,False,0
pos065_pp15,0.065,1.5,winner,GRID_W14_ROWS,False,False,1.0,1.0,False,1
pos065_pp15,0.065,1.5,winner,GRID_W14_ROWS,False,False,1.0,1.0,False,2
pos065_pp10,0.065,1.0,winner,GRID_W14_ROWS,False,False,1.0,1.0,False,0
pos065_pp10,0.065,1.0,winner,GRID_W14_ROWS,False,False,1.0,1.0,False,1
pos065_pp10,0.065,1.0,winner,GRID_W14_ROWS,False,False,1.0,1.0,False,2
pos065_pp05,0.065,0.5,winner,GRID_W14_ROWS,False,False,1.0,1.0,False,0
pos065_pp05,0.065,0.5,winner,GRID_W14_ROWS,False,False,1.0,1.0,False,1
pos065_pp05,0.065,0.5,winner,GRID_W14_ROWS,False,False,1.0,1.0,False,2
