label,length,fixed_score,windowed_score,shuffled_score,delta_windowed,delta_shuffled,pass_deltas,z_ngram,z_coverage,z_compress,penalties
B0002,75,4.105516508113119,4.105516508113119,0.1932033021669527,0.0,3.9123132059461665,False,5.369829265495972,4.894772883591672,-0.12038585308576924,0.0
B0008,75,4.559293036033486,4.559293036033486,0.7364336830304682,0.0,3.8228593530030177,False,5.768610107484213,5.678559023664981,-0.12038585308576924,0.0
B0019,68,4.20716602581316,4.20716602581316,1.2338062707303386,0.0,2.973359755082821,False,6.081379395318128,4.270349910106159,-0.12038585308576924,0.0
B0033,68,3.616623715963271,3.616623715963271,0.4263230368519517,0.0,3.1903006791113193,False,5.201715773285243,3.714082253148759,-0.12038585308576924,0.0
B0027,74,4.411582409398389,4.411582409398389,0.7247657273070814,0.0,3.6868166820913078,False,5.597960648074832,5.475935109662481,-0.12038585308576924,0.0
B0038,74,3.9540914379370213,3.9540914379370213,0.0886914902706452,0.0,3.865399947666376,False,5.193790875789452,4.688464898425489,-0.12038585308576924,0.0
B0043,74,3.9540914379370213,3.9540914379370213,0.4712346389958604,0.0,3.482856798941161,False,5.193790875789452,4.688464898425489,-0.12038585308576924,0.0
B0050,74,3.9540914379370213,3.9540914379370213,0.6789707319825017,0.0,3.2751207059545195,False,5.193790875789452,4.688464898425489,-0.12038585308576924,0.0
B0053,74,4.411582409398389,4.411582409398389,-0.028275117953592013,0.0,4.439857527351981,False,5.597960648074832,5.475935109662481,-0.12038585308576924,0.0
B0006,75,4.344241340297654,4.344241340297654,-0.44598819484433233,0.0,4.790229535141987,False,5.502756212825386,5.405937757552526,-0.12038585308576924,0.0
B0009,75,3.9744987481326364,3.9744987481326364,0.16844281970143005,0.0,3.8060559284312063,False,5.502756212825386,4.349530351366761,-0.12038585308576924,0.0
B0011,75,3.8904648123772874,3.8904648123772874,0.2578966726445793,0.0,3.632568139732708,False,5.103975370837145,4.622151617479218,-0.12038585308576924,0.0
B0022,75,4.344241340297654,4.344241340297654,0.3538577887923484,0.0,3.990383551505306,False,5.502756212825386,5.405937757552526,-0.12038585308576924,0.0
B0023,75,3.9744987481326364,3.9744987481326364,-0.2314801721169103,0.0,4.205978920249547,False,5.502756212825386,4.349530351366761,-0.12038585308576924,0.0
B0024,75,4.248823897158295,4.248823897158295,-0.05202879322220201,0.0,4.300852690380497,False,5.502756212825386,5.133316491440071,-0.12038585308576924,0.0
B0026,75,3.8904648123772874,3.8904648123772874,0.8862483352802635,0.0,3.0042164770970237,False,5.103975370837145,4.622151617479218,-0.12038585308576924,0.0
B0031,75,3.8904648123772874,3.8904648123772874,-0.43514836046873173,0.0,4.325613172846019,False,5.103975370837145,4.622151617479218,-0.12038585308576924,0.0
B0042,75,4.344241340297654,4.344241340297654,0.9520290517747098,0.0,3.3922122885229444,False,5.502756212825386,5.405937757552526,-0.12038585308576924,0.0
B0045,75,3.753483462200595,3.753483462200595,-0.7091798221756399,0.0,4.462663284376235,False,5.236902318166558,4.059870256122279,-0.12038585308576924,0.0
B0054,75,4.248823897158295,4.248823897158295,0.6227630206302064,0.0,3.6260608765280886,False,5.502756212825386,5.133316491440071,-0.12038585308576924,0.0
B0059,67,3.199407977247713,3.199407977247713,0.7154017549303409,0.0,2.484006222317372,False,4.260782048225191,3.7318092176100883,-0.12038585308576924,0.0
