label,delta_vs_windowed,delta_vs_shuffled,pass_deltas,p_value,pass_nulls,tie_rate,pass_orbits
C10_000,0.0,0.0,False,,,,
C10_001,0.0,0.0,False,,,,
C10_002,0.0,0.0,False,,,,
C10_003,0.0,0.0,False,,,,
C10_004,0.0,0.0,False,,,,
C10_005,0.0,0.0,False,,,,
C10_006,0.0,0.0,False,,,,
C10_007,0.0,0.0,False,,,,
C10_008,0.0,0.0,False,,,,
C10_009,0.0,0.0,False,,,,
C10_010,0.0,0.0,False,,,,
C10_011,0.0,0.0,False,,,,
C10_012,0.0,0.0,False,,,,
C10_013,0.0,0.0,False,,,,
C10_014,0.0,0.0,False,,,,
C10_015,0.0,0.0,False,,,,
C10_016,0.0,0.0,False,,,,
C10_017,0.0,0.0,False,,,,
C10_018,0.0,0.0,False,,,,
C10_019,0.0,0.0,False,,,,
C10_020,0.0,0.0,False,,,,
C10_021,0.0,0.0,False,,,,
C10_022,0.0,0.0,False,,,,
C10_023,0.0,0.0,False,,,,
C10_024,0.0,0.0,False,,,,
C10_025,0.0,0.0,False,,,,
C10_026,0.0,0.0,False,,,,
C10_027,0.0,0.0,False,,,,
C10_028,0.0,0.0,False,,,,
C10_029,0.0,0.0,False,,,,
C10_030,0.0,0.0,False,,,,
C10_031,0.0,0.0,False,,,,
C10_032,0.0,0.0,False,,,,
C10_033,0.0,0.0,False,,,,
C10_034,0.0,0.0,False,,,,
C10_035,0.0,0.0,False,,,,
C10_036,0.0,0.0,False,,,,
C10_037,0.0,0.0,False,,,,
C10_038,0.0,0.0,False,,,,
C10_039,0.0,0.0,False,,,,
C10_040,0.0,0.0,False,,,,
C10_041,0.0,0.0,False,,,,
C10_042,0.0,0.0,False,,,,
C10_043,0.0,0.0,False,,,,
C10_044,0.0,0.0,False,,,,
C10_045,0.0,0.0,False,,,,
C10_046,0.0,0.0,False,,,,
C10_047,0.0,0.0,False,,,,
C10_048,0.0,0.0,False,,,,
C10_049,0.0,0.0,False,,,,
C10_050,0.0,0.0,False,,,,
C10_051,0.0,0.0,False,,,,
C10_052,0.0,0.0,False,,,,
C10_053,0.0,0.0,False,,,,
C10_054,0.0,0.0,False,,,,
C10_055,0.0,0.0,False,,,,
C10_056,0.0,0.0,False,,,,
C10_057,0.0,0.0,False,,,,
C10_058,0.0,0.0,False,,,,
C10_059,0.0,0.0,False,,,,
C10_060,0.0,0.0,False,,,,
C10_061,0.0,0.0,False,,,,
C10_062,0.0,0.0,False,,,,
C10_063,0.0,0.0,False,,,,
C10_064,0.0,0.0,False,,,,
C10_065,0.0,0.0,False,,,,
C10_066,0.0,0.0,False,,,,
C10_067,0.0,0.0,False,,,,
C10_068,0.0,0.0,False,,,,
C10_069,0.0,0.0,False,,,,
C10_070,0.0,0.0,False,,,,
C10_071,0.0,0.0,False,,,,
C10_072,0.0,0.0,False,,,,
C10_073,0.0,0.0,False,,,,
C10_074,0.0,0.0,False,,,,
C10_075,0.0,0.0,False,,,,
C10_076,0.0,0.0,False,,,,
C10_077,0.0,0.0,False,,,,
C10_078,0.0,0.0,False,,,,
C10_079,0.0,0.0,False,,,,
C10_080,0.0,0.0,False,,,,
C10_081,0.0,0.0,False,,,,
C10_082,0.0,0.0,False,,,,
C10_083,0.0,0.0,False,,,,
C10_084,0.0,0.0,False,,,,
C10_085,0.0,0.0,False,,,,
C10_086,0.0,0.0,False,,,,
C10_087,0.0,0.0,False,,,,
C10_088,0.0,0.0,False,,,,
C10_089,0.0,0.0,False,,,,
C10_090,0.0,0.0,False,,,,
C10_091,0.0,0.0,False,,,,
C10_092,0.0,0.0,False,,,,
C10_093,0.0,0.0,False,,,,
C10_094,0.0,0.0,False,,,,
C10_095,0.0,0.0,False,,,,
C10_096,0.0,0.0,False,,,,
C10_097,0.0,0.0,False,,,,
C10_098,0.0,0.0,False,,,,
C10_099,0.0,0.0,False,,,,
