id,text_hash,actual_score,mean_null,std_null,z_score,percentile,verb_count,has_pattern,f_words,coverage,meets_criteria,orbit_type,window_size,num_nulls
VROBUST_0000,409e4ff6,2.572,0.125,0.000,0.00,1.000,2,True,11,0.875,True,fixed,68,100
VROBUST_0001,c7842c8f,2.572,0.188,0.000,0.00,1.000,2,True,11,0.875,True,fixed,68,100
VROBUST_0003,a298d5c3,2.652,0.118,0.000,9131887150306624.00,1.000,2,True,13,1.000,True,fixed,68,100
VROBUST_0004,1677ae33,2.666,0.235,0.000,4378028673054401.50,1.000,3,True,13,1.000,True,fixed,68,100
VROBUST_0005,779ff201,2.666,0.235,0.000,4378028673054401.50,1.000,2,True,13,1.000,True,fixed,68,100
VROBUST_0006,afc37177,2.672,0.294,0.000,7140118703341577.00,1.000,3,True,13,1.000,True,fixed,68,100
VROBUST_0007,2a09f89e,2.626,0.188,0.000,0.00,1.000,2,True,12,1.000,True,fixed,68,100
VROBUST_0008,4c25331b,2.572,0.125,0.000,0.00,1.000,2,True,11,0.875,True,fixed,68,100
VROBUST_0009,fc96403b,2.640,0.188,0.000,0.00,1.000,2,True,12,1.000,True,fixed,68,100
VROBUST_0010,d5e8d49b,2.652,0.118,0.000,9131887150306624.00,1.000,2,True,13,1.000,True,fixed,68,100
