k4_index,ct_char,anchor,row_col_pairs
0,O,,"K,F;R,E;Y,D"
1,B,,"K,I;R,H;Y,G"
2,K,,"K,A;R,Z;Y,Y"
3,R,,"K,B;R,A;Y,Z"
4,U,,"K,V;R,U;Y,T"
5,O,,"K,F;R,E;Y,D"
6,X,,"K,Y;R,X;Y,W"
7,O,,"K,F;R,E;Y,D"
8,G,,"K,N;R,M;Y,L"
9,H,,"K,O;R,N;Y,M"
10,U,,"K,V;R,U;Y,T"
11,L,,"K,R;R,Q;Y,P"
12,B,,"K,I;R,H;Y,G"
13,S,,"K,G;R,F;Y,E"
14,O,,"K,F;R,E;Y,D"
15,L,,"K,R;R,Q;Y,P"
16,I,,"K,P;R,O;Y,N"
17,F,,"K,M;R,L;Y,K"
18,B,,"K,I;R,H;Y,G"
19,B,,"K,I;R,H;Y,G"
20,W,,"K,X;R,W;Y,V"
21,F,EAST[0],"K,M;R,L;Y,K"
22,L,EAST[1],"K,R;R,Q;Y,P"
23,R,EAST[2],"K,B;R,A;Y,Z"
24,V,EAST[3],"K,W;R,V;Y,U"
25,Q,NORTHEAST[0],"K,U;R,T;Y,S"
26,Q,NORTHEAST[1],"K,U;R,T;Y,S"
27,P,NORTHEAST[2],"K,D;R,C;Y,B"
28,R,NORTHEAST[3],"K,B;R,A;Y,Z"
29,N,NORTHEAST[4],"K,T;R,S;Y,R"
30,G,NORTHEAST[5],"K,N;R,M;Y,L"
31,K,NORTHEAST[6],"K,A;R,Z;Y,Y"
32,S,NORTHEAST[7],"K,G;R,F;Y,E"
33,S,NORTHEAST[8],"K,G;R,F;Y,E"
34,O,,"K,F;R,E;Y,D"
35,T,,"K,E;R,D;Y,C"
36,W,,"K,X;R,W;Y,V"
37,T,,"K,E;R,D;Y,C"
38,Q,,"K,U;R,T;Y,S"
39,S,,"K,G;R,F;Y,E"
40,J,,"K,Q;R,P;Y,O"
41,Q,,"K,U;R,T;Y,S"
42,S,,"K,G;R,F;Y,E"
43,S,,"K,G;R,F;Y,E"
44,E,,"K,L;R,K;Y,J"
45,K,,"K,A;R,Z;Y,Y"
46,Z,,"K,Z;R,Y;Y,X"
47,Z,,"K,Z;R,Y;Y,X"
48,W,,"K,X;R,W;Y,V"
49,A,,"K,H;R,G;Y,F"
50,T,,"K,E;R,D;Y,C"
51,J,,"K,Q;R,P;Y,O"
52,K,,"K,A;R,Z;Y,Y"
53,L,,"K,R;R,Q;Y,P"
54,U,,"K,V;R,U;Y,T"
55,D,,"K,K;R,J;Y,I"
56,I,,"K,P;R,O;Y,N"
57,A,,"K,H;R,G;Y,F"
58,W,,"K,X;R,W;Y,V"
59,I,,"K,P;R,O;Y,N"
60,N,,"K,T;R,S;Y,R"
61,F,,"K,M;R,L;Y,K"
62,B,,"K,I;R,H;Y,G"
63,N,BERLIN[0],"K,T;R,S;Y,R"
64,Y,BERLIN[1],"K,C;R,B;Y,A"
65,P,BERLIN[2],"K,D;R,C;Y,B"
66,V,BERLIN[3],"K,W;R,V;Y,U"
67,T,BERLIN[4],"K,E;R,D;Y,C"
68,T,BERLIN[5],"K,E;R,D;Y,C"
69,M,CLOCK[0],"K,S;R,R;Y,Q"
70,Z,CLOCK[1],"K,Z;R,Y;Y,X"
71,F,CLOCK[2],"K,M;R,L;Y,K"
72,P,CLOCK[3],"K,D;R,C;Y,B"
73,K,CLOCK[4],"K,A;R,Z;Y,Y"
74,W,,"K,X;R,W;Y,V"
75,G,,"K,N;R,M;Y,L"
76,D,,"K,K;R,J;Y,I"
77,K,,"K,A;R,Z;Y,Y"
78,Z,,"K,Z;R,Y;Y,X"
79,X,,"K,Y;R,X;Y,W"
80,T,,"K,E;R,D;Y,C"
81,J,,"K,Q;R,P;Y,O"
82,C,,"K,J;R,I;Y,H"
83,D,,"K,K;R,J;Y,I"
84,I,,"K,P;R,O;Y,N"
85,G,,"K,N;R,M;Y,L"
86,K,,"K,A;R,Z;Y,Y"
87,U,,"K,V;R,U;Y,T"
88,H,,"K,O;R,N;Y,M"
89,U,,"K,V;R,U;Y,T"
90,A,,"K,H;R,G;Y,F"
91,U,,"K,V;R,U;Y,T"
92,E,,"K,L;R,K;Y,J"
93,K,,"K,A;R,Z;Y,Y"
94,C,,"K,J;R,I;Y,H"
95,A,,"K,H;R,G;Y,F"
96,R,,"K,B;R,A;Y,Z"
