index,cipher_letter,class,slot,tableau_row,tableau_col,tableau_row_char,tableau_col_char,tableau_value,is_unknown,is_anchor,known_plaintext
0,O,0,0,0,0,K,K,K,True,False,
1,B,4,1,0,1,K,R,R,True,False,
2,K,2,2,0,2,K,Y,Y,True,False,
3,R,3,3,0,3,K,P,P,True,False,
4,U,1,4,0,4,K,T,T,True,False,
5,O,5,5,0,5,K,O,O,True,False,
6,X,0,6,0,6,K,S,S,True,False,
7,O,4,7,0,7,K,A,A,True,False,
8,G,2,8,0,8,K,B,B,True,False,
9,H,3,9,0,9,K,C,C,True,False,
10,U,1,10,0,10,K,D,D,True,False,
11,L,5,11,0,11,K,E,E,True,False,
12,B,0,12,0,12,K,F,F,True,False,
13,S,4,13,0,13,K,G,G,True,False,
14,O,2,14,0,14,K,H,H,True,False,
15,L,3,15,0,15,K,I,I,True,False,
16,I,1,16,0,16,K,J,J,True,False,
17,F,5,0,0,17,K,L,L,True,False,
18,B,0,1,0,18,K,M,M,True,False,
19,B,4,2,0,19,K,N,N,True,False,
20,W,2,3,0,20,K,Q,Q,True,False,
21,F,3,4,0,21,K,U,U,False,True,E
22,L,1,5,0,22,K,V,V,False,True,A
23,R,5,6,0,23,K,W,W,False,True,S
24,V,0,7,0,24,K,X,X,False,True,T
25,Q,4,8,0,25,K,Z,Z,False,True,N
26,Q,2,9,1,0,R,K,R,False,True,O
27,P,3,10,1,1,R,R,Y,False,True,R
28,R,1,11,1,2,R,Y,P,False,True,T
29,N,5,12,1,3,R,P,T,False,True,H
30,G,0,13,1,4,R,T,O,False,True,E
31,K,4,14,1,5,R,O,S,False,True,A
32,S,2,15,1,6,R,S,A,False,True,S
33,S,3,16,1,7,R,A,B,False,True,T
34,O,1,0,1,8,R,B,C,True,False,
35,T,5,1,1,9,R,C,D,True,False,
36,W,0,2,1,10,R,D,E,True,False,
37,T,4,3,1,11,R,E,F,True,False,
38,Q,2,4,1,12,R,F,G,True,False,
39,S,3,5,1,13,R,G,H,True,False,
40,J,1,6,1,14,R,H,I,True,False,
41,Q,5,7,1,15,R,I,J,True,False,
42,S,0,8,1,16,R,J,L,True,False,
43,S,4,9,1,17,R,L,M,True,False,
44,E,2,10,1,18,R,M,N,True,False,
45,K,3,11,1,19,R,N,Q,True,False,
46,Z,1,12,1,20,R,Q,U,True,False,
47,Z,5,13,1,21,R,U,V,True,False,
48,W,0,14,1,22,R,V,W,True,False,
49,A,4,15,1,23,R,W,X,True,False,
50,T,2,16,1,24,R,X,Z,True,False,
51,J,3,0,1,25,R,Z,K,True,False,
52,K,1,1,2,0,Y,K,Y,True,False,
53,L,5,2,2,1,Y,R,P,True,False,
54,U,0,3,2,2,Y,Y,T,True,False,
55,D,4,4,2,3,Y,P,O,True,False,
56,I,2,5,2,4,Y,T,S,True,False,
57,A,3,6,2,5,Y,O,A,True,False,
58,W,1,7,2,6,Y,S,B,True,False,
59,I,5,8,2,7,Y,A,C,True,False,
60,N,0,9,2,8,Y,B,D,True,False,
61,F,4,10,2,9,Y,C,E,True,False,
62,B,2,11,2,10,Y,D,F,True,False,
63,N,3,12,2,11,Y,E,G,False,True,B
64,Y,1,13,2,12,Y,F,H,False,True,E
65,P,5,14,2,13,Y,G,I,False,True,R
66,V,0,15,2,14,Y,H,J,False,True,L
67,T,4,16,2,15,Y,I,L,False,True,I
68,T,2,0,2,16,Y,J,M,False,True,N
69,M,3,1,2,17,Y,L,N,False,True,C
70,Z,1,2,2,18,Y,M,Q,False,True,L
71,F,5,3,2,19,Y,N,U,False,True,O
72,P,0,4,2,20,Y,Q,V,False,True,C
73,K,4,5,2,21,Y,U,W,False,True,K
74,W,2,6,2,22,Y,V,X,False,False,
75,G,3,7,2,23,Y,W,Z,False,False,
76,D,1,8,2,24,Y,X,K,False,False,
77,K,5,9,2,25,Y,Z,R,False,False,
78,Z,0,10,3,0,P,K,P,False,False,
79,X,4,11,3,1,P,R,T,False,False,
80,T,2,12,3,2,P,Y,O,False,False,
81,J,3,13,3,3,P,P,S,False,False,
82,C,1,14,3,4,P,T,A,False,False,
83,D,5,15,3,5,P,O,B,False,False,
84,I,0,16,3,6,P,S,C,False,False,
85,G,4,0,3,7,P,A,D,False,False,
86,K,2,1,3,8,P,B,E,False,False,
87,U,3,2,3,9,P,C,F,False,False,
88,H,1,3,3,10,P,D,G,False,False,
89,U,5,4,3,11,P,E,H,False,False,
90,A,0,5,3,12,P,F,I,False,False,
91,U,4,6,3,13,P,G,J,False,False,
92,E,2,7,3,14,P,H,L,False,False,
93,K,3,8,3,15,P,I,M,False,False,
94,C,1,9,3,16,P,J,N,False,False,
95,A,5,10,3,17,P,L,Q,False,False,
96,R,0,11,3,18,P,M,U,False,False,
