index,class,slot,mod6,mod17,in_head,near_tail,dist_to_anchor,dist_to_tail
0,0,0,0,0,True,False,21,74
1,4,1,1,1,True,False,20,73
2,2,2,2,2,True,False,19,72
3,3,3,3,3,True,False,18,71
4,1,4,4,4,True,False,17,70
5,5,5,5,5,True,False,16,69
6,0,6,0,6,True,False,15,68
7,4,7,1,7,True,False,14,67
8,2,8,2,8,True,False,13,66
9,3,9,3,9,True,False,12,65
10,1,10,4,10,True,False,11,64
11,5,11,5,11,True,False,10,63
12,0,12,0,12,True,False,9,62
13,4,13,1,13,True,False,8,61
14,2,14,2,14,True,False,7,60
15,3,15,3,15,True,False,6,59
16,1,16,4,16,True,False,5,58
17,5,0,5,0,True,False,4,57
18,0,1,0,1,True,False,3,56
19,4,2,1,2,True,False,2,55
20,2,3,2,3,True,False,1,54
34,1,0,4,0,True,False,1,40
35,5,1,5,1,True,False,2,39
36,0,2,0,2,True,False,3,38
37,4,3,1,3,True,False,4,37
38,2,4,2,4,True,False,5,36
39,3,5,3,5,True,False,6,35
40,1,6,4,6,True,False,7,34
41,5,7,5,7,True,False,8,33
42,0,8,0,8,True,False,9,32
43,4,9,1,9,True,False,10,31
44,2,10,2,10,True,False,11,30
45,3,11,3,11,True,False,12,29
46,1,12,4,12,True,False,13,28
47,5,13,5,13,True,False,14,27
48,0,14,0,14,True,False,15,26
49,4,15,1,15,True,False,14,25
50,2,16,2,16,True,False,13,24
51,3,0,3,0,True,False,12,23
52,1,1,4,1,True,False,11,22
53,5,2,5,2,True,False,10,21
54,0,3,0,3,True,False,9,20
55,4,4,1,4,True,False,8,19
56,2,5,2,5,True,False,7,18
57,3,6,3,6,True,False,6,17
58,1,7,4,7,True,False,5,16
59,5,8,5,8,True,False,4,15
60,0,9,0,9,True,False,3,14
61,4,10,1,10,True,False,2,13
62,2,11,2,11,True,False,1,12
