pos,perplexity,replicate,near_pass,flint_pass,generic_pass,cadence_pass,holm_adj_p_cov,holm_adj_p_fw,publishable,seed_u64
0.55,1.5,1,False,False,False,False,,,False,
0.55,1.5,2,False,False,False,False,,,False,
0.55,1.5,3,False,False,False,False,,,False,
0.55,1.0,1,False,False,False,False,,,False,
0.55,1.0,2,False,False,False,False,,,False,
0.55,1.0,3,False,False,False,False,,,False,
0.55,0.5,1,False,False,False,False,,,False,
0.55,0.5,2,False,False,False,False,,,False,
0.55,0.5,3,False,False,False,False,,,False,
0.6,1.5,1,False,False,False,False,,,False,
0.6,1.5,2,False,False,False,False,,,False,
0.6,1.5,3,False,False,False,False,,,False,
0.6,1.0,1,False,False,False,False,,,False,
0.6,1.0,2,False,False,False,False,,,False,
0.6,1.0,3,False,False,False,False,,,False,
0.6,0.5,1,False,False,False,False,,,False,
0.6,0.5,2,False,False,False,False,,,False,
0.6,0.5,3,False,False,False,False,,,False,
0.65,1.5,1,False,False,False,False,,,False,
0.65,1.5,2,False,False,False,False,,,False,
0.65,1.5,3,False,False,False,False,,,False,
0.65,1.0,1,False,False,False,False,,,False,
0.65,1.0,2,False,False,False,False,,,False,
0.65,1.0,3,False,False,False,False,,,False,
0.65,0.5,1,False,False,False,False,,,False,
0.65,0.5,2,False,False,False,False,,,False,
0.65,0.5,3,False,False,False,False,,,False,
