label,route,score_fixed,score_best_windowed,best_windowed_mode,score_shuffled,delta_vs_shuffled,delta_vs_windowed,pass_explore,corridor_ok
H_INSTRUCTIONAL_SIGNAGE_00_V0,GRID_W14_ROWS,-2.7423625785041077,-2.7423625785041077,r3,-2.892362578504108,0.15000000000000036,0.0,False,True
H_INSTRUCTIONAL_SIGNAGE_00_V1,GRID_W14_ROWS,0.06913972616382114,0.06913972616382114,r3,-0.08086027383617889,0.15000000000000002,0.0,False,True
H_INSTRUCTIONAL_SIGNAGE_00_V2,GRID_W14_ROWS,-4.374413504277328,-4.374413504277328,r3,-4.524413504277328,0.15000000000000036,0.0,False,True
H_INSTRUCTIONAL_SIGNAGE_01_V0,GRID_W14_ROWS,-3.0514339129066688,-3.0514339129066688,r3,-3.2014339129066687,0.1499999999999999,0.0,False,True
H_INSTRUCTIONAL_SIGNAGE_01_V1,GRID_W14_ROWS,0.8643531170094658,0.8643531170094658,r3,0.7143531170094659,0.1499999999999999,0.0,False,True
H_INSTRUCTIONAL_SIGNAGE_01_V2,GRID_W14_ROWS,-1.3952280833043496,-1.3952280833043496,r3,-1.54522808330435,0.15000000000000036,0.0,False,True
H_INSTRUCTIONAL_SIGNAGE_02_V0,GRID_W14_ROWS,-3.1250839647966235,-3.1250839647966235,r3,-3.2750839647966234,0.1499999999999999,0.0,False,True
H_INSTRUCTIONAL_SIGNAGE_02_V1,GRID_W14_ROWS,0.006966960976597214,0.006966960976597214,r3,-0.1430330390234027,0.1499999999999999,0.0,False,True
H_INSTRUCTIONAL_SIGNAGE_02_V2,GRID_W14_ROWS,-0.46887813519430477,-0.46887813519430477,r3,-0.6188781351943042,0.14999999999999947,0.0,False,True
H_INSTRUCTIONAL_SIGNAGE_03_V0,GRID_W14_ROWS,-4.119382987133449,-4.119382987133449,r3,-4.269382987133448,0.14999999999999947,0.0,False,True
H_INSTRUCTIONAL_SIGNAGE_03_V1,GRID_W14_ROWS,0.5323021912362452,0.5323021912362452,r3,0.3823021912362451,0.15000000000000013,0.0,False,True
H_INSTRUCTIONAL_SIGNAGE_03_V2,GRID_W14_ROWS,-1.2991257001305536,-1.2991257001305536,r3,-1.449125700130553,0.14999999999999947,0.0,False,True
H_INSTRUCTIONAL_SIGNAGE_04_V0,GRID_W14_ROWS,0.10809187928917119,0.10809187928917119,r3,-0.041908120710829166,0.15000000000000036,0.0,False,True
H_INSTRUCTIONAL_SIGNAGE_04_V1,GRID_W14_ROWS,-0.7879601097387621,-0.7879601097387621,r3,-0.9379601097387624,0.15000000000000036,0.0,False,True
H_INSTRUCTIONAL_SIGNAGE_04_V2,GRID_W14_ROWS,2.664297708891489,2.664297708891489,r3,2.5142977088914904,0.14999999999999858,0.0,False,True
H_DECLARATIVE_PROSE_00_V0,GRID_W14_ROWS,-2.799748734536975,-2.799748734536975,r3,-2.949748734536975,0.1499999999999999,0.0,False,True
H_DECLARATIVE_PROSE_00_V1,GRID_W14_ROWS,-0.1997487345369755,-0.1997487345369755,r3,-0.34974873453697564,0.15000000000000013,0.0,False,True
H_DECLARATIVE_PROSE_00_V2,GRID_W14_ROWS,-0.7311766259037746,-0.7311766259037746,r3,-0.881176625903775,0.15000000000000036,0.0,False,True
H_DECLARATIVE_PROSE_01_V0,GRID_W14_ROWS,-1.5151740322117737,-1.5151740322117737,r3,-1.665174032211774,0.15000000000000036,0.0,False,True
H_DECLARATIVE_PROSE_01_V1,GRID_W14_ROWS,-1.5128989101018755,-1.5128989101018755,r3,-1.6628989101018754,0.1499999999999999,0.0,False,True
H_DECLARATIVE_PROSE_01_V2,GRID_W14_ROWS,0.5410317973905432,0.5410317973905432,r3,0.39103179739054283,0.15000000000000036,0.0,False,True
H_DECLARATIVE_PROSE_02_V0,GRID_W14_ROWS,-3.175121630484814,-3.175121630484814,r3,-3.325121630484814,0.1499999999999999,0.0,False,True
H_DECLARATIVE_PROSE_02_V1,GRID_W14_ROWS,-0.9913855263418996,-0.9913855263418996,r3,-1.1413855263418995,0.1499999999999999,0.0,False,True
H_DECLARATIVE_PROSE_02_V2,GRID_W14_ROWS,0.4091871139186587,0.4091871139186587,r3,0.25918711391865834,0.15000000000000036,0.0,False,True
H_DECLARATIVE_PROSE_03_V0,GRID_W14_ROWS,-3.0669896825562697,-3.0669896825562697,r3,-3.21698968255627,0.15000000000000036,0.0,False,True
H_DECLARATIVE_PROSE_03_V2,GRID_W14_ROWS,-0.8025214330506039,-0.8025214330506039,r3,-0.9525214330506042,0.15000000000000036,0.0,False,True
H_DECLARATIVE_PROSE_04_V0,GRID_W14_ROWS,-1.7522178094406842,-1.7522178094406842,r3,-1.9022178094406836,0.14999999999999947,0.0,False,True
H_DECLARATIVE_PROSE_04_V1,GRID_W14_ROWS,-1.6925311551172513,-1.6925311551172513,r3,-1.8425311551172514,0.15000000000000013,0.0,False,True
H_DECLARATIVE_PROSE_04_V2,GRID_W14_ROWS,-1.079697689835415,-1.079697689835415,r3,-1.2296976898354153,0.15000000000000036,0.0,False,True
H_MUSEUM_CAPTION_00_V0,GRID_W14_ROWS,-1.0693706976259243,-1.0693706976259243,r3,-1.2193706976259238,0.14999999999999947,0.0,False,True
H_MUSEUM_CAPTION_00_V2,GRID_W14_ROWS,-1.0734745567534603,-1.0734745567534603,r3,-1.2234745567534606,0.15000000000000036,0.0,False,True
H_MUSEUM_CAPTION_01_V0,GRID_W14_ROWS,-3.8751216304848133,-3.8751216304848133,r3,-4.025121630484813,0.1499999999999999,0.0,False,True
H_MUSEUM_CAPTION_01_V1,GRID_W14_ROWS,0.8912049490256616,0.8912049490256616,r3,0.7412049490256617,0.1499999999999999,0.0,False,True
H_MUSEUM_CAPTION_01_V2,GRID_W14_ROWS,-0.05486434348191871,-0.05486434348191871,r3,-0.20486434348191906,0.15000000000000036,0.0,False,True
H_MUSEUM_CAPTION_02_V0,GRID_W14_ROWS,-3.615510746487911,-3.615510746487911,r3,-3.765510746487911,0.1499999999999999,0.0,False,True
H_MUSEUM_CAPTION_02_V2,GRID_W14_ROWS,-1.3273043852582376,-1.3273043852582376,r3,-1.477304385258237,0.14999999999999947,0.0,False,True
H_MUSEUM_CAPTION_03_V0,GRID_W14_ROWS,-3.803300315612497,-3.803300315612497,r3,-3.953300315612497,0.1499999999999999,0.0,False,True
H_MUSEUM_CAPTION_03_V1,GRID_W14_ROWS,-0.6401128325748757,-0.6401128325748757,r3,-0.7901128325748759,0.15000000000000013,0.0,False,True
H_MUSEUM_CAPTION_03_V2,GRID_W14_ROWS,-2.647094486010179,-2.647094486010179,r3,-2.797094486010179,0.15000000000000036,0.0,False,True
H_MUSEUM_CAPTION_04_V0,GRID_W14_ROWS,-2.223486846260985,-2.223486846260985,r3,-2.373486846260985,0.1499999999999999,0.0,False,True
H_MUSEUM_CAPTION_04_V2,GRID_W14_ROWS,-1.3871215115564732,-1.3871215115564732,r3,-1.5371215115564736,0.15000000000000036,0.0,False,True
H_NEUTRAL_IMPERATIVE_00_V0,GRID_W14_ROWS,1.1990709390324747,1.1990709390324747,r3,1.0490709390324744,0.15000000000000036,0.0,False,True
H_NEUTRAL_IMPERATIVE_00_V2,GRID_W14_ROWS,1.4271738538336294,1.4271738538336294,r3,1.277173853833629,0.15000000000000036,0.0,False,True
H_NEUTRAL_IMPERATIVE_01_V0,GRID_W14_ROWS,0.2794366864360027,0.2794366864360027,r3,0.12943668643600326,0.14999999999999947,0.0,False,True
H_NEUTRAL_IMPERATIVE_01_V1,GRID_W14_ROWS,-2.3127176857657394,-2.3127176857657394,r3,-2.462717685765739,0.14999999999999947,0.0,False,True
H_NEUTRAL_IMPERATIVE_01_V2,GRID_W14_ROWS,2.0715910586377433,2.0715910586377433,r3,1.921591058637743,0.15000000000000036,0.0,False,True
H_NEUTRAL_IMPERATIVE_02_V0,GRID_W14_ROWS,-2.3555377720342054,-2.3555377720342054,r3,-2.5055377720342054,0.1499999999999999,0.0,False,True
H_NEUTRAL_IMPERATIVE_02_V2,GRID_W14_ROWS,1.709136719772804,1.709136719772804,r3,1.5591367197728054,0.14999999999999858,0.0,False,True
H_NEUTRAL_IMPERATIVE_03_V0,GRID_W14_ROWS,-0.6439049953914617,-0.6439049953914617,r3,-0.7939049953914612,0.14999999999999947,0.0,False,True
H_NEUTRAL_IMPERATIVE_03_V2,GRID_W14_ROWS,-0.7386258238054975,-0.7386258238054975,r3,-0.8886258238054978,0.15000000000000036,0.0,False,True
H_NEUTRAL_IMPERATIVE_04_V0,GRID_W14_ROWS,-5.32293456820897,-5.32293456820897,r3,-5.47293456820897,0.15000000000000036,0.0,False,True
