campaign,label,delta_vs_windowed,delta_vs_shuffled,distance_windowed,distance_shuffled,combined_distance
C7,ASMKL_000,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_001,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_003,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_004,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_005,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_006,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_007,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_008,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_009,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_010,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_011,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_012,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_013,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_014,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_015,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_016,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_017,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_018,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_019,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_020,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_021,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_022,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_023,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_024,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_025,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_026,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_027,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_028,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_029,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_030,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_032,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_034,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_035,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_036,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_037,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_038,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_039,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_040,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_041,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_042,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_043,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_044,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_045,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_047,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_048,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_049,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_050,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_051,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_052,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_053,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_054,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_055,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_056,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_057,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_058,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_059,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_060,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_061,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_062,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_063,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_064,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_065,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_066,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_068,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_069,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_071,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_073,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_074,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_075,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_076,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_077,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_079,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_080,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_081,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_082,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_083,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_084,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_085,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_086,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_087,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_089,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_090,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_091,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_092,0.0,0.0,0.05,0.1,0.1118033988749895
C7,ASMKL_093,0.0,0.0,0.05,0.1,0.1118033988749895
