label,delta_vs_windowed,delta_vs_shuffled,pass_deltas,p_value,pass_nulls,tie_rate,pass_orbits
C13_000,0.0,0.0,False,,,,
C13_001,0.0,0.0,False,,,,
C13_002,0.0,0.0,False,,,,
C13_003,0.0,0.0,False,,,,
C13_004,0.0,0.0,False,,,,
C13_005,0.0,0.0,False,,,,
C13_006,0.0,0.0,False,,,,
C13_007,0.0,0.0,False,,,,
C13_008,0.0,0.0,False,,,,
C13_009,0.0,0.0,False,,,,
C13_010,0.0,0.0,False,,,,
C13_011,0.0,0.0,False,,,,
C13_012,0.0,0.0,False,,,,
C13_013,0.0,0.0,False,,,,
C13_014,0.0,0.0,False,,,,
C13_015,0.0,0.0,False,,,,
C13_016,0.0,0.0,False,,,,
C13_017,0.0,0.0,False,,,,
C13_018,0.0,0.0,False,,,,
C13_019,0.0,0.0,False,,,,
C13_020,0.0,0.0,False,,,,
C13_021,0.0,0.0,False,,,,
C13_022,0.0,0.0,False,,,,
C13_023,0.0,0.0,False,,,,
C13_024,0.0,0.0,False,,,,
C13_025,0.0,0.0,False,,,,
C13_026,0.0,0.0,False,,,,
C13_027,0.0,0.0,False,,,,
C13_028,0.0,0.0,False,,,,
C13_029,0.0,0.0,False,,,,
C13_030,0.0,0.0,False,,,,
C13_031,0.0,0.0,False,,,,
C13_032,0.0,0.0,False,,,,
C13_033,0.0,0.0,False,,,,
C13_034,0.0,0.0,False,,,,
C13_035,0.0,0.0,False,,,,
C13_036,0.0,0.0,False,,,,
C13_037,0.0,0.0,False,,,,
C13_038,0.0,0.0,False,,,,
C13_039,0.0,0.0,False,,,,
C13_040,0.0,0.0,False,,,,
C13_041,0.0,0.0,False,,,,
C13_042,0.0,0.0,False,,,,
C13_043,0.0,0.0,False,,,,
C13_044,0.0,0.0,False,,,,
C13_045,0.0,0.0,False,,,,
C13_046,0.0,0.0,False,,,,
C13_047,0.0,0.0,False,,,,
C13_048,0.0,0.0,False,,,,
C13_049,0.0,0.0,False,,,,
C13_050,0.0,0.0,False,,,,
C13_051,0.0,0.0,False,,,,
C13_052,0.0,0.0,False,,,,
C13_053,0.0,0.0,False,,,,
C13_054,0.0,0.0,False,,,,
C13_055,0.0,0.0,False,,,,
C13_056,0.0,0.0,False,,,,
C13_057,0.0,0.0,False,,,,
C13_058,0.0,0.0,False,,,,
C13_059,0.0,0.0,False,,,,
C13_060,0.0,0.0,False,,,,
C13_061,0.0,0.0,False,,,,
C13_062,0.0,0.0,False,,,,
C13_063,0.0,0.0,False,,,,
C13_064,0.0,0.0,False,,,,
C13_065,0.0,0.0,False,,,,
C13_066,0.0,0.0,False,,,,
C13_067,0.0,0.0,False,,,,
C13_068,0.0,0.0,False,,,,
C13_069,0.0,0.0,False,,,,
C13_070,0.0,0.0,False,,,,
C13_071,0.0,0.0,False,,,,
C13_072,0.0,0.0,False,,,,
C13_073,0.0,0.0,False,,,,
C13_074,0.0,0.0,False,,,,
C13_075,0.0,0.0,False,,,,
C13_076,0.0,0.0,False,,,,
C13_077,0.0,0.0,False,,,,
C13_078,0.0,0.0,False,,,,
C13_079,0.0,0.0,False,,,,
C13_080,0.0,0.0,False,,,,
C13_081,0.0,0.0,False,,,,
C13_082,0.0,0.0,False,,,,
C13_083,0.0,0.0,False,,,,
C13_084,0.0,0.0,False,,,,
C13_085,0.0,0.0,False,,,,
C13_086,0.0,0.0,False,,,,
C13_087,0.0,0.0,False,,,,
C13_088,0.0,0.0,False,,,,
C13_089,0.0,0.0,False,,,,
C13_090,0.0,0.0,False,,,,
C13_091,0.0,0.0,False,,,,
C13_092,0.0,0.0,False,,,,
C13_093,0.0,0.0,False,,,,
C13_094,0.0,0.0,False,,,,
C13_095,0.0,0.0,False,,,,
C13_096,0.0,0.0,False,,,,
C13_097,0.0,0.0,False,,,,
C13_098,0.0,0.0,False,,,,
C13_099,0.0,0.0,False,,,,
