label,grid,anchor_mode,delta_vs_windowed,delta_vs_shuffled,z_ngram_blind,pass_deltas,within_eps_0.10,within_eps_0.05,repair_improvement,saliency_mean
BLINDED_CH00_S1_I004,v4_track_a,fixed,0.0,0.0,0,False,True,False,0.0,0
BLINDED_CH00_Sbest_I020,v4_track_a,fixed,0.0,0.0,0,False,True,False,0.0,0
BLINDED_CH01_S1_I004,v4_track_a,fixed,0.0,0.0,0,False,True,False,0.27570642147953084,0
BLINDED_CH01_Sbest_I020,v4_track_a,fixed,0.0,0.0,0,False,True,False,0.27570642147953084,0
BLINDED_CH00_S2_I009,v4_track_a,fixed,0.0,0.0,0,False,True,False,0.21333414161483066,0
BLINDED_CH00_S1_I003,v4_track_a,fixed,0.0,0.0,0,False,True,False,0.06962622188326062,0
BLINDED_CH01_S1_I003,v4_track_a,fixed,0.0,0.0,0,False,True,False,0.10408913766688643,0
BLINDED_CH01_S2_I009,v4_track_a,fixed,0.0,0.0,0,False,True,False,0.28389417841356757,0
BLINDED_CH00_S3_I014,v4_track_a,fixed,0.0,0.0,0,False,True,False,0.07901004357690455,0
BLINDED_CH00_S4_I019,v4_track_a,fixed,0.0,0.0,0,False,True,False,0.11690102899030919,0
BLINDED_CH01_S3_I014,v4_track_a,fixed,0.0,0.0,0,False,True,False,0.06629554013448358,0
BLINDED_CH01_S4_I019,v4_track_a,fixed,0.0,0.0,0,False,True,False,0.11760292997761113,0
BLINDED_CH01_S1_I002,v4_track_a,fixed,0.0,0.0,0,False,True,False,0.46842812414282786,0
BLINDED_CH01_S2_I008,v4_track_a,fixed,0.0,0.0,0,False,True,False,0.16225553246320157,0
BLINDED_CH00_S1_I002,v4_track_a,fixed,0.0,0.0,0,False,True,False,0.3976611081293857,0
BLINDED_CH01_S2_I006,v4_track_a,fixed,0.0,0.0,0,False,True,False,0.13037915249855336,0
BLINDED_CH00_S4_I015,v4_track_a,fixed,0.0,0.0,0,False,True,False,0.2964230260552556,0
BLINDED_CH01_S4_I016,v4_track_a,fixed,0.0,0.0,0,False,True,False,0.3911998929902061,0
BLINDED_CH01_S4_I017,v4_track_a,fixed,0.0,0.0,0,False,True,False,0.3471403773936306,0
BLINDED_CH00_S2_I008,v4_track_a,fixed,0.0,0.0,0,False,True,False,0.6088321950116606,0
BLINDED_CH00_S3_I012,v4_track_a,fixed,0.0,0.0,0,False,True,False,0.2410817818998794,0
BLINDED_CH01_S3_I013,v4_track_a,fixed,0.0,0.0,0,False,True,False,0.2937617770236369,0
BLINDED_CH01_S3_I010,v4_track_a,fixed,0.0,0.0,0,False,True,False,0.35755838581387733,0
BLINDED_CH00_S3_I011,v4_track_a,fixed,0.0,0.0,0,False,True,False,0.43463618678151805,0
BLINDED_CH01_S1_I001,v4_track_a,fixed,0.0,0.0,0,False,True,False,0.24342862391163989,0
