label,seed_u64,arm,fw_post,verb_post,cov_post,pattern_post,delta_windowed_min,delta_shuffled,passed_head_gate,passed_deltas,leakage_diff
HEAD_00,1975402098572957550,B,16,2,0.8571428571428571,True,0.3148946535135795,0.15744732675678974,1,1,0.0
HEAD_01,13460563473273333777,B,19,3,0.8857142857142857,True,0.3402178649237473,0.17010893246187364,1,1,0.0
HEAD_02,3950149287242314772,B,19,3,0.8666666666666667,True,0.2975378787878791,0.14876893939393954,1,1,0.0
HEAD_03,13776871397737721034,B,9,3,0.85,True,0.39504643962848274,0.19752321981424137,0,1,0.0
HEAD_04,15511068292415480193,B,16,3,0.8518518518518519,True,0.39504643962848274,0.19752321981424137,1,1,0.0
HEAD_05,2922814630681453225,B,13,3,0.85,True,0.3362229102167178,0.1681114551083589,1,1,0.0
HEAD_06,16833068982366365622,B,21,3,0.8857142857142857,True,0.3402178649237473,0.17010893246187364,1,1,0.0
HEAD_07,13093165621624778819,B,15,2,0.8518518518518519,True,0.35388471177944814,0.17694235588972407,1,1,0.0
HEAD_08,10815399083731120431,B,14,3,0.8709677419354839,True,0.2975378787878791,0.14876893939393954,1,1,0.0
HEAD_09,10347509652114435445,B,18,2,0.85,True,0.39504643962848274,0.19752321981424137,1,1,0.0
HEAD_10,826317727972303153,B,15,3,0.85,True,0.4470588235294115,0.22352941176470575,1,1,0.0
HEAD_11,16941210253936338097,B,21,3,0.8888888888888888,True,0.32771672771672744,0.16385836385836372,1,1,0.0
HEAD_12,5425356122684808648,B,15,2,0.85,True,0.39504643962848274,0.19752321981424137,1,1,0.0
HEAD_13,12039931183824672265,B,10,3,0.85,True,0.3569444444444443,0.17847222222222214,1,1,0.0
HEAD_14,7940465571352179079,B,14,3,0.85,True,0.3362229102167178,0.1681114551083589,1,1,0.0
HEAD_15,6770422667288037831,B,18,2,0.8666666666666667,True,0.3884469696969699,0.19422348484848495,1,1,0.0
HEAD_16,13470124672769208408,B,15,3,0.8518518518518519,True,0.39504643962848274,0.19752321981424137,1,1,0.0
HEAD_17,2913821652081449598,B,18,4,0.8666666666666667,True,0.28901515151515156,0.14450757575757578,1,1,0.0
HEAD_18,7868373126219719948,B,22,3,0.8823529411764706,True,0.3536858974358976,0.1768429487179488,1,1,0.0
HEAD_19,13924051287747377235,B,20,2,0.875,True,0.368231884057971,0.1841159420289855,1,1,0.0
HEAD_20,13148033676609627799,B,15,2,0.85,True,0.4194444444444443,0.20972222222222214,1,1,0.0
HEAD_21,2644515999935403085,B,16,2,0.85,True,0.39504643962848274,0.19752321981424137,1,1,0.0
HEAD_22,11339605460005497507,B,13,3,0.85,True,0.3362229102167178,0.1681114551083589,1,1,0.0
HEAD_23,11932419314105630688,B,13,2,0.85,True,0.3569444444444443,0.17847222222222214,1,1,0.0
HEAD_24,5851794905893938905,B,15,2,0.85,True,0.4194444444444443,0.20972222222222214,1,1,0.0
HEAD_25,6722617410761508978,B,13,2,0.85,True,0.3994871794871795,0.19974358974358974,1,1,0.0
HEAD_26,10478662413217194186,B,18,2,0.85,True,0.39504643962848274,0.19752321981424137,1,1,0.0
HEAD_27,7367615021488155628,B,14,3,0.8518518518518519,True,0.39504643962848274,0.19752321981424137,1,1,0.0
HEAD_28,6889758647716654504,B,21,2,0.8823529411764706,True,0.3402178649237473,0.17010893246187364,1,1,0.0
HEAD_29,890696704844860377,B,13,2,0.85,True,0.4194444444444443,0.20972222222222214,1,1,0.0
HEAD_30,8748203877846751005,B,15,2,0.8571428571428571,True,0.3429924242424245,0.17149621212121224,1,1,0.0
HEAD_31,13960285862306881115,B,21,2,0.875,True,0.3402178649237473,0.17010893246187364,1,1,0.0
HEAD_32,17834609683462753083,B,14,2,0.85,True,0.4470588235294115,0.22352941176470575,1,1,0.0
HEAD_33,397049846576534302,B,15,3,0.85,True,0.4470588235294115,0.22352941176470575,1,1,0.0
HEAD_34,10068894256177647060,B,18,3,0.8666666666666667,True,0.35859213250517596,0.17929606625258798,1,1,0.0
HEAD_35,16026486443713661808,B,14,2,0.85,True,0.39504643962848274,0.19752321981424137,1,1,0.0
HEAD_36,10486488143344256544,B,22,2,0.8787878787878788,True,0.3536858974358976,0.1768429487179488,1,1,0.0
HEAD_37,13118398416653754356,B,16,2,0.85,True,0.3362229102167178,0.1681114551083589,1,1,0.0
HEAD_38,6811282190982147458,B,18,3,0.8571428571428571,True,0.30101010101010095,0.15050505050505047,1,1,0.0
HEAD_39,13221746601947675737,B,17,2,0.85,True,0.39437054173896247,0.19718527086948123,1,1,0.0
HEAD_40,17964125000071540582,B,16,2,0.8518518518518519,True,0.3733333333333335,0.18666666666666676,1,1,0.0
HEAD_41,4304261876498653604,B,13,3,0.8518518518518519,True,0.39504643962848274,0.19752321981424137,1,1,0.0
HEAD_42,5333355457926779827,B,18,2,0.8823529411764706,True,0.3402178649237473,0.17010893246187364,1,1,0.0
HEAD_43,8596803448041886270,B,14,3,0.8518518518518519,True,0.39504643962848274,0.19752321981424137,1,1,0.0
HEAD_44,15566061185739901712,B,17,2,0.8709677419354839,True,0.3536858974358976,0.1768429487179488,1,1,0.0
HEAD_45,5589124774796833804,B,12,2,0.85,True,0.4785714285714282,0.2392857142857141,1,1,0.0
HEAD_46,4512188494912444598,B,16,2,0.85,True,0.4090277777777773,0.20451388888888866,1,1,0.0
HEAD_47,9449819907817827475,B,15,2,0.85,True,0.4470588235294115,0.22352941176470575,1,1,0.0
HEAD_48,1979726295375567330,B,24,2,0.8787878787878788,True,0.3536858974358976,0.1768429487179488,1,1,0.0
HEAD_49,11472066713682077192,B,14,3,0.8666666666666667,True,0.3864309603440037,0.19321548017200185,1,1,0.0
HEAD_50,16063067471411344649,B,13,2,0.85,True,0.39504643962848274,0.19752321981424137,1,1,0.0
HEAD_51,15040549053326765019,B,12,3,0.85,True,0.4194444444444443,0.20972222222222214,1,1,0.0
HEAD_52,10177912822230589594,B,15,2,0.85,True,0.33011363636363633,0.16505681818181817,1,1,0.0
HEAD_53,17603076224554458774,B,19,3,0.8666666666666667,True,0.37564935064935057,0.18782467532467528,1,1,0.0
HEAD_54,3709587748338003867,B,20,2,0.875,True,0.3536858974358976,0.1768429487179488,1,1,0.0
HEAD_55,13436520328784381149,B,12,3,0.85,True,0.3362229102167178,0.1681114551083589,1,1,0.0
HEAD_56,14261679247551641220,B,10,3,0.85,True,0.3569444444444443,0.17847222222222214,1,1,0.0
HEAD_57,9908423258425526131,B,17,3,0.8709677419354839,True,0.3247536231884056,0.1623768115942028,1,1,0.0
HEAD_58,13441952339482880333,B,10,3,0.85,True,0.4194444444444443,0.20972222222222214,1,1,0.0
HEAD_59,2679952210823343617,B,23,3,0.8857142857142857,True,0.32771672771672744,0.16385836385836372,1,1,0.0
HEAD_60,3704560471731577377,B,20,3,0.8620689655172413,True,0.3429924242424245,0.17149621212121224,1,1,0.0
