label,seed_u64,weights_sha256,route_id,t2_sha256,classing,encrypts_to_ct,plaintext_97,pt_sha256,coverage,f_words,has_verb,delta_windowed,delta_shuffled,leakage_diff,notes
HEAD_00_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_01_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_02_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_03_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_04_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_05_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_06_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_07_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_08_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_09_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_10_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_11_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_12_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_13_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_14_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_15_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_16_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_17_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_18_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_19_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_20_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_21_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_22_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_23_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_24_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_25_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_26_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_27_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_28_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_29_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_30_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_31_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
