idx,s,x,y,z
0,0.0000,-64.9875,-52.0000,78.4369
10,32.1649,-58.4504,-50.6220,76.8298
20,59.0778,-51.1777,-47.8253,77.3990
30,87.5047,-43.1098,-44.3027,70.3625
40,109.2730,-37.0415,-39.9955,78.1344
50,131.2892,-32.7145,-35.8646,82.1184
60,156.6877,-29.2716,-31.5362,74.9987
70,182.7140,-26.9206,-27.7773,79.0708
80,211.8909,-24.9769,-23.9761,79.5957
90,241.4202,-23.1602,-21.2918,80.8840
100,268.3317,-21.0541,-17.5194,73.5342
110,297.3799,-20.3990,-14.5420,74.3273
120,323.0285,-20.2012,-11.6058,81.2653
130,351.7369,-21.4296,-8.0840,84.9136
140,379.4829,-21.4224,-6.0573,66.1267
150,408.4145,-21.2427,-3.0826,73.7052
160,437.4410,-21.7407,0.0470,80.4817
170,466.6142,-22.6374,3.9539,73.8726
180,493.8094,-21.8086,7.1490,81.8083
190,523.5516,-22.8047,9.8371,69.0420
200,554.1362,-25.4897,11.4962,74.4715
210,580.7701,-27.3578,15.0837,71.1430
220,610.0777,-29.4425,18.2855,74.2661
230,638.2364,-30.1994,22.0267,66.1149
240,670.4378,-32.3819,23.7712,78.2694
250,698.3405,-33.7986,26.9087,78.2785
260,719.5225,-35.7447,31.5588,74.6001
270,748.1282,-38.3615,33.1416,81.6883
280,776.0438,-39.2340,36.5709,81.5556
290,804.2159,-38.7421,40.4277,74.8890
300,832.0288,-39.0370,43.9534,79.9644
310,859.9335,-39.2586,47.3449,80.6285
320,891.0671,-40.1925,50.2372,72.9020
330,917.0597,-39.0212,53.6627,72.2435
340,943.1687,-38.5449,57.3294,73.8799
350,970.6068,-37.8519,61.0772,75.3995
360,1001.2422,-36.6861,63.7642,73.0415
370,1032.2111,-35.5109,66.7074,71.3900
380,1061.4709,-33.9609,69.9015,73.1078
390,1083.1625,-31.5084,75.2589,75.2776
400,1106.5778,-26.7323,79.5587,78.2170
410,1134.9942,-23.8065,82.5748,77.2244
420,1165.1725,-21.9156,85.3999,77.8582
430,1197.5966,-14.2577,88.3851,75.3044
440,1223.6745,1.2283,91.9048,78.7234
450,1253.2050,7.4649,93.3959,75.3807
