index,nearest_tick_idx,s,x,y,z,u,v,row
0,0,0.0000,-64.9875,-52.0000,78.4369,0.001816,0.961671,4
1,2,6.7352,-61.1633,-51.5041,72.9150,0.005111,0.838545,4
2,3,9.9997,-64.1195,-51.3694,74.2934,0.007167,0.912479,4
3,4,13.3672,-67.1571,-51.2366,75.7411,0.009615,0.981728,4
4,6,18.6946,-71.8415,-50.9805,78.2441,0.015261,0.995567,4
5,13,39.8418,-59.3530,-50.2321,77.0928,0.030163,0.995340,4
6,14,43.2094,-62.6857,-50.0685,77.5471,0.032471,0.236816,1
7,17,50.6406,-57.3657,-49.0983,77.1299,0.037842,0.071426,1
8,21,62.4453,-50.4429,-47.5968,80.6775,0.046562,0.967529,4
9,24,69.8034,-47.4287,-46.4651,74.3401,0.054199,0.236816,1
10,27,77.4976,-45.2814,-45.3666,80.0193,0.059570,0.110352,1
11,29,84.2250,-44.2192,-44.8667,73.3969,0.064941,0.071426,1
12,32,93.2308,-42.0271,-43.6430,75.8910,0.070807,0.440918,2
13,33,94.7224,-41.6835,-43.4127,77.3241,0.073378,0.989014,4
14,40,109.2730,-37.0415,-39.9955,78.1344,0.089355,0.944824,4
15,42,115.1251,-34.2700,-38.7315,74.4922,0.092163,0.978027,4
16,45,120.3417,-33.7958,-37.0243,77.4760,0.099359,0.672991,3
17,48,127.5867,-33.0596,-36.2368,78.9351,0.105957,0.966797,4
18,49,130.9542,-32.9049,-36.0760,82.2952,0.108398,0.093750,1
19,52,136.8373,-30.5500,-35.1537,77.8872,0.115051,0.812852,4
20,53,139.3859,-30.7380,-34.7123,80.3902,0.117952,0.763796,4
21,55,143.5041,-31.0505,-33.9034,77.2318,0.122192,0.743734,3
22,56,146.8717,-30.7981,-33.6018,73.8873,0.124512,0.049854,1
23,63,165.0313,-26.6499,-30.4535,67.2135,0.139160,0.994629,4
24,64,168.3989,-27.2535,-30.2807,70.5220,0.141968,0.892334,4
25,70,182.7140,-26.9206,-27.7773,79.0708,0.153954,0.477477,2
26,77,203.6662,-25.6837,-25.3784,86.5521,0.169189,0.385742,2
27,79,208.9355,-23.3386,-24.4880,82.0016,0.173828,0.253418,2
28,81,215.2585,-23.2857,-23.5927,82.4824,0.179462,0.872934,4
29,83,220.4689,-23.6585,-23.2776,77.3150,0.183680,0.917480,4
30,85,227.2041,-24.5475,-23.0247,70.6435,0.187744,0.673340,3
31,86,229.2676,-24.5121,-22.7012,72.6813,0.190004,0.843064,4
32,87,232.6344,-24.3450,-22.2642,76.0154,0.192139,0.557129,3
33,88,236.0000,-24.1905,-21.8563,79.3526,0.194469,0.828458,4
34,91,244.7877,-22.0474,-21.0294,77.7165,0.199670,0.835810,4
35,94,251.7382,-21.8124,-19.3989,73.5334,0.206299,0.214844,1
36,95,255.1058,-22.9905,-19.0686,70.3960,0.209949,0.656424,3
37,101,271.6035,-21.8484,-17.2477,76.6965,0.223450,0.466943,2
38,103,276.2418,-21.2510,-16.3337,79.9669,0.227513,0.540527,3
39,110,297.3799,-20.3990,-14.5420,74.3273,0.241455,0.540527,3
40,113,303.6050,-21.9692,-13.3656,70.2515,0.249093,0.793886,4
41,115,307.9393,-21.4167,-12.8752,74.3821,0.252441,0.540527,3
42,121,325.4966,-19.7736,-11.4574,83.6916,0.265869,0.132324,1
43,125,336.5924,-21.1319,-9.7099,79.9152,0.275635,0.656689,3
44,127,341.7790,-21.3153,-8.5099,74.9654,0.279053,0.462305,2
45,128,345.0018,-21.3501,-8.3634,78.1847,0.282227,0.192822,1
46,129,348.3694,-21.3899,-8.2237,81.5491,0.284424,0.523926,3
47,132,356.0445,-19.7021,-7.5535,82.5867,0.289795,0.440918,2
48,133,359.2218,-20.9251,-7.1307,79.6848,0.293709,0.214237,1
49,140,379.4829,-21.4224,-6.0573,66.1267,0.308506,0.479492,2
50,143,387.4186,-21.4366,-5.6331,71.6588,0.314941,0.214844,1
51,145,394.1198,-21.4612,-4.8007,78.3035,0.319824,0.656689,3
52,148,404.1281,-21.4999,-4.1407,75.0270,0.325391,0.717480,3
53,149,406.8601,-20.7769,-3.8104,72.4132,0.327393,0.994629,4
54,150,408.4145,-21.2427,-3.0826,73.7052,0.331055,0.154297,1
55,153,417.4474,-21.6760,-1.8412,77.1641,0.336670,0.214844,1
56,155,423.7842,-21.6622,-1.4867,70.8376,0.342102,0.656657,3
57,161,440.7088,-20.2319,0.5252,83.3406,0.354980,0.912109,4
58,163,447.0987,-22.2064,1.2399,83.1286,0.358354,0.939209,4
59,166,456.0084,-21.5599,2.2799,74.5226,0.365674,0.890137,4
60,167,457.7213,-22.0066,3.1581,75.9238,0.368402,0.595703,3
61,169,463.2466,-21.5963,3.7043,77.0655,0.371238,0.507324,3
62,172,472.0801,-21.8006,4.6876,78.4402,0.378632,0.507324,3
63,178,488.5051,-22.9079,6.6786,80.5045,0.391050,0.192808,1
64,179,491.8726,-21.9679,6.9422,83.7274,0.393311,0.424316,2
65,182,499.4923,-22.0631,7.5338,76.1477,0.399258,0.595703,3
66,183,502.8599,-22.9610,7.7435,79.3866,0.401564,0.214355,1
67,187,513.5166,-23.0630,9.3882,79.0461,0.410156,0.440918,2
68,191,526.9192,-22.8545,9.9613,65.6771,0.421021,0.523926,3
69,196,541.7152,-25.1893,10.8094,80.1441,0.431396,0.385742,2
70,204,560.9286,-24.7902,14.0962,71.8100,0.447998,0.424316,2
71,212,587.5049,-27.7881,15.7722,77.8282,0.465088,0.785645,4
72,215,596.5028,-28.1416,17.3428,80.5248,0.471924,0.110352,1
73,217,603.0686,-29.1007,17.7632,74.0898,0.478027,0.236816,1
74,219,606.7101,-29.3273,18.0985,70.9057,0.481934,0.479492,2
75,221,613.4452,-29.5577,18.4725,77.6264,0.485679,0.970017,4
76,227,628.3622,-31.2278,20.7058,75.7466,0.498047,0.994629,4
77,232,644.9715,-31.8092,22.3203,59.5816,0.509033,0.968926,4
78,233,648.3391,-32.6142,22.4670,56.3149,0.511694,0.313965,2
79,244,682.5817,-33.5914,25.2779,77.0129,0.535400,0.402344,2
