idx,s,x,y,z
0,0.0000,-64.9875,-52.0000,78.4369
1,3.3676,-63.0754,-51.7520,75.6760
2,6.7352,-61.1633,-51.5041,72.9150
3,9.9997,-64.1195,-51.3694,74.2934
4,13.3672,-67.1571,-51.2366,75.7411
5,16.7348,-70.1947,-51.1039,77.1888
6,18.6946,-71.8415,-50.9805,78.2441
7,22.0621,-68.4937,-50.8909,77.8905
8,25.4297,-65.1459,-50.8012,77.5369
9,28.7973,-61.7982,-50.7116,77.1833
10,32.1649,-58.4504,-50.6220,76.8298
11,35.5324,-55.1027,-50.5324,76.4762
12,36.4742,-56.0202,-50.3956,76.6384
13,39.8418,-59.3530,-50.2321,77.0928
14,43.2094,-62.6857,-50.0685,77.5471
15,44.3057,-62.5905,-49.7937,76.4901
16,47.2731,-60.0084,-49.4407,75.0710
17,50.6406,-57.3657,-49.0983,77.1299
18,53.8746,-54.2395,-48.6089,77.7978
19,56.9723,-52.1577,-48.1136,75.5580
20,59.0778,-51.1777,-47.8253,77.3990
21,62.4453,-50.4429,-47.5968,80.6775
22,63.4884,-49.5566,-47.2879,80.2223
23,66.8555,-48.5354,-46.9051,77.0367
24,69.8034,-47.4287,-46.4651,74.3401
25,73.1691,-46.3484,-45.9861,77.4915
26,76.5367,-45.7841,-45.6352,80.7929
27,77.4976,-45.2814,-45.3666,80.0193
28,80.8652,-44.8174,-45.1495,76.6909
29,84.2250,-44.2192,-44.8667,73.3969
30,87.5047,-43.1098,-44.3027,70.3625
31,89.8632,-42.3400,-43.8436,72.5440
32,93.2308,-42.0271,-43.6430,75.8910
33,94.7224,-41.6835,-43.4127,77.3241
34,98.0899,-41.2633,-43.1083,73.9968
35,99.4205,-40.3756,-42.5231,74.7969
36,102.7828,-38.3650,-42.2146,77.4741
37,104.4074,-37.5613,-41.8278,78.8319
38,105.5602,-38.3897,-41.1357,79.2365
39,107.8363,-37.7967,-40.6395,77.0958
40,109.2730,-37.0415,-39.9955,78.1344
41,112.6405,-36.5745,-39.5990,74.8231
42,115.1251,-34.2700,-38.7315,74.4922
43,116.0210,-34.7617,-37.9851,74.4307
44,116.9741,-34.1085,-37.3550,74.1393
45,120.3417,-33.7958,-37.0243,77.4760
46,123.2259,-33.4424,-36.6406,74.6393
47,124.2191,-33.2144,-36.3975,75.5749
48,127.5867,-33.0596,-36.2368,78.9351
49,130.9542,-32.9049,-36.0760,82.2952
50,131.2892,-32.7145,-35.8646,82.1184
51,134.6568,-32.4923,-35.6078,78.7680
