angle,M,score,p_raw,overlay_sample,size_masked,p_adj,pass
84,15,0.3333333333333333,0.000999000999000999,HADINGAND,9,0.5394605394605395,False
86,15,0.375,0.000999000999000999,ADINGAND,8,0.5394605394605395,False
88,15,0.5,0.000999000999000999,INGANDTHE,9,0.5394605394605395,False
90,15,0.375,0.000999000999000999,GANDTHEA,8,0.5394605394605395,False
84,20,0.3333333333333333,0.000999000999000999,HADINGAND,9,0.5394605394605395,False
86,20,0.375,0.000999000999000999,ADINGAND,8,0.5394605394605395,False
88,20,0.5,0.000999000999000999,INGANDTHE,9,0.5394605394605395,False
90,20,0.375,0.000999000999000999,GANDTHEA,8,0.5394605394605395,False
84,24,0.3333333333333333,0.000999000999000999,HADINGAND,9,0.5394605394605395,False
86,24,0.375,0.000999000999000999,ADINGAND,8,0.5394605394605395,False
