side,row,col,global_index,section,section_index,char
LEFT,0,0,6,K1,6,E
LEFT,0,1,5,K1,5,M
LEFT,0,2,7,K1,7,U
LEFT,0,3,4,K1,4,F
LEFT,0,4,8,K1,8,P
LEFT,0,5,0,K1,0,H
LEFT,0,6,3,K1,3,Z
LEFT,0,7,1,K1,1,L
LEFT,0,8,14,K1,14,R
LEFT,0,9,15,K1,15,F
LEFT,0,10,9,K1,9,A
LEFT,0,11,2,K1,2,X
LEFT,0,12,16,K1,16,Y
LEFT,0,13,13,K1,13,U
LEFT,0,14,10,K1,10,S
LEFT,0,15,17,K1,17,D
LEFT,0,16,12,K1,12,J
LEFT,0,17,11,K1,11,K
LEFT,0,18,18,K1,18,Z
LEFT,0,19,19,K1,19,L
LEFT,0,20,20,K1,20,D
LEFT,0,21,21,K1,21,K
LEFT,0,22,22,K1,22,R
LEFT,0,23,23,K1,23,N
LEFT,0,24,24,K1,24,S
LEFT,0,25,25,K1,25,H
LEFT,0,26,26,K1,26,G
LEFT,0,27,27,K1,27,N
LEFT,0,28,28,K1,28,F
LEFT,0,29,29,K1,29,I
LEFT,1,0,30,K1,30,Y
LEFT,1,1,31,K1,31,Q
LEFT,1,2,32,K1,32,T
LEFT,1,3,33,K1,33,Q
LEFT,1,4,34,K1,34,U
LEFT,2,0,35,K1,35,V
LEFT,2,1,36,K1,36,F
LEFT,2,2,37,K1,37,P
LEFT,3,0,38,K1,38,G
LEFT,3,1,39,K1,39,G
LEFT,4,0,40,K1,40,T
LEFT,4,1,41,K1,41,I
LEFT,5,0,42,K1,42,Q
LEFT,6,0,43,K1,43,Y
LEFT,7,0,44,K1,44,H
LEFT,7,1,45,K1,45,H
LEFT,7,2,46,K1,46,D
LEFT,7,3,47,K1,47,D
LEFT,7,4,48,K1,48,D
LEFT,7,5,49,K1,49,U
LEFT,7,6,50,K1,50,V
LEFT,7,7,51,K1,51,H
LEFT,7,8,54,K1,54,?
LEFT,7,9,55,K1,55,D
LEFT,7,10,56,K1,56,W
LEFT,7,11,53,K1,53,K
LEFT,7,12,57,K1,57,B
LEFT,7,13,52,K1,52,F
LEFT,7,14,58,K1,58,U
LEFT,8,0,59,K1,59,E
LEFT,9,0,60,K1,60,F
LEFT,9,1,61,K1,61,L
LEFT,9,2,65,K1,65,G
LEFT,9,3,62,K1,62,G
LEFT,9,4,64,K1,64,T
LEFT,9,5,63,K1,63,E
LEFT,10,0,66,K1,66,F
LEFT,10,1,67,K1,67,H
LEFT,11,0,68,K1,68,E
LEFT,12,0,69,K1,69,D
LEFT,12,1,70,K1,70,N
LEFT,12,2,71,K1,71,Q
LEFT,12,3,75,K1,75,F
LEFT,12,4,76,K1,76,M
LEFT,12,5,72,K1,72,P
LEFT,12,6,74,K1,74,N
LEFT,12,7,73,K1,73,Z
LEFT,13,0,77,K1,77,D
LEFT,14,0,78,K1,78,E
LEFT,14,1,79,K1,79,N
LEFT,15,0,80,K1,80,C
LEFT,15,1,85,K1,85,H
LEFT,15,2,86,K1,86,T
LEFT,15,3,87,K1,87,N
LEFT,15,4,88,K1,88,R
LEFT,15,5,84,K1,84,E
LEFT,15,6,89,K2,0,Y
LEFT,15,7,83,K1,83,U
LEFT,15,8,81,K1,81,L
LEFT,15,9,82,K1,82,D
LEFT,15,10,90,K2,1,S
LEFT,15,11,91,K2,2,L
LEFT,15,12,92,K2,3,L
LEFT,16,0,93,K2,4,T
LEFT,17,0,95,K2,6,W
LEFT,17,1,96,K2,7,M
LEFT,17,2,99,K2,10,T
LEFT,17,3,97,K2,8,W
LEFT,17,4,94,K2,5,N
LEFT,17,5,98,K2,9,D
LEFT,18,0,102,K2,13,T
LEFT,18,1,101,K2,12,F
LEFT,18,2,100,K2,11,O
LEFT,19,0,108,K2,19,E
LEFT,19,1,104,K2,15,I
LEFT,19,2,107,K2,18,F
LEFT,19,3,109,K2,20,T
LEFT,19,4,103,K2,14,B
LEFT,19,5,106,K2,17,R
LEFT,19,6,105,K2,16,S
LEFT,19,7,110,K2,21,P
LEFT,20,0,111,K2,22,T
