side,row,col,char
LEFT,0,0,E
LEFT,0,1,M
LEFT,0,2,U
LEFT,0,3,F
LEFT,0,4,P
LEFT,0,5,H
LEFT,0,6,Z
LEFT,0,7,L
LEFT,0,8,R
LEFT,0,9,F
LEFT,0,10,A
LEFT,0,11,X
LEFT,0,12,Y
LEFT,0,13,U
LEFT,0,14,S
LEFT,0,15,D
LEFT,0,16,J
LEFT,0,17,K
LEFT,0,18,Z
LEFT,0,19,L
LEFT,0,20,D
LEFT,0,21,K
LEFT,0,22,R
LEFT,0,23,N
LEFT,0,24,S
LEFT,0,25,H
LEFT,0,26,G
LEFT,0,27,N
LEFT,0,28,F
LEFT,0,29,I
LEFT,0,30,V
LEFT,0,31,J
LEFT,1,0,Y
LEFT,1,1,Q
LEFT,1,2,T
LEFT,1,3,Q
LEFT,1,4,U
LEFT,1,5,X
LEFT,1,6,Q
LEFT,1,7,B
LEFT,1,8,Q
LEFT,1,9,V
LEFT,1,10,Y
LEFT,1,11,U
LEFT,1,12,V
LEFT,1,13,L
LEFT,1,14,L
LEFT,1,15,T
LEFT,1,16,R
LEFT,1,17,E
LEFT,1,18,V
LEFT,1,19,J
LEFT,1,20,Y
LEFT,1,21,Q
LEFT,1,22,T
LEFT,1,23,M
LEFT,1,24,K
LEFT,1,25,Y
LEFT,1,26,R
LEFT,1,27,D
LEFT,1,28,M
LEFT,1,29,F
LEFT,1,30,D
LEFT,2,0,V
LEFT,2,1,F
LEFT,2,2,P
LEFT,2,3,J
LEFT,2,4,U
LEFT,2,5,D
LEFT,2,6,E
LEFT,2,7,E
LEFT,2,8,H
LEFT,2,9,Z
LEFT,2,10,W
LEFT,2,11,E
LEFT,2,12,T
LEFT,2,13,Z
LEFT,2,14,Y
LEFT,2,15,V
LEFT,2,16,G
LEFT,2,17,W
LEFT,2,18,H
LEFT,2,19,K
LEFT,2,20,K
LEFT,2,21,Q
LEFT,2,22,E
LEFT,2,23,T
LEFT,2,24,G
LEFT,2,25,F
LEFT,2,26,Q
LEFT,2,27,J
LEFT,2,28,N
LEFT,2,29,C
LEFT,2,30,E
LEFT,3,0,G
LEFT,3,1,G
LEFT,3,2,W
LEFT,3,3,H
LEFT,3,4,K
LEFT,3,5,K
LEFT,3,6,?
LEFT,3,7,D
LEFT,3,8,Q
LEFT,3,9,M
LEFT,3,10,C
LEFT,3,11,P
LEFT,3,12,F
LEFT,3,13,Q
LEFT,3,14,Z
LEFT,3,15,D
LEFT,3,16,Q
LEFT,3,17,M
LEFT,3,18,M
LEFT,3,19,I
LEFT,3,20,A
LEFT,3,21,G
LEFT,3,22,P
LEFT,3,23,F
LEFT,3,24,X
LEFT,3,25,H
LEFT,3,26,Q
LEFT,3,27,R
LEFT,3,28,L
LEFT,3,29,G
LEFT,4,0,T
LEFT,4,1,I
LEFT,4,2,M
LEFT,4,3,V
LEFT,4,4,M
LEFT,4,5,Z
LEFT,4,6,J
LEFT,4,7,A
LEFT,4,8,N
LEFT,4,9,Q
LEFT,4,10,L
LEFT,4,11,V
LEFT,4,12,K
LEFT,4,13,Q
LEFT,4,14,E
LEFT,4,15,D
LEFT,4,16,A
LEFT,4,17,G
LEFT,4,18,D
LEFT,4,19,V
LEFT,4,20,F
LEFT,4,21,R
LEFT,4,22,P
LEFT,4,23,J
LEFT,4,24,U
LEFT,4,25,N
LEFT,4,26,G
LEFT,4,27,E
LEFT,4,28,U
LEFT,4,29,N
LEFT,4,30,A
LEFT,5,0,Q
LEFT,5,1,Z
LEFT,5,2,G
LEFT,5,3,Z
LEFT,5,4,L
LEFT,5,5,E
LEFT,5,6,C
LEFT,5,7,G
LEFT,5,8,Y
LEFT,5,9,U
LEFT,5,10,X
LEFT,5,11,U
LEFT,5,12,E
LEFT,5,13,E
LEFT,5,14,N
LEFT,5,15,J
LEFT,5,16,T
LEFT,5,17,B
LEFT,5,18,J
LEFT,5,19,L
LEFT,5,20,B
LEFT,5,21,Q
LEFT,5,22,C
LEFT,5,23,R
LEFT,5,24,T
LEFT,5,25,B
LEFT,5,26,J
LEFT,5,27,D
LEFT,5,28,F
LEFT,5,29,H
LEFT,5,30,R
LEFT,5,31,R
LEFT,6,0,Y
LEFT,6,1,I
LEFT,6,2,Z
LEFT,6,3,E
LEFT,6,4,T
LEFT,6,5,K
LEFT,6,6,Z
LEFT,6,7,E
LEFT,6,8,M
LEFT,6,9,V
LEFT,6,10,D
LEFT,6,11,U
LEFT,6,12,F
LEFT,6,13,K
LEFT,6,14,S
LEFT,6,15,J
LEFT,6,16,H
LEFT,6,17,K
LEFT,6,18,F
LEFT,6,19,W
LEFT,6,20,H
LEFT,6,21,K
LEFT,6,22,U
LEFT,6,23,W
LEFT,6,24,Q
LEFT,6,25,L
LEFT,6,26,S
LEFT,6,27,Z
LEFT,6,28,F
LEFT,6,29,T
LEFT,6,30,I
LEFT,7,0,H
LEFT,7,1,H
LEFT,7,2,D
LEFT,7,3,D
LEFT,7,4,D
LEFT,7,5,U
LEFT,7,6,V
LEFT,7,7,H
LEFT,7,8,?
LEFT,7,9,D
LEFT,7,10,W
LEFT,7,11,K
LEFT,7,12,B
LEFT,7,13,F
LEFT,7,14,U
LEFT,7,15,F
LEFT,7,16,P
LEFT,7,17,W
LEFT,7,18,N
LEFT,7,19,T
LEFT,7,20,D
LEFT,7,21,F
LEFT,7,22,I
LEFT,7,23,Y
LEFT,7,24,C
LEFT,7,25,U
LEFT,7,26,Q
LEFT,7,27,Z
LEFT,7,28,E
LEFT,7,29,R
LEFT,7,30,E
LEFT,8,0,E
LEFT,8,1,V
LEFT,8,2,L
LEFT,8,3,D
LEFT,8,4,K
LEFT,8,5,F
LEFT,8,6,E
LEFT,8,7,Z
LEFT,8,8,M
LEFT,8,9,O
LEFT,8,10,Q
LEFT,8,11,Q
LEFT,8,12,J
LEFT,8,13,L
LEFT,8,14,T
LEFT,8,15,T
LEFT,8,16,U
LEFT,8,17,G
LEFT,8,18,S
LEFT,8,19,Y
LEFT,8,20,Q
LEFT,8,21,P
LEFT,8,22,F
LEFT,8,23,E
LEFT,8,24,U
LEFT,8,25,N
LEFT,8,26,L
LEFT,8,27,A
LEFT,8,28,V
LEFT,8,29,I
LEFT,8,30,D
LEFT,8,31,X
LEFT,9,0,F
LEFT,9,1,L
LEFT,9,2,G
LEFT,9,3,G
LEFT,9,4,T
LEFT,9,5,E
LEFT,9,6,Z
LEFT,9,7,?
LEFT,9,8,F
LEFT,9,9,K
LEFT,9,10,Z
LEFT,9,11,B
LEFT,9,12,S
LEFT,9,13,F
LEFT,9,14,D
LEFT,9,15,Q
LEFT,9,16,V
LEFT,9,17,G
LEFT,9,18,O
LEFT,9,19,G
LEFT,9,20,I
LEFT,9,21,P
LEFT,9,22,U
LEFT,9,23,F
LEFT,9,24,X
LEFT,9,25,H
LEFT,9,26,H
LEFT,9,27,D
LEFT,9,28,R
LEFT,9,29,K
LEFT,9,30,F
LEFT,10,0,F
LEFT,10,1,H
LEFT,10,2,Q
LEFT,10,3,N
LEFT,10,4,T
LEFT,10,5,G
LEFT,10,6,P
LEFT,10,7,U
LEFT,10,8,A
LEFT,10,9,E
LEFT,10,10,C
LEFT,10,11,N
LEFT,10,12,U
LEFT,10,13,V
LEFT,10,14,P
LEFT,10,15,D
LEFT,10,16,J
LEFT,10,17,M
LEFT,10,18,Q
LEFT,10,19,C
LEFT,10,20,L
LEFT,10,21,Q
LEFT,10,22,U
LEFT,10,23,M
LEFT,10,24,U
LEFT,10,25,N
LEFT,10,26,E
LEFT,10,27,D
LEFT,10,28,F
LEFT,10,29,Q
LEFT,11,0,E
LEFT,11,1,L
LEFT,11,2,Z
LEFT,11,3,Z
LEFT,11,4,V
LEFT,11,5,R
LEFT,11,6,R
LEFT,11,7,G
LEFT,11,8,K
LEFT,11,9,F
LEFT,11,10,F
