global_tick,index_in_section,section,char
0,0,K1,L
1,1,K1,Q
2,2,K1,W
3,3,K1,C
4,4,K1,D
5,5,K1,E
6,6,K1,F
7,7,K1,F
8,8,K1,H
9,9,K1,E
10,10,K1,E
11,11,K1,F
12,12,K1,Q
13,13,K1,E
14,14,K1,Q
15,15,K1,D
16,16,K1,E
17,17,K1,L
18,18,K1,N
19,19,K1,U
20,20,K1,Z
21,21,K1,Y
22,22,K1,Z
23,23,K1,Z
24,24,K1,H
25,25,K1,T
26,26,K1,T
27,27,K1,H
28,28,K1,P
29,29,K1,T
30,30,K1,T
31,31,K1,T
32,32,K1,M
33,33,K1,V
34,34,K1,T
35,35,K1,N
36,36,K1,C
37,37,K1,E
38,38,K1,K
39,39,K1,G
40,40,K1,F
41,41,K1,R
42,42,K1,D
43,43,K1,L
44,44,K1,A
45,45,K1,V
46,46,K1,S
47,47,K1,J
48,48,K1,J
49,49,K1,H
50,50,K1,D
51,51,K1,L
52,52,K1,P
53,53,K1,H
54,54,K1,S
55,55,K1,X
56,56,K1,R
57,57,K1,P
58,58,K1,G
59,59,K1,Q
60,60,K1,T
61,61,K1,E
62,62,K1,O
63,63,K1,H
64,64,K1,M
65,65,K1,N
66,66,K1,L
67,67,K1,D
68,68,K1,S
69,69,K1,B
70,70,K1,G
71,71,K1,Q
72,72,K1,Y
73,73,K1,R
74,74,K1,M
75,75,K1,D
76,76,K1,E
77,77,K1,E
78,78,K1,Y
79,79,K1,R
80,80,K1,F
81,81,K1,Q
82,82,K1,W
83,83,K1,F
84,84,K1,L
85,85,K1,E
86,86,K1,Q
87,87,K1,L
88,88,K1,Q
89,0,K2,P
90,1,K2,K
91,2,K2,Q
92,3,K2,S
93,4,K2,E
94,5,K2,P
95,6,K2,T
96,7,K2,N
97,8,K2,W
98,9,K2,N
99,10,K2,I
100,11,K2,C
101,12,K2,Y
102,13,K2,F
103,14,K2,C
104,15,K2,D
105,16,K2,K
106,17,K2,I
107,18,K2,G
108,19,K2,O
109,20,K2,E
110,21,K2,W
111,22,K2,E
112,23,K2,G
113,24,K2,R
114,25,K2,L
115,26,K2,O
116,27,K2,B
117,28,K2,T
118,29,K2,R
119,30,K2,E
120,31,K2,R
121,32,K2,E
122,33,K2,F
123,34,K2,I
124,35,K2,X
125,36,K2,Q
126,37,K2,H
127,38,K2,H
128,39,K2,R
129,40,K2,U
130,41,K2,D
131,42,K2,J
132,43,K2,Q
133,44,K2,E
134,45,K2,H
135,46,K2,G
136,47,K2,F
137,48,K2,G
138,49,K2,E
139,50,K2,W
140,51,K2,E
141,52,K2,R
142,53,K2,T
143,54,K2,Y
144,55,K2,S
145,56,K2,D
146,57,K2,G
147,58,K2,X
148,59,K2,Y
149,60,K2,T
150,61,K2,A
151,62,K2,L
152,63,K2,T
153,64,K2,X
154,65,K2,I
155,66,K2,I
156,67,K2,A
157,68,K2,Z
158,69,K2,J
159,70,K2,Q
160,71,K2,L
161,72,K2,Q
162,73,K2,A
163,74,K2,K
164,75,K2,W
165,76,K2,N
166,77,K2,N
167,78,K2,E
168,79,K2,N
169,80,K2,E
170,81,K2,B
171,82,K2,N
172,83,K2,F
173,84,K2,P
174,85,K2,T
175,86,K2,K
176,87,K2,M
177,88,K2,P
178,89,K2,W
179,90,K2,E
180,0,K3,U
181,1,K3,U
182,2,K3,Q
183,3,K3,E
184,4,K3,Q
185,5,K3,T
186,6,K3,V
187,7,K3,F
188,8,K3,G
189,9,K3,E
190,10,K3,R
191,11,K3,W
192,12,K3,M
193,13,K3,R
194,14,K3,E
195,15,K3,P
196,16,K3,K
197,17,K3,V
198,18,K3,C
199,19,K3,L
200,20,K3,N
201,21,K3,N
202,22,K3,N
203,23,K3,E
204,24,K3,M
205,25,K3,D
206,26,K3,T
207,27,K3,O
208,28,K3,S
209,29,K3,D
210,30,K3,A
211,31,K3,L
212,32,K3,C
213,33,K3,B
214,34,K3,H
215,35,K3,F
216,36,K3,M
217,37,K3,L
218,38,K3,A
219,39,K3,T
220,40,K3,L
221,41,K3,D
222,42,K3,P
223,43,K3,E
