global_index,section,section_index,row,col
0,K1,0,0,5
1,K1,1,0,7
2,K1,2,0,11
3,K1,3,0,6
4,K1,4,0,3
5,K1,5,0,1
6,K1,6,0,0
7,K1,7,0,2
8,K1,8,0,4
9,K1,9,0,10
10,K1,10,0,14
11,K1,11,0,17
12,K1,12,0,16
13,K1,13,0,13
14,K1,14,0,8
15,K1,15,0,9
16,K1,16,0,12
17,K1,17,0,15
18,K1,18,0,18
19,K1,19,0,19
20,K1,20,0,20
21,K1,21,0,21
22,K1,22,0,22
23,K1,23,0,23
24,K1,24,0,24
25,K1,25,0,25
26,K1,26,0,26
27,K1,27,0,27
28,K1,28,0,28
29,K1,29,0,29
30,K1,30,1,0
31,K1,31,1,1
32,K1,32,1,2
33,K1,33,1,3
34,K1,34,1,4
35,K1,35,2,0
36,K1,36,2,1
37,K1,37,2,2
38,K1,38,3,0
39,K1,39,3,1
40,K1,40,4,0
41,K1,41,4,1
42,K1,42,5,0
43,K1,43,6,0
44,K1,44,7,0
45,K1,45,7,1
46,K1,46,7,2
47,K1,47,7,3
48,K1,48,7,4
49,K1,49,7,5
50,K1,50,7,6
51,K1,51,7,7
52,K1,52,7,13
53,K1,53,7,11
54,K1,54,7,8
55,K1,55,7,9
56,K1,56,7,10
57,K1,57,7,12
58,K1,58,7,14
59,K1,59,8,0
60,K1,60,9,0
61,K1,61,9,1
62,K1,62,9,3
63,K1,63,9,5
64,K1,64,9,4
65,K1,65,9,2
66,K1,66,10,0
67,K1,67,10,1
68,K1,68,11,0
69,K1,69,12,0
70,K1,70,12,1
71,K1,71,12,2
72,K1,72,12,5
73,K1,73,12,7
74,K1,74,12,6
75,K1,75,12,3
76,K1,76,12,4
77,K1,77,13,0
78,K1,78,14,0
79,K1,79,14,1
80,K1,80,15,0
81,K1,81,15,8
82,K1,82,15,9
83,K1,83,15,7
84,K1,84,15,5
85,K1,85,15,1
86,K1,86,15,2
87,K1,87,15,3
88,K1,88,15,4
89,K2,0,15,6
90,K2,1,15,10
91,K2,2,15,11
92,K2,3,15,12
93,K2,4,16,0
94,K2,5,17,4
95,K2,6,17,0
96,K2,7,17,1
97,K2,8,17,3
98,K2,9,17,5
99,K2,10,17,2
100,K2,11,18,2
101,K2,12,18,1
102,K2,13,18,0
103,K2,14,19,4
104,K2,15,19,1
105,K2,16,19,6
106,K2,17,19,5
107,K2,18,19,2
108,K2,19,19,0
109,K2,20,19,3
110,K2,21,19,7
111,K2,22,20,0
112,K2,23,20,1
113,K2,24,20,2
114,K2,25,20,3
115,K2,26,20,4
116,K2,27,20,5
117,K2,28,21,0
118,K2,29,21,1
119,K2,30,21,2
120,K2,31,21,3
121,K2,32,21,4
122,K2,33,21,5
123,K2,34,22,0
124,K2,35,23,1
125,K2,36,23,0
126,K2,37,24,0
127,K2,38,24,15
128,K2,39,24,14
129,K2,40,24,13
130,K2,41,24,8
131,K2,42,24,16
132,K2,43,24,18
133,K2,44,24,17
134,K2,45,24,4
135,K2,46,24,1
136,K2,47,24,3
137,K2,48,24,6
138,K2,49,24,7
139,K2,50,24,10
140,K2,51,24,11
141,K2,52,24,12
142,K2,53,24,9
143,K2,54,24,5
144,K2,55,24,2
145,K2,56,25,3
146,K2,57,25,2
147,K2,58,25,1
148,K2,59,25,0
149,K2,60,25,4
150,K2,61,26,0
151,K2,62,27,9
152,K2,63,27,8
153,K2,64,27,6
154,K2,65,27,5
155,K2,66,27,7
156,K2,67,27,13
157,K2,68,27,15
158,K2,69,27,11
159,K2,70,27,3
160,K2,71,27,4
161,K2,72,27,14
162,K2,73,27,2
163,K2,74,27,1
164,K2,75,27,0
165,K2,76,27,12
166,K2,77,27,10
167,K2,78,28,1
168,K2,79,28,3
169,K2,80,28,2
170,K2,81,28,0
171,K2,82,29,2
172,K2,83,29,1
173,K2,84,29,0
174,K2,85,30,0
175,K2,86,31,10
176,K2,87,31,5
177,K2,88,31,1
178,K2,89,31,3
179,K2,90,31,7
180,K3,0,31,9
181,K3,1,31,8
182,K3,2,31,6
183,K3,3,31,2
184,K3,4,31,0
185,K3,5,31,4
186,K3,6,32,7
187,K3,7,32,10
188,K3,8,32,14
189,K3,9,32,13
190,K3,10,32,12
191,K3,11,32,11
192,K3,12,32,9
193,K3,13,32,8
194,K3,14,32,6
195,K3,15,32,5
196,K3,16,32,4
197,K3,17,32,3
198,K3,18,32,2
199,K3,19,32,1
200,K3,20,32,0
201,K3,21,33,0
202,K3,22,34,0
203,K3,23,35,6
204,K3,24,35,10
205,K3,25,35,9
206,K3,26,35,8
207,K3,27,35,7
208,K3,28,35,5
209,K3,29,35,4
210,K3,30,35,2
211,K3,31,35,1
212,K3,32,35,0
213,K3,33,35,3
214,K3,34,36,0
215,K3,35,37,6
216,K3,36,37,5
217,K3,37,37,4
218,K3,38,37,3
219,K3,39,37,2
220,K3,40,37,1
221,K3,41,37,0
222,K3,42,38,4
223,K3,43,38,3
224,K3,44,38,2
225,K3,45,38,1
226,K3,46,38,0
227,K3,47,39,0
228,K3,48,39,1
229,K3,49,39,2
