global_index,section,section_index,x_view,y_view
0,K1,0,-0.6499,0.0344
1,K1,1,-0.6308,0.0068
2,K1,2,-0.6116,-0.0209
3,K1,3,-0.6412,-0.0071
4,K1,4,-0.6716,0.0074
5,K1,5,-0.7019,0.0219
6,K1,6,-0.7184,0.0324
7,K1,7,-0.6849,0.0289
8,K1,8,-0.6515,0.0254
9,K1,9,-0.6180,0.0218
10,K1,10,-0.5845,0.0183
11,K1,11,-0.5510,0.0148
12,K1,12,-0.5602,0.0164
13,K1,13,-0.5935,0.0209
14,K1,14,-0.6269,0.0255
15,K1,15,-0.6259,0.0149
16,K1,16,-0.6001,0.0007
17,K1,17,-0.5737,0.0213
18,K1,18,-0.5424,0.0280
19,K1,19,-0.5216,0.0056
20,K1,20,-0.5118,0.0240
21,K1,21,-0.5044,0.0568
22,K1,22,-0.4956,0.0522
23,K1,23,-0.4854,0.0204
24,K1,24,-0.4743,-0.0066
25,K1,25,-0.4635,0.0249
26,K1,26,-0.4578,0.0579
27,K1,27,-0.4528,0.0502
28,K1,28,-0.4482,0.0169
29,K1,29,-0.4422,-0.0160
30,K1,30,-0.4311,-0.0464
31,K1,31,-0.4234,-0.0246
32,K1,32,-0.4203,0.0089
33,K1,33,-0.4168,0.0232
34,K1,34,-0.4126,-0.0100
35,K1,35,-0.4038,-0.0020
36,K1,36,-0.3836,0.0247
37,K1,37,-0.3756,0.0383
38,K1,38,-0.3839,0.0424
39,K1,39,-0.3780,0.0210
40,K1,40,-0.3704,0.0313
41,K1,41,-0.3657,-0.0018
42,K1,42,-0.3427,-0.0051
43,K1,43,-0.3476,-0.0057
44,K1,44,-0.3411,-0.0086
45,K1,45,-0.3380,0.0248
46,K1,46,-0.3344,-0.0036
47,K1,47,-0.3321,0.0057
48,K1,48,-0.3306,0.0393
49,K1,49,-0.3290,0.0729
50,K1,50,-0.3271,0.0712
51,K1,51,-0.3249,0.0377
52,K1,52,-0.3055,0.0289
53,K1,53,-0.3074,0.0539
54,K1,54,-0.3134,0.0556
55,K1,55,-0.3105,0.0223
56,K1,56,-0.3080,-0.0111
57,K1,57,-0.3057,-0.0002
58,K1,58,-0.3035,0.0333
59,K1,59,-0.2819,0.0259
60,K1,60,-0.2927,-0.0000
61,K1,61,-0.2840,-0.0324
62,K1,62,-0.2743,-0.0644
63,K1,63,-0.2665,-0.0779
64,K1,64,-0.2725,-0.0448
65,K1,65,-0.2786,-0.0117
66,K1,66,-0.2799,-0.0027
67,K1,67,-0.2650,0.0213
68,K1,68,-0.2678,0.0443
69,K1,69,-0.2710,0.0197
70,K1,70,-0.2692,0.0407
71,K1,71,-0.2676,0.0742
72,K1,72,-0.2580,0.0428
73,K1,73,-0.2482,0.0107
74,K1,74,-0.2524,0.0180
75,K1,75,-0.2619,0.0496
76,K1,76,-0.2604,0.0830
77,K1,77,-0.2568,0.1155
78,K1,78,-0.2457,0.1009
79,K1,79,-0.2334,0.0700
80,K1,80,-0.2498,0.0460
81,K1,81,-0.2329,0.0748
82,K1,82,-0.2321,0.0565
83,K1,83,-0.2366,0.0231
84,K1,84,-0.2410,-0.0102
85,K1,85,-0.2455,-0.0436
86,K1,86,-0.2451,-0.0232
87,K1,87,-0.2434,0.0101
88,K1,88,-0.2419,0.0435
89,K2,0,-0.2407,0.0770
90,K2,1,-0.2316,0.0588
91,K2,2,-0.2205,0.0272
92,K2,3,-0.2181,-0.0061
93,K2,4,-0.2344,-0.0106
94,K2,5,-0.2181,-0.0147
95,K2,6,-0.2299,-0.0460
96,K2,7,-0.2261,-0.0267
