index,relief_mask,wobble_mask,is_seam
0,0,0,0
1,0,0,0
2,0,1,0
3,0,1,0
4,0,0,0
5,0,1,0
6,0,1,1
7,0,0,0
8,0,1,1
9,0,0,1
10,0,1,0
11,0,0,0
12,0,1,1
13,0,0,1
14,0,0,0
15,0,0,0
16,0,0,1
17,0,1,1
18,0,1,1
19,0,0,1
20,0,1,0
21,0,0,1
22,0,0,1
23,0,0,1
24,0,1,0
25,0,0,1
26,0,0,0
27,0,0,0
28,0,0,1
29,0,1,0
30,0,0,1
31,0,1,1
32,1,1,1
33,0,1,1
34,0,0,0
35,0,0,1
36,0,0,1
37,0,1,1
38,0,1,1
39,0,0,0
40,0,1,1
41,0,1,1
42,0,0,1
43,0,0,1
44,0,0,1
45,0,0,1
46,0,1,1
47,0,0,1
48,0,0,1
49,0,1,1
50,0,1,1
51,0,1,1
52,0,1,0
53,0,0,1
54,0,0,1
55,0,1,0
56,0,0,1
57,0,0,1
58,0,1,0
59,0,0,0
60,0,1,1
61,0,1,0
62,0,1,0
63,0,1,1
64,0,0,1
65,0,0,1
66,0,1,1
67,0,0,1
68,0,0,1
69,0,1,1
70,0,1,0
71,0,1,1
72,0,1,1
73,0,1,0
74,0,1,1
75,0,0,1
76,0,1,0
77,0,1,0
78,0,0,1
79,1,1,0
80,0,1,0
81,0,0,1
82,0,1,1
83,0,0,0
84,0,0,1
85,0,0,1
86,0,1,1
87,0,1,0
88,0,0,1
89,0,1,1
90,0,0,0
91,0,1,0
92,0,1,0
93,0,0,1
94,0,0,0
95,0,1,1
96,0,0,0
