global_tick,s,x,y,z
229,631.69,-31.0443,21.0884,72.446
230,635.0575,-30.1067,21.3708,69.224
231,638.2364,-30.1994,22.0267,66.1149
232,641.604,-31.0043,22.1735,62.8482
233,644.9715,-31.8092,22.3203,59.5816
234,648.3391,-32.6142,22.467,56.3149
235,650.2454,-32.9181,22.6922,58.1833
236,653.6129,-33.077,22.9399,61.538
237,656.9801,-33.174,23.1244,64.8987
238,660.3477,-33.2513,23.2887,68.2614
239,663.7153,-33.3285,23.4529,71.6241
240,667.0702,-32.9473,23.6129,74.9534
241,670.4378,-32.3819,23.7712,78.2694
242,673.8054,-31.8165,23.9295,81.5854
243,675.8636,-32.0081,24.6489,83.5042
244,679.2142,-32.7267,25.0984,80.2626
245,682.5817,-33.5914,25.2779,77.0129
246,685.9493,-34.4561,25.4574,73.7632
247,687.7815,-34.7765,25.6916,75.552
248,691.1491,-34.9277,25.9427,78.9068
249,692.9997,-35.1049,26.2481,77.0902
250,694.9729,-34.9912,26.5728,75.1472
251,698.3405,-33.7986,26.9087,78.2785
252,701.651,-33.604,27.2984,81.5602
253,702.1192,-33.8255,27.7078,81.5094
254,705.0196,-34.9189,28.1956,78.8677
255,706.9288,-36.5933,29.0852,78.6446
256,710.2963,-36.7477,29.3902,81.9948
257,711.3042,-36.9131,29.7291,81.0602
258,713.9634,-36.2543,30.2194,78.5309
259,715.1496,-35.5302,31.0703,78.9295
260,718.5172,-35.6426,31.3314,75.574
261,719.5225,-35.7447,31.5588,74.6001
262,722.89,-35.8282,31.7246,77.9625
263,726.2576,-35.9117,31.8905,81.325
264,727.3513,-35.9899,32.0552,82.4034
265,730.7188,-36.0576,32.2179,79.0404
266,734.0864,-36.1254,32.3805,75.6774
267,735.6998,-36.3413,32.5388,74.0864
268,739.0674,-36.9667,32.6849,77.3922
269,742.4349,-37.5921,32.831,80.6979
270,745.8025,-38.2175,32.9771,84.0037
271,748.1282,-38.3615,33.1416,81.6883
272,751.4958,-38.4158,33.3095,78.3253
273,754.8634,-38.4701,33.4775,74.9624
274,756.9146,-36.7199,34.1029,75.8302
275,760.2821,-36.8351,34.4388,79.179
276,762.4359,-36.9439,34.6949,77.0433
277,765.8035,-37.0512,34.9333,73.6859
278,767.3321,-37.2015,35.3797,75.1401
279,770.6975,-37.2986,35.6995,78.4889
280,774.0651,-37.375,35.958,81.8456
281,776.0438,-39.234,36.5709,81.5556
282,779.4114,-37.856,36.9448,78.5057
283,782.7379,-37.7024,37.1901,75.1917
284,786.1055,-37.7611,37.4132,71.8321
285,787.0596,-38.0157,38.3328,71.8367
286,790.426,-38.1633,38.9215,75.1479
287,793.7506,-39.5497,39.333,78.1415
288,797.0279,-40.2852,39.7603,81.3065
289,797.4807,-40.0258,40.082,81.4916
290,800.8483,-39.384,40.2549,78.1903
291,804.2159,-38.7421,40.4277,74.889
292,807.3369,-38.5838,41.0927,71.8437
293,810.7044,-38.6325,41.3204,68.4842
294,812.6614,-38.6809,41.5693,66.5437
295,816.029,-38.728,41.8969,69.895
296,816.8045,-38.8912,42.5143,69.4549
297,820.1721,-39.403,42.6426,72.7809
298,823.5397,-39.9149,42.7709,76.1068
299,826.9072,-40.4267,42.8992,79.4328
300,829.5533,-40.1323,43.1843,82.047
301,832.0288,-39.037,43.9534,79.9644
302,835.3621,-39.3242,44.568,76.7009
303,838.7296,-40.1902,44.7834,73.4538
304,842.0972,-41.0563,44.9988,70.2066
305,845.3462,-39.1756,45.6112,67.629
306,845.8035,-39.2044,46.0661,67.5927
307,849.1711,-39.2082,46.2016,70.9576
308,852.5386,-39.2121,46.3371,74.3224
309,855.9062,-39.216,46.4726,77.6873
310,859.272,-39.2388,46.8231,81.0347
311,859.9335,-39.2586,47.3449,80.6285
312,862.373,-39.259,48.1346,78.3204
313,865.7406,-39.2668,48.3765,74.9615
314,869.0965,-39.5436,48.5693,71.6226
315,872.4641,-40.1009,48.711,68.3045
316,875.8317,-40.6582,48.8526,64.9863
317,879.1992,-41.2155,48.9943,61.6682
318,882.3014,-39.9314,49.3326,64.4718
319,885.5952,-39.2759,49.6172,67.6871
320,888.9628,-39.2798,49.8438,71.0471
321,891.0671,-40.1925,50.2372,72.902
322,893.0706,-41.1956,50.6016,74.5975
323,896.4382,-41.1884,50.7566,77.9615
324,899.8058,-41.1811,50.9116,81.3255
325,900.653,-40.6184,51.1397,81.9164
326,904.0206,-39.3186,51.4649,78.8269
327,907.3241,-39.8899,51.6835,75.5805
328,910.6917,-40.6873,51.8891,72.3151
329,913.3138,-39.7489,52.3445,69.9094
330,914.5583,-39.056,53.3673,69.7598
331,917.0597,-39.0212,53.6627,72.2435
332,920.4273,-38.9959,53.8505,75.6058
333,923.082,-39.0645,54.537,78.1692
334,924.0028,-39.4903,55.3213,78.396
335,925.6396,-40.6334,56.0548,77.4825
336,929.0071,-40.5862,56.3479,74.1281
337,932.349,-40.1437,56.6171,70.8265
338,935.7166,-39.2749,56.8604,67.5821
339,936.4335,-38.7356,57.0578,67.153
340,939.8011,-38.6403,57.1936,70.5164
341,943.1687,-38.5449,57.3294,73.8799
342,946.5362,-38.4496,57.4652,77.2434
343,948.3656,-38.5888,58.0604,78.9676
344,951.7332,-39.5007,58.3151,75.7359
345,954.5024,-39.3516,58.696,72.9971
346,956.0613,-38.5552,59.1265,74.2662
347,959.4289,-39.3583,59.3465,77.5292
348,960.7773,-39.6504,59.566,78.8271
349,964.1448,-38.7619,59.7845,75.5863
350,967.4464,-37.8736,60.0343,72.4163
351,970.6068,-37.8519,61.0772,75.3995
352,973.8738,-39.3727,61.5031,78.2594
353,977.2413,-38.5205,61.7052,75.0077
354,980.6089,-37.6682,61.9072,71.7561
355,981.3407,-37.1667,62.3537,72.0472
356,984.684,-37.6176,62.6384,75.3476
357,988.0516,-38.2573,62.8167,78.6491
358,991.4191,-38.897,62.995,81.9505
359,994.5071,-36.7714,63.5135,79.7715
360,997.8746,-36.7288,63.6389,76.4065
361,1001.2422,-36.6861,63.7642,73.0415
362,1004.6098,-36.6435,63.8895,69.6766
363,1007.1855,-36.5927,64.051,67.1064
364,1010.5531,-36.4817,64.4813,70.4445
365,1013.9154,-37.2332,64.7194,73.7131
366,1017.2829,-38.0238,64.9487,76.9785
367,1020.5172,-37.0793,65.2588,80.0562
368,1022.1977,-36.0065,65.563,81.3134
369,1025.5653,-35.9055,65.7907,77.9551
370,1028.9056,-35.7574,66.1296,74.6354
371,1032.2111,-35.5109,66.7074,71.39
372,1035.5787,-35.3954,66.977,68.0352
373,1038.3188,-35.3607,67.5659,70.7111
374,1041.6863,-36.7331,67.9512,73.762
375,1045.0161,-36.8211,68.1858,77.0824
376,1048.3837,-36.723,68.3986,80.4418
377,1048.764,-36.5619,68.7112,80.2969
378,1052.1143,-36.1382,69.0592,76.9918
379,1055.4819,-35.1977,69.2675,73.765
380,1058.8494,-34.2571,69.4758,70.5381
381,1061.4709,-33.9609,69.9015,73.1078
382,1063.4245,-33.6882,70.3573,71.2279
383,1064.769,-33.435,70.768,72.4829
384,1066.5701,-34.4646,71.3293,73.85
385,1068.9747,-34.9071,71.7763,76.1709
386,1070.5759,-33.9741,72.1672,77.4121
387,1073.7906,-32.3319,72.5779,74.6792
388,1077.1582,-32.1573,72.8538,71.3275
389,1078.1061,-31.6688,73.5776,70.9587
390,1080.7503,-32.5793,74.3392,73.3216
391,1083.1625,-31.5084,75.2589,75.2776
392,1085.1932,-30.0709,75.7788,73.941
393,1085.8705,-29.6494,76.2704,74.1396
394,1087.0965,-29.2002,77.0342,74.9869
395,1090.4641,-29.9817,77.25,78.2554
396,1093.8317,-30.7633,77.4657,81.5239
397,1096.1457,-30.7308,77.6863,79.2207
398,1099.5132,-30.5446,77.9078,75.8656
399,1102.0472,-28.537,78.3592,74.3868
400,1104.6165,-27.0683,79.207,76.3169
401,1106.5778,-26.7323,79.5587,78.217
402,1109.9454,-26.467,79.8329,74.8711
403,1113.0776,-27.1349,80.2221,71.8358
404,1114.2133,-28.1073,80.5704,72.308
405,1117.5809,-27.9788,80.7082,75.6703
406,1120.9485,-27.8503,80.846,79.0326
407,1124.3161,-27.7218,80.9837,82.3949
408,1126.9378,-26.4978,81.2006,80.0866
409,1130.3053,-25.1272,81.428,77.019
410,1132.7045,-24.0119,82.0817,74.9979
411,1134.9942,-23.8065,82.5748,77.2244
412,1138.2385,-25.4563,83.0128,74.4654
413,1141.4549,-22.2801,83.5147,74.5359
414,1144.8225,-21.8661,83.8006,77.8657
415,1146.2345,-21.4522,84.0945,79.1833
416,1149.6021,-21.0389,84.4072,75.8559
417,1152.9694,-20.6678,84.6858,72.5206
418,1156.337,-20.3147,84.95,69.1821
419,1158.4373,-20.7288,85.1153,71.2345
420,1161.8049,-21.3222,85.2576,74.5464
421,1165.1725,-21.9156,85.3999,77.8582
422,1168.0517,-21.4822,85.6152,80.6965
423,1171.3689,-18.6364,86.0018,82.3565
424,1174.7365,-18.3607,86.1693,79.0044
425,1178.104,-18.0849,86.3368,75.6523
426,1181.3061,-17.7863,86.5164,72.4693
427,1184.6533,-16.8075,87.0529,75.6249
428,1188.0209,-16.4139,87.286,78.9613
429,1190.8616,-15.984,87.5339,81.7583
430,1194.2292,-15.1475,87.9472,78.5225
431,1197.5966,-14.2577,88.3851,75.3044
432,1199.361,-13.6037,88.6698,76.9181
433,1202.7286,-13.0353,88.8993,80.2294
434,1203.4868,-12.4337,89.1338,79.8318
435,1206.8544,-11.8063,89.3724,76.5318
436,1208.8515,-10.176,89.9437,75.5296
437,1212.0048,-7.3168,90.6563,76.6521
438,1214.1237,-5.3473,91.1254,77.2773
439,1217.4913,-3.326,91.4504,74.6035
440,1220.307,-1.07,91.6857,76.2718
441,1223.6745,1.2283,91.9048,78.7234
442,1225.3776,2.7315,92.1348,77.9566
443,1228.7451,3.6239,92.373,74.7182
444,1230.036,2.7461,92.5686,73.7921
445,1233.4036,-0.1506,92.7154,75.5033
446,1236.7712,-3.0474,92.8622,77.2144
447,1239.7347,-5.5666,93.006,78.7686
448,1243.1023,-2.3087,93.1035,77.9216
449,1246.4698,0.9492,93.201,77.0747
450,1249.8374,4.207,93.2984,76.2277
451,1253.205,7.4649,93.3959,75.3807
452,1256.5725,10.7227,93.4934,74.5337
453,1259.516,8.6296,93.6992,76.593
454,1262.8836,6.1503,93.9128,78.8619
455,1264.5655,4.848,94.138,77.8217
456,1267.9331,4.3579,94.3712,74.4981
