global_tick,x,y,z
229,-31.2278,20.7058,75.7466
230,-30.2902,20.9882,72.5246
231,-30.3829,21.6441,69.41550000000001
232,-31.1878,21.7909,66.1488
233,-31.9927,21.9377,62.882200000000005
234,-32.79769999999999,22.0844,59.615500000000004
235,-33.101600000000005,22.3096,61.483900000000006
236,-33.26049999999999,22.5573,64.8386
237,-33.3575,22.7418,68.19930000000001
238,-33.434799999999996,22.9061,71.562
239,-33.512,23.0703,74.9247
240,-33.130799999999994,23.2303,78.254
241,-32.5654,23.3886,81.57000000000001
242,-32.0,23.5469,84.88600000000001
243,-32.191599999999994,24.2663,86.8048
244,-32.9102,24.7158,83.56320000000001
245,-33.7749,24.8953,80.3135
246,-34.6396,25.0748,77.0638
247,-34.959999999999994,25.309,78.85260000000001
248,-35.1112,25.5601,82.2074
249,-35.288399999999996,25.8655,80.3908
250,-35.1747,26.1902,78.4478
251,-33.9821,26.5261,81.5791
252,-33.787499999999994,26.9158,84.8608
253,-34.009,27.3252,84.81
254,-35.1024,27.813,82.1683
255,-36.776799999999994,28.7026,81.9452
256,-36.931200000000004,29.0076,85.2954
257,-37.096599999999995,29.3465,84.3608
258,-36.437799999999996,29.8368,81.8315
259,-35.7137,30.6877,82.23010000000001
260,-35.8261,30.9488,78.8746
261,-35.928200000000004,31.1762,77.9007
262,-36.011700000000005,31.342,81.26310000000001
263,-36.095200000000006,31.5079,84.6256
264,-36.1734,31.6726,85.70400000000001
265,-36.2411,31.8353,82.34100000000001
266,-36.308899999999994,31.997899999999998,78.97800000000001
267,-36.5248,32.1562,77.387
268,-37.1502,32.3023,80.6928
269,-37.7756,32.44840000000001,83.9985
270,-38.400999999999996,32.5945,87.3043
271,-38.545,32.759,84.9889
272,-38.5993,32.9269,81.6259
273,-38.6536,33.094899999999996,78.263
274,-36.903400000000005,33.720299999999995,79.13080000000001
275,-37.01859999999999,34.056200000000004,82.4796
276,-37.127399999999994,34.31229999999999,80.3439
277,-37.234700000000004,34.550700000000006,76.9865
278,-37.385000000000005,34.9971,78.4407
279,-37.4821,35.316900000000004,81.7895
280,-37.558499999999995,35.5754,85.14620000000001
281,-39.417500000000004,36.1883,84.8562
282,-38.039500000000004,36.562200000000004,81.80630000000001
283,-37.88589999999999,36.807500000000005,78.4923
284,-37.944599999999994,37.03060000000001,75.1327
285,-38.199200000000005,37.950199999999995,75.1373
286,-38.3468,38.5389,78.44850000000001
287,-39.7332,38.9504,81.4421
288,-40.4687,39.377700000000004,84.6071
289,-40.2093,39.6994,84.79220000000001
290,-39.567499999999995,39.872299999999996,81.4909
291,-38.9256,40.045100000000005,78.1896
292,-38.76729999999999,40.7101,75.1443
293,-38.816,40.937799999999996,71.7848
294,-38.8644,41.1867,69.8443
295,-38.911500000000004,41.514300000000006,73.1956
296,-39.07469999999999,42.131699999999995,72.7555
297,-39.5865,42.260000000000005,76.0815
298,-40.0984,42.3883,79.40740000000001
299,-40.61019999999999,42.5166,82.7334
300,-40.315799999999996,42.8017,85.3476
301,-39.2205,43.570800000000006,83.265
302,-39.5077,44.1854,80.00150000000001
303,-40.3737,44.400800000000004,76.7544
304,-41.2398,44.616200000000006,73.5072
305,-39.3591,45.2286,70.92960000000001
306,-39.3879,45.683499999999995,70.8933
307,-39.3917,45.819,74.2582
308,-39.3956,45.954499999999996,77.623
309,-39.3995,46.09,80.9879
310,-39.42229999999999,46.4405,84.3353
311,-39.442099999999996,46.9623,83.9291
312,-39.442499999999995,47.751999999999995,81.62100000000001
313,-39.4503,47.9939,78.2621
314,-39.72709999999999,48.1867,74.92320000000001
315,-40.284400000000005,48.3284,71.60510000000001
316,-40.8417,48.47,68.2869
317,-41.399,48.6117,64.9688
318,-40.11489999999999,48.95,67.7724
319,-39.4594,49.2346,70.9877
320,-39.463300000000004,49.461200000000005,74.3477
321,-40.376000000000005,49.854600000000005,76.2026
322,-41.379099999999994,50.218999999999994,77.8981
323,-41.3719,50.373999999999995,81.2621
324,-41.364599999999996,50.528999999999996,84.62610000000001
325,-40.8019,50.757099999999994,85.217
326,-39.5021,51.082300000000004,82.1275
327,-40.07339999999999,51.3009,78.8811
328,-40.8708,51.5065,75.6157
329,-39.9324,51.9619,73.21000000000001
330,-39.23949999999999,52.984700000000004,73.0604
331,-39.2047,53.280100000000004,75.5441
332,-39.1794,53.4679,78.9064
333,-39.248000000000005,54.154399999999995,81.4698
334,-39.6738,54.9387,81.6966
335,-40.816900000000004,55.672200000000004,80.7831
336,-40.7697,55.9653,77.4287
337,-40.327200000000005,56.2345,74.1271
338,-39.4584,56.4778,70.8827
339,-38.9191,56.675200000000004,70.45360000000001
340,-38.823800000000006,56.81100000000001,73.81700000000001
341,-38.72839999999999,56.946799999999996,77.18050000000001
342,-38.6331,57.0826,80.544
343,-38.7723,57.677800000000005,82.26820000000001
344,-39.684200000000004,57.932500000000005,79.0365
345,-39.5351,58.3134,76.2977
346,-38.738699999999994,58.7439,77.5668
347,-39.541799999999995,58.963899999999995,80.8298
348,-39.8339,59.183400000000006,82.1277
349,-38.94539999999999,59.4019,78.8869
350,-38.057100000000005,59.651700000000005,75.71690000000001
351,-38.035399999999996,60.694599999999994,78.7001
352,-39.556200000000004,61.12050000000001,81.56
353,-38.70399999999999,61.322599999999994,78.3083
354,-37.851699999999994,61.52460000000001,75.0567
355,-37.3502,61.97110000000001,75.3478
356,-37.801100000000005,62.255799999999994,78.6482
357,-38.440799999999996,62.4341,81.9497
358,-39.0805,62.612399999999994,85.25110000000001
359,-36.954899999999995,63.1309,83.0721
360,-36.9123,63.256299999999996,79.7071
361,-36.869600000000005,63.381600000000006,76.3421
362,-36.827,63.5069,72.9772
363,-36.7762,63.668400000000005,70.407
364,-36.6652,64.09870000000001,73.74510000000001
365,-37.41669999999999,64.3368,77.0137
366,-38.207300000000004,64.5661,80.2791
367,-37.2628,64.8762,83.3568
368,-36.19,65.1804,84.614
369,-36.089,65.4081,81.2557
370,-35.9409,65.747,77.936
371,-35.6944,66.32480000000001,74.6906
372,-35.578900000000004,66.59440000000001,71.3358
