global_tick,s,x,y,z
1,0.0,-64.9875,-52.0,78.4369
2,3.3676,-63.0754,-51.752,75.676
3,6.7352,-61.1633,-51.5041,72.915
4,9.9997,-64.1195,-51.3694,74.2934
5,13.3672,-67.1571,-51.2366,75.7411
6,16.7348,-70.1947,-51.1039,77.1888
7,18.6946,-71.8415,-50.9805,78.2441
8,22.0621,-68.4937,-50.8909,77.8905
9,25.4297,-65.1459,-50.8012,77.5369
10,28.7973,-61.7982,-50.7116,77.1833
11,32.1649,-58.4504,-50.622,76.8298
12,35.5324,-55.1027,-50.5324,76.4762
13,36.4742,-56.0202,-50.3956,76.6384
14,39.8418,-59.353,-50.2321,77.0928
15,43.2094,-62.6857,-50.0685,77.5471
16,44.3057,-62.5905,-49.7937,76.4901
17,47.2731,-60.0084,-49.4407,75.071
18,50.6406,-57.3657,-49.0983,77.1299
19,53.8746,-54.2395,-48.6089,77.7978
20,56.9723,-52.1577,-48.1136,75.558
21,59.0778,-51.1777,-47.8253,77.399
22,62.4453,-50.4429,-47.5968,80.6775
23,63.4884,-49.5566,-47.2879,80.2223
24,66.8555,-48.5354,-46.9051,77.0367
25,69.8034,-47.4287,-46.4651,74.3401
26,73.1691,-46.3484,-45.9861,77.4915
27,76.5367,-45.7841,-45.6352,80.7929
28,77.4976,-45.2814,-45.3666,80.0193
29,80.8652,-44.8174,-45.1495,76.6909
30,84.225,-44.2192,-44.8667,73.3969
31,87.5047,-43.1098,-44.3027,70.3625
32,89.8632,-42.34,-43.8436,72.544
33,93.2308,-42.0271,-43.643,75.891
34,94.7224,-41.6835,-43.4127,77.3241
35,98.0899,-41.2633,-43.1083,73.9968
36,99.4205,-40.3756,-42.5231,74.7969
37,102.7828,-38.365,-42.2146,77.4741
38,104.4074,-37.5613,-41.8278,78.8319
39,105.5602,-38.3897,-41.1357,79.2365
40,107.8363,-37.7967,-40.6395,77.0958
41,109.273,-37.0415,-39.9955,78.1344
42,112.6405,-36.5745,-39.599,74.8231
43,115.1251,-34.27,-38.7315,74.4922
44,116.021,-34.7617,-37.9851,74.4307
45,116.9741,-34.1085,-37.355,74.1393
46,120.3417,-33.7958,-37.0243,77.476
47,123.2259,-33.4424,-36.6406,74.6393
48,124.2191,-33.2144,-36.3975,75.5749
49,127.5867,-33.0596,-36.2368,78.9351
50,130.9542,-32.9049,-36.076,82.2952
51,131.2892,-32.7145,-35.8646,82.1184
52,134.6568,-32.4923,-35.6078,78.768
53,136.8373,-30.55,-35.1537,77.8872
54,139.3859,-30.738,-34.7123,80.3902
55,140.1373,-31.3424,-34.3003,80.5624
56,143.5041,-31.0505,-33.9034,77.2318
57,146.8717,-30.7981,-33.6018,73.8873
58,148.0244,-30.5669,-33.3082,74.9778
59,151.392,-30.3465,-33.0187,78.3256
60,153.7539,-28.1914,-32.3941,77.5878
61,156.6877,-29.2716,-31.5362,74.9987
62,160.0521,-28.3977,-31.2239,71.7648
63,163.4132,-27.4296,-30.8856,68.5639
64,165.0313,-26.6499,-30.4535,67.2135
65,168.3989,-27.2535,-30.2807,70.522
66,171.7665,-27.8572,-30.108,73.8306
67,172.8053,-27.988,-29.5985,74.7264
68,175.657,-26.5008,-29.1975,77.1263
69,178.0412,-26.7776,-28.6556,79.4316
70,180.5843,-27.099,-28.0936,76.9723
71,182.714,-26.9206,-27.7773,79.0708
