index,x_model,y_model,z_model,x_real_m,y_real_m,z_real_m,arclength_model,arclength_real_m,segment
0,-64.987534,-52.000000,78.436935,-1.929805,-1.544140,2.329185,0.000000,0.000000,pool_arc
1,-61.131847,-51.500000,72.869576,-1.815310,-1.529292,2.163862,6.790568,0.201646,pool_arc
2,-72.570671,-51.000000,78.321091,-2.154986,-1.514445,2.325745,19.471881,0.578218,pool_arc
3,-53.892338,-50.500000,76.348358,-1.600333,-1.499597,2.267164,38.260756,1.136153,pool_arc
4,-64.082779,-50.000000,77.737564,-1.902938,-1.484750,2.308417,48.557599,1.441918,pool_arc
5,-60.466206,-49.500000,74.714371,-1.795544,-1.469902,2.218643,53.297779,1.582678,pool_arc
6,-56.606789,-49.000000,77.721130,-1.680939,-1.455055,2.307929,58.215675,1.728714,pool_arc
7,-53.580547,-48.500000,77.819099,-1.591074,-1.440207,2.310838,61.284508,1.819843,pool_arc
8,-51.739449,-48.000000,74.893188,-1.536403,-1.425360,2.223953,64.777443,1.923566,pool_arc
9,-50.131790,-47.500000,82.065155,-1.488664,-1.410513,2.436925,72.144374,2.142327,pool_arc
10,-48.775978,-47.000000,77.721123,-1.448403,-1.395665,2.307929,76.722457,2.278273,pool_arc
11,-47.508102,-46.500000,74.113457,-1.410753,-1.380818,2.200799,80.578979,2.392793,pool_arc
12,-46.370697,-46.000000,77.360977,-1.376978,-1.365970,2.297234,84.056058,2.496045,pool_arc
13,-45.566673,-45.500000,82.065079,-1.353102,-1.351123,2.436923,88.854498,2.638534,pool_arc
14,-44.497784,-45.000000,74.398132,-1.321362,-1.336275,2.209253,96.611726,2.868885,pool_arc
15,-43.452522,-44.500000,70.641228,-1.290323,-1.321427,2.097691,100.543253,2.985632,pool_arc
16,-42.583870,-44.000000,69.934845,-1.264528,-1.306580,2.076715,101.769440,3.022044,pool_arc
17,-41.803932,-43.500000,78.278275,-1.241368,-1.291732,2.324473,110.164148,3.271324,pool_arc
18,-41.113815,-43.000000,72.813164,-1.220875,-1.276885,2.162187,115.695305,3.435572,pool_arc
19,-40.339832,-42.500000,74.893166,-1.197891,-1.262037,2.223953,117.970268,3.503127,pool_arc
20,-36.879551,-42.000000,79.415390,-1.095138,-1.247190,2.358240,123.686390,3.672867,pool_arc
21,-38.859459,-41.500000,77.721069,-1.153932,-1.232342,2.307927,126.339833,3.751661,pool_arc
22,-38.214703,-41.000000,79.801117,-1.134786,-1.217495,2.369694,128.574181,3.818010,pool_arc
23,-37.634895,-40.500000,76.048264,-1.117568,-1.202647,2.258253,132.404335,3.931747,pool_arc
24,-37.046848,-40.000000,78.172325,-1.100106,-1.187800,2.321327,134.664299,3.998856,pool_arc
25,-36.458015,-39.500000,73.996803,-1.082621,-1.172953,2.197335,138.910675,4.124952,pool_arc
26,-35.845695,-39.000000,74.484482,-1.064438,-1.158105,2.211817,139.839527,4.152535,pool_arc
27,-32.911751,-38.500000,74.498886,-0.977314,-1.143258,2.212244,142.815806,4.240915,pool_arc
28,-34.777554,-38.000000,74.484482,-1.032719,-1.128410,2.211817,144.747497,4.298277,pool_arc
29,-34.245598,-37.500000,72.676781,-1.016923,-1.113563,2.158137,146.697051,4.356169,pool_arc
30,-33.772781,-37.000000,77.721054,-1.002883,-1.098715,2.307927,151.788048,4.507346,pool_arc
31,-33.313042,-36.500000,73.433189,-0.989231,-1.083867,2.180599,156.129377,4.636262,pool_arc
32,-32.831684,-36.000000,83.884315,-0.974937,-1.069020,2.490945,166.603524,4.947292,pool_arc
