angle,M,size,size_masked,score,p_raw,overlay_sample,p_adj,pass,replicate_pm2
0,15,15,13,-5.538461538461538,0.000999000999000999,RXGHBTSJLDDCK,0.10789210789210789,False,False
10,15,15,13,-5.538461538461538,0.000999000999000999,XIBWTQSUWKJKR,0.10789210789210789,False,False
20,15,15,9,-4.444444444444445,0.000999000999000999,BEAUDWIGR,0.10789210789210789,False,False
30,15,15,14,-5.714285714285714,0.000999000999000999,BXBFEZWBDCGUKC,0.10789210789210789,False,False
40,15,15,8,-4.0,0.000999000999000999,SBSDIWJA,0.10789210789210789,False,False
50,15,15,11,-5.137272727272727,0.000999000999000999,KUBWLINXCDA,0.10789210789210789,False,False
60,15,15,13,-5.538461538461538,0.000999000999000999,UOXFOJZUDIDKJ,0.10789210789210789,False,False
70,15,15,9,-4.444444444444445,0.000999000999000999,ULWQJIWNU,0.10789210789210789,False,False
80,15,15,12,-5.333333333333333,0.000999000999000999,OBULWSSEFXJG,0.10789210789210789,False,False
90,15,15,11,-5.14,0.000999000999000999,BRGOZJADUER,0.10789210789210789,False,False
