index,shift,schedule
0,14,period_5
1,17,period_5
2,1,period_5
3,13,period_5
4,2,period_5
5,14,period_5
6,17,period_5
7,1,period_5
8,13,period_5
9,2,period_5
10,14,period_5
11,17,period_5
12,1,period_5
13,13,period_5
14,2,period_5
15,14,period_5
16,17,period_5
17,1,period_5
18,13,period_5
19,2,period_5
20,14,period_5
21,17,period_5
22,1,period_5
23,13,period_5
24,2,period_5
25,14,period_5
26,17,period_5
27,1,period_5
28,13,period_5
29,2,period_5
30,14,period_5
31,17,period_5
32,1,period_5
33,13,period_5
34,2,period_5
35,14,period_5
36,17,period_5
37,1,period_5
38,13,period_5
39,2,period_5
40,14,period_5
41,17,period_5
42,1,period_5
43,13,period_5
44,2,period_5
45,14,period_5
46,17,period_5
47,1,period_5
48,13,period_5
49,2,period_5
50,14,period_5
51,17,period_5
52,1,period_5
53,13,period_5
54,2,period_5
55,14,period_5
56,17,period_5
57,1,period_5
58,13,period_5
59,2,period_5
60,14,period_5
61,17,period_5
62,1,period_5
63,11,period_5
64,17,period_5
65,2,period_5
66,5,period_5
67,15,period_5
68,11,period_5
69,9,period_5
70,8,period_5
71,7,period_5
72,20,period_5
73,0,period_5
74,2,period_5
75,14,period_5
76,17,period_5
77,1,period_5
78,13,period_5
79,2,period_5
80,14,period_5
81,17,period_5
82,1,period_5
83,13,period_5
84,2,period_5
85,14,period_5
86,17,period_5
87,1,period_5
88,13,period_5
89,2,period_5
90,14,period_5
91,17,period_5
92,1,period_5
93,13,period_5
94,2,period_5
95,14,period_5
96,17,period_5
