label,n,skip,ic_obs,rep2_obs,rep3_obs,kas3_obs,best_stat,best_obs,p_raw,p_adj
scan_angle116_M20,11,,0.10909090909090909,6.0,4.0,2.0,rep3,4.0,0.000999000999000999,0.15584415584415584
scan_angle116_M15,11,,0.10909090909090909,6.0,4.0,2.0,rep2,6.0,0.000999000999000999,0.15584415584415584
scan_angle116_M24,11,,0.10909090909090909,6.0,4.0,2.0,rep2,6.0,0.000999000999000999,0.15584415584415584
scan_angle108_M15,15,,0.09523809523809523,4.0,2.0,1.0,kas3,1.0,0.004995004995004995,0.7792207792207793
scan_angle114_M20,12,,0.13636363636363635,4.0,2.0,1.0,rep2,4.0,0.005994005994005994,0.935064935064935
scan_angle114_M24,12,,0.13636363636363635,4.0,2.0,1.0,kas3,1.0,0.005994005994005994,0.935064935064935
scan_angle112_M15,13,,0.11538461538461539,4.0,2.0,1.0,rep3,2.0,0.005994005994005994,0.935064935064935
scan_angle108_M24,24,,0.07971014492753623,8.0,2.0,1.0,rep2,8.0,0.005994005994005994,0.935064935064935
scan_angle330_M20,5,,0.0,0.0,0.0,0.0,ic,0.0,1.0,1.0
scan_angle332_M20,5,,0.0,0.0,0.0,0.0,ic,0.0,1.0,1.0
scan_angle62_M24,9,,0.05555555555555555,0.0,0.0,0.0,ic,0.05555555555555555,0.4875124875124875,1.0
scan_angle64_M24,11,,0.07272727272727272,0.0,0.0,0.0,ic,0.07272727272727272,0.24575424575424576,1.0
scan_angle66_M24,10,,0.06666666666666667,0.0,0.0,0.0,ic,0.06666666666666667,0.34265734265734266,1.0
scan_angle68_M24,7,,0.047619047619047616,0.0,0.0,0.0,ic,0.047619047619047616,0.6573426573426573,1.0
scan_angle70_M24,6,,0.06666666666666667,0.0,0.0,0.0,ic,0.06666666666666667,0.5294705294705294,1.0
scan_angle72_M24,7,,0.047619047619047616,0.0,0.0,0.0,ic,0.047619047619047616,0.6623376623376623,1.0
scan_angle74_M24,9,,0.05555555555555555,0.0,0.0,0.0,ic,0.05555555555555555,0.5134865134865135,1.0
scan_angle76_M24,10,,0.044444444444444446,0.0,0.0,0.0,ic,0.044444444444444446,0.6103896103896104,1.0
scan_angle60_M24,7,,0.09523809523809523,0.0,0.0,0.0,ic,0.09523809523809523,0.22677322677322678,1.0
scan_angle328_M20,5,,0.0,0.0,0.0,0.0,ic,0.0,1.0,1.0
scan_angle324_M20,5,,0.0,0.0,0.0,0.0,ic,0.0,1.0,1.0
scan_angle318_M20,7,,0.0,0.0,0.0,0.0,ic,0.0,1.0,1.0
scan_angle118_M20,5,,0.0,0.0,0.0,0.0,ic,0.0,1.0,1.0
scan_angle120_M20,5,,0.0,0.0,0.0,0.0,ic,0.0,1.0,1.0
scan_angle284_M20,6,,0.06666666666666667,0.0,0.0,0.0,ic,0.06666666666666667,0.5314685314685315,1.0
scan_angle286_M20,7,,0.09523809523809523,0.0,0.0,0.0,ic,0.09523809523809523,0.22577422577422576,1.0
scan_angle288_M20,10,,0.06666666666666667,0.0,0.0,0.0,ic,0.06666666666666667,0.3076923076923077,1.0
scan_angle290_M20,12,,0.10606060606060606,4.0,0.0,0.0,rep2,4.0,0.00999000999000999,1.0
scan_angle292_M20,9,,0.05555555555555555,0.0,0.0,0.0,ic,0.05555555555555555,0.4745254745254745,1.0
scan_angle294_M20,8,,0.03571428571428571,0.0,0.0,0.0,ic,0.03571428571428571,0.7402597402597403,1.0
scan_angle78_M24,10,,0.044444444444444446,0.0,0.0,0.0,ic,0.044444444444444446,0.5954045954045954,1.0
scan_angle296_M20,7,,0.09523809523809523,0.0,0.0,0.0,ic,0.09523809523809523,0.21878121878121878,1.0
scan_angle300_M20,6,,0.06666666666666667,0.0,0.0,0.0,ic,0.06666666666666667,0.5494505494505495,1.0
scan_angle304_M20,5,,0.1,0.0,0.0,0.0,ic,0.1,0.3726273726273726,1.0
scan_angle306_M20,7,,0.047619047619047616,0.0,0.0,0.0,ic,0.047619047619047616,0.6723276723276723,1.0
scan_angle308_M20,5,,0.0,0.0,0.0,0.0,ic,0.0,1.0,1.0
scan_angle310_M20,6,,0.0,0.0,0.0,0.0,ic,0.0,1.0,1.0
scan_angle312_M20,7,,0.0,0.0,0.0,0.0,ic,0.0,1.0,1.0
scan_angle314_M20,8,,0.0,0.0,0.0,0.0,ic,0.0,1.0,1.0
scan_angle316_M20,7,,0.0,0.0,0.0,0.0,ic,0.0,1.0,1.0
scan_angle298_M20,5,,0.1,0.0,0.0,0.0,ic,0.1,0.4025974025974026,1.0
