anchors_preserved,boundary,config,derived_count,mechanism,reduction,test_id,unknown_count
False,21,"boundary=21, mech=family_flip",47,family_flip,0,boundary_21_family_flip,50
False,21,"boundary=21, mech=keyword_3",47,keyword_3,0,boundary_21_keyword_3,50
False,21,"boundary=21, mech=keyword_4",47,keyword_4,0,boundary_21_keyword_4,50
False,21,"boundary=21, mech=keyword_5",47,keyword_5,0,boundary_21_keyword_5,50
False,30,"boundary=30, mech=family_flip",47,family_flip,0,boundary_30_family_flip,50
False,30,"boundary=30, mech=keyword_3",47,keyword_3,0,boundary_30_keyword_3,50
False,30,"boundary=30, mech=keyword_4",47,keyword_4,0,boundary_30_keyword_4,50
False,30,"boundary=30, mech=keyword_5",47,keyword_5,0,boundary_30_keyword_5,50
False,63,"boundary=63, mech=family_flip",47,family_flip,0,boundary_63_family_flip,50
False,63,"boundary=63, mech=keyword_3",47,keyword_3,0,boundary_63_keyword_3,50
False,63,"boundary=63, mech=keyword_4",47,keyword_4,0,boundary_63_keyword_4,50
False,63,"boundary=63, mech=keyword_5",47,keyword_5,0,boundary_63_keyword_5,50
False,69,"boundary=69, mech=family_flip",47,family_flip,0,boundary_69_family_flip,50
False,69,"boundary=69, mech=keyword_3",47,keyword_3,0,boundary_69_keyword_3,50
False,69,"boundary=69, mech=keyword_4",47,keyword_4,0,boundary_69_keyword_4,50
False,69,"boundary=69, mech=keyword_5",47,keyword_5,0,boundary_69_keyword_5,50
True,74,"boundary=74, mech=family_flip",47,family_flip,0,boundary_74_family_flip,50
True,74,"boundary=74, mech=keyword_3",47,keyword_3,0,boundary_74_keyword_3,50
True,74,"boundary=74, mech=keyword_4",47,keyword_4,0,boundary_74_keyword_4,50
True,74,"boundary=74, mech=keyword_5",47,keyword_5,0,boundary_74_keyword_5,50
True,80,"boundary=80, mech=family_flip",47,family_flip,0,boundary_80_family_flip,50
True,80,"boundary=80, mech=keyword_3",47,keyword_3,0,boundary_80_keyword_3,50
True,80,"boundary=80, mech=keyword_4",47,keyword_4,0,boundary_80_keyword_4,50
True,80,"boundary=80, mech=keyword_5",47,keyword_5,0,boundary_80_keyword_5,50
True,90,"boundary=90, mech=family_flip",47,family_flip,0,boundary_90_family_flip,50
True,90,"boundary=90, mech=keyword_3",47,keyword_3,0,boundary_90_keyword_3,50
True,90,"boundary=90, mech=keyword_4",47,keyword_4,0,boundary_90_keyword_4,50
True,90,"boundary=90, mech=keyword_5",47,keyword_5,0,boundary_90_keyword_5,50
