L,forced_slots,derived_positions,unknown_positions,unique_slots,max_per_slot,missing_slots,tail_covers,tail_percent
20,24,48,49,60,2,36,10,27.77777777777778
27,24,48,49,54,2,30,10,33.33333333333333
11,24,42,55,66,2,42,13,30.952380952380953
22,24,42,55,66,2,42,13,30.952380952380953
13,24,24,73,78,2,54,23,42.592592592592595
17,24,24,73,97,1,73,23,31.506849315068493
19,24,24,73,97,1,73,23,31.506849315068493
23,24,24,73,97,1,73,23,31.506849315068493
25,24,24,73,97,1,73,23,31.506849315068493
26,24,24,73,78,2,54,23,42.592592592592595
28,24,24,73,84,2,60,23,38.333333333333336
29,24,24,73,97,1,73,23,31.506849315068493
31,24,24,73,97,1,73,23,31.506849315068493
37,24,24,73,97,1,73,23,31.506849315068493
41,24,24,73,97,1,73,23,31.506849315068493
43,24,24,73,97,1,73,23,31.506849315068493
47,24,24,73,97,1,73,23,31.506849315068493
53,24,24,73,97,1,73,23,31.506849315068493
59,24,24,73,97,1,73,23,31.506849315068493
61,24,24,73,97,1,73,23,31.506849315068493
67,24,24,73,97,1,73,23,31.506849315068493
71,24,24,73,97,1,73,23,31.506849315068493
73,24,24,73,97,1,73,23,31.506849315068493
79,24,24,73,97,1,73,23,31.506849315068493
83,24,24,73,97,1,73,23,31.506849315068493
89,24,24,73,97,1,73,23,31.506849315068493
97,24,24,73,97,1,73,23,31.506849315068493
