rank,token,start,L,phase,gains,forced_slots,score,uniformity,slot_reuse,class_skew
1,MERIDIAN,8,11,0,34,8,39.77,1.00,0,0.25
2,MERIDIAN,9,11,0,34,8,39.77,1.00,0,0.25
3,MERIDIAN,10,11,0,34,8,39.77,1.00,0,0.25
4,MERIDIAN,12,11,0,34,8,39.77,1.00,0,0.25
5,MERIDIAN,74,11,0,34,8,39.77,1.00,0,0.25
6,MERIDIAN,75,11,0,34,8,39.77,1.00,0,0.25
7,MERIDIAN,76,11,0,34,8,39.77,1.00,0,0.25
8,MERIDIAN,77,11,0,34,8,39.77,1.00,0,0.25
9,MERIDIAN,78,11,0,34,8,39.77,1.00,0,0.25
10,MERIDIAN,8,11,1,34,8,39.77,1.00,0,0.25
11,MERIDIAN,9,11,1,34,8,39.77,1.00,0,0.25
12,MERIDIAN,10,11,1,34,8,39.77,1.00,0,0.25
13,MERIDIAN,12,11,1,34,8,39.77,1.00,0,0.25
14,MERIDIAN,74,11,1,34,8,39.77,1.00,0,0.25
15,MERIDIAN,75,11,1,34,8,39.77,1.00,0,0.25
16,MERIDIAN,76,11,1,34,8,39.77,1.00,0,0.25
17,MERIDIAN,77,11,1,34,8,39.77,1.00,0,0.25
18,MERIDIAN,78,11,1,34,8,39.77,1.00,0,0.25
19,MERIDIAN,8,11,2,34,8,39.77,1.00,0,0.25
20,MERIDIAN,9,11,2,34,8,39.77,1.00,0,0.25
21,MERIDIAN,10,11,2,34,8,39.77,1.00,0,0.25
22,MERIDIAN,12,11,2,34,8,39.77,1.00,0,0.25
23,MERIDIAN,74,11,2,34,8,39.77,1.00,0,0.25
24,MERIDIAN,75,11,2,34,8,39.77,1.00,0,0.25
25,MERIDIAN,76,11,2,34,8,39.77,1.00,0,0.25
26,MERIDIAN,77,11,2,34,8,39.77,1.00,0,0.25
27,MERIDIAN,78,11,2,34,8,39.77,1.00,0,0.25
28,MERIDIAN,8,11,3,34,8,39.77,1.00,0,0.25
29,MERIDIAN,9,11,3,34,8,39.77,1.00,0,0.25
30,MERIDIAN,10,11,3,34,8,39.77,1.00,0,0.25
31,MERIDIAN,12,11,3,34,8,39.77,1.00,0,0.25
32,MERIDIAN,74,11,3,34,8,39.77,1.00,0,0.25
33,MERIDIAN,75,11,3,34,8,39.77,1.00,0,0.25
34,MERIDIAN,76,11,3,34,8,39.77,1.00,0,0.25
35,MERIDIAN,77,11,3,34,8,39.77,1.00,0,0.25
36,MERIDIAN,78,11,3,34,8,39.77,1.00,0,0.25
37,MERIDIAN,8,11,4,34,8,39.77,1.00,0,0.25
38,MERIDIAN,9,11,4,34,8,39.77,1.00,0,0.25
39,MERIDIAN,10,11,4,34,8,39.77,1.00,0,0.25
40,MERIDIAN,12,11,4,34,8,39.77,1.00,0,0.25
41,MERIDIAN,74,11,4,34,8,39.77,1.00,0,0.25
42,MERIDIAN,75,11,4,34,8,39.77,1.00,0,0.25
43,MERIDIAN,76,11,4,34,8,39.77,1.00,0,0.25
44,MERIDIAN,77,11,4,34,8,39.77,1.00,0,0.25
45,MERIDIAN,78,11,4,34,8,39.77,1.00,0,0.25
46,MERIDIAN,8,11,5,34,8,39.77,1.00,0,0.25
47,MERIDIAN,9,11,5,34,8,39.77,1.00,0,0.25
48,MERIDIAN,10,11,5,34,8,39.77,1.00,0,0.25
49,MERIDIAN,12,11,5,34,8,39.77,1.00,0,0.25
50,MERIDIAN,74,11,5,34,8,39.77,1.00,0,0.25
51,MERIDIAN,75,11,5,34,8,39.77,1.00,0,0.25
52,MERIDIAN,76,11,5,34,8,39.77,1.00,0,0.25
