test_id,base_count,additional_count,total_count,derived_count,closed,sha_match
incremental_0,47,0,47,47,False,False
incremental_10,47,10,57,57,False,False
incremental_20,47,20,67,67,False,False
incremental_30,47,30,77,77,False,False
incremental_40,47,40,87,87,False,False
incremental_45,47,45,92,92,False,False
incremental_48,47,48,95,95,False,False
incremental_49,47,49,96,96,False,False
incremental_50,47,50,97,97,True,True
class_0_only,47,9,56,56,False,False
class_1_only,47,8,55,55,False,False
class_2_only,47,9,56,56,False,False
class_3_only,47,7,54,54,False,False
class_4_only,47,9,56,56,False,False
class_5_only,47,8,55,55,False,False
greedy_slot_45,47,45,92,92,False,False
greedy_slot_49,47,49,96,96,False,False
greedy_slot_50,47,50,97,97,True,True
