index,class,slot_mod17,mod2,mod3,mod6
0,0,0,0,0,0
1,4,1,1,1,1
2,2,2,0,2,2
3,3,3,1,0,3
4,1,4,0,1,4
5,5,5,1,2,5
6,0,6,0,0,0
7,4,7,1,1,1
8,2,8,0,2,2
9,3,9,1,0,3
10,1,10,0,1,4
11,5,11,1,2,5
12,0,12,0,0,0
13,4,13,1,1,1
14,2,14,0,2,2
15,3,15,1,0,3
16,1,16,0,1,4
17,5,0,1,2,5
18,0,1,0,0,0
19,4,2,1,1,1
20,2,3,0,2,2
34,1,0,0,1,4
35,5,1,1,2,5
36,0,2,0,0,0
37,4,3,1,1,1
38,2,4,0,2,2
39,3,5,1,0,3
40,1,6,0,1,4
41,5,7,1,2,5
42,0,8,0,0,0
43,4,9,1,1,1
44,2,10,0,2,2
45,3,11,1,0,3
46,1,12,0,1,4
47,5,13,1,2,5
48,0,14,0,0,0
49,4,15,1,1,1
50,2,16,0,2,2
51,3,0,1,0,3
52,1,1,0,1,4
53,5,2,1,2,5
54,0,3,0,0,0
55,4,4,1,1,1
56,2,5,0,2,2
57,3,6,1,0,3
58,1,7,0,1,4
59,5,8,1,2,5
60,0,9,0,0,0
61,4,10,1,1,1
62,2,11,0,2,2
