scenario_id,east_start,ne_start,berlin_start,clock_start,berlin_clock_mode,feasible,optionA_ok,wheels_solved,pt_sha256,matches_winner_pt,tail_str,families_json,L_json,phase_json,seed_u64,runtime_ms
PERT_000,20,25,63,69,SPLIT,False,True,True,,False,,[],[],[],17440482170506076254,14
PERT_001,20,25,63,69,COMBINED,False,True,True,,False,,[],[],[],3667373345655916681,14
PERT_002,21,25,63,69,SPLIT,False,True,True,,False,,[],[],[],10431487111201277771,14
PERT_003,21,25,63,69,COMBINED,False,True,True,,False,,[],[],[],12491628378510339102,14
PERT_004,22,25,63,69,SPLIT,False,True,True,,False,,[],[],[],16881854296636518471,13
PERT_005,22,25,63,69,COMBINED,False,True,True,,False,,[],[],[],4917808100693823448,13
PERT_006,21,24,63,69,SPLIT,False,True,True,,False,,[],[],[],2451580319460800246,14
PERT_007,21,24,63,69,COMBINED,False,True,True,,False,,[],[],[],10227160586686268401,14
PERT_008,21,25,63,69,SPLIT,False,True,True,,False,,[],[],[],15985181579106129011,13
PERT_010,21,26,63,69,SPLIT,False,True,True,,False,,[],[],[],3481346734095224874,11
PERT_009,21,25,63,69,COMBINED,False,True,True,,False,,[],[],[],13067575229815114169,13
PERT_011,21,26,63,69,COMBINED,False,True,True,,False,,[],[],[],2494086726746389152,12
PERT_012,21,25,62,69,SPLIT,False,True,True,,False,,[],[],[],16140655166189488244,13
PERT_014,21,25,63,69,SPLIT,False,True,True,,False,,[],[],[],8296902144721120797,13
PERT_013,21,25,62,69,COMBINED,False,True,True,,False,,[],[],[],2637606085267611255,13
PERT_015,21,25,63,69,COMBINED,False,True,True,,False,,[],[],[],4567655666459528829,13
PERT_016,21,25,64,69,SPLIT,False,True,True,,False,,[],[],[],14079315866137505686,13
PERT_017,21,25,64,69,COMBINED,False,True,True,,False,,[],[],[],246543270897470139,13
PERT_018,21,25,63,68,SPLIT,False,True,True,,False,,[],[],[],16742074550151375294,14
PERT_019,21,25,63,68,COMBINED,False,True,True,,False,,[],[],[],2701143449577466271,13
PERT_020,21,25,63,69,SPLIT,False,True,True,,False,,[],[],[],3743603262692762115,14
PERT_021,21,25,63,69,COMBINED,False,True,True,,False,,[],[],[],18120265686061023790,14
PERT_022,21,25,63,70,SPLIT,False,True,True,,False,,[],[],[],5072495523410470986,15
PERT_023,21,25,63,70,COMBINED,False,True,True,,False,,[],[],[],7187641915921808010,14
PERT_024,22,26,64,70,SPLIT,False,True,True,,False,,[],[],[],8436369613023281908,12
PERT_026,21,25,63,69,COMBINED,False,True,True,,False,,[],[],[],2291706777106210394,13
PERT_025,20,24,62,68,SPLIT,False,True,True,,False,,[],[],[],16962117534703840504,14
