pattern_id,family_name,params_json,feasible,reason,pt_sha256,wheels_json_path
BASELINE,((i%2)*3)+(i%3),"{""families"": [""vigenere"", ""vigenere"", ""beaufort"", ""vigenere"", ""beaufort"", ""vigenere""], ""periods"": [17, 17, 17, 17, 17, 17]}",True,success,4eceb739ab655d6f4ec87753569b8bf04573fe26d01c0caa68d36776dd052d79,04_EXPERIMENTS/core_hardening_v2/skeleton_survey_v2/PROOFS/BASELINE.json
A_2_3_1,(((i%2)*1)+(i%3))%6,"{""classes"": 4}",False,wrong_class_count:4,,
A_2_3_2,(((i%2)*2)+(i%3))%6,"{""classes"": 5}",False,wrong_class_count:5,,
A_2_3_3,(((i%2)*3)+(i%3))%6,"{""incomplete_positions"": 26}",False,incomplete_derivation,,
A_2_3_4,(((i%2)*4)+(i%3))%6,"{""classes"": 5}",False,wrong_class_count:5,,
A_3_2_1,(((i%3)*1)+(i%2))%6,"{""classes"": 4}",False,wrong_class_count:4,,
A_3_2_2,(((i%3)*2)+(i%2))%6,"{""incomplete_positions"": 26}",False,incomplete_derivation,,
A_3_2_3,(((i%3)*3)+(i%2))%6,"{""classes"": 4}",False,wrong_class_count:4,,
A_3_2_4,(((i%3)*4)+(i%2))%6,"{""incomplete_positions"": 26}",False,incomplete_derivation,,
A_4_3_1,(((i%4)*1)+(i%3))%6,"{""incomplete_positions"": 37}",False,incomplete_derivation,,
A_4_3_2,(((i%4)*2)+(i%3))%6,"{""incomplete_positions"": 44}",False,incomplete_derivation,,
A_4_3_3,(((i%4)*3)+(i%3))%6,"{""incomplete_positions"": 26}",False,incomplete_derivation,,
A_3_4_1,(((i%3)*1)+(i%4))%6,"{""incomplete_positions"": 37}",False,incomplete_derivation,,
A_3_4_2,(((i%3)*2)+(i%4))%6,"{""incomplete_positions"": 32}",False,incomplete_derivation,,
A_3_4_3,(((i%3)*3)+(i%4))%6,"{""incomplete_positions"": 51}",False,incomplete_derivation,,
A_5_2_1,(((i%5)*1)+(i%2))%6,"{""incomplete_positions"": 45}",False,incomplete_derivation,,
A_5_2_2,(((i%5)*2)+(i%2))%6,"{""incomplete_positions"": 55}",False,incomplete_derivation,,
A_5_2_3,(((i%5)*3)+(i%2))%6,"{""classes"": 4}",False,wrong_class_count:4,,
A_2_5_1,(((i%2)*1)+(i%5))%6,"{""incomplete_positions"": 45}",False,incomplete_derivation,,
A_2_5_2,(((i%2)*2)+(i%5))%6,"{""incomplete_positions"": 60}",False,incomplete_derivation,,
A_2_5_3,(((i%2)*3)+(i%5))%6,"{""incomplete_positions"": 58}",False,incomplete_derivation,,
B1_PARITY,even:((i%2)*3)+(i%3);odd:((i%3)*2)+(i%2),"{""classes"": 5}",False,wrong_class_count:5,,
B2_MOD6_PERM,even:i%6;odd:perm[i%6],"{""classes"": 3}",False,wrong_class_count:3,,
B3_TRIPLE,i%3→different rules,"{""classes"": 4}",False,wrong_class_count:4,,
C_PHASE_1,baseline(i+1),"{""incomplete_positions"": 26}",False,incomplete_derivation,,
C_PHASE_2,baseline(i+2),"{""incomplete_positions"": 26}",False,incomplete_derivation,,
C_PHASE_3,baseline(i+3),"{""incomplete_positions"": 26}",False,incomplete_derivation,,
C_PHASE_4,baseline(i+4),"{""incomplete_positions"": 26}",False,incomplete_derivation,,
C_PHASE_5,baseline(i+5),"{""incomplete_positions"": 26}",False,incomplete_derivation,,
C_PHASE_6,baseline(i+6),"{""incomplete_positions"": 26}",False,incomplete_derivation,,
C_PHASE_7,baseline(i+7),"{""incomplete_positions"": 26}",False,incomplete_derivation,,
C_PHASE_8,baseline(i+8),"{""incomplete_positions"": 26}",False,incomplete_derivation,,
C_PHASE_9,baseline(i+9),"{""incomplete_positions"": 26}",False,incomplete_derivation,,
C_PHASE_10,baseline(i+10),"{""incomplete_positions"": 26}",False,incomplete_derivation,,
C_PHASE_11,baseline(i+11),"{""incomplete_positions"": 26}",False,incomplete_derivation,,
D1_XOR,map6[(i%2<<2)^(i%3)],"{""classes"": 5}",False,wrong_class_count:5,,
D2_MULT,map6[(i%2)*3+(i%3)],"{""incomplete_positions"": 26}",False,incomplete_derivation,,
D3_MULT_REV,map6_rev[(i%2)*3+(i%3)],"{""incomplete_positions"": 26}",False,incomplete_derivation,,
E_PATTERN_0,repeat_12[1337],"{""incomplete_positions"": 45}",False,incomplete_derivation,,
E_PATTERN_1,repeat_12[1338],"{""incomplete_positions"": 49}",False,incomplete_derivation,,
E_PATTERN_2,repeat_12[1339],"{""incomplete_positions"": 44}",False,incomplete_derivation,,
E_PATTERN_3,repeat_12[1340],"{""incomplete_positions"": 40}",False,incomplete_derivation,,
E_PATTERN_4,repeat_12[1341],"{""incomplete_positions"": 51}",False,incomplete_derivation,,
E_PATTERN_5,repeat_12[1342],"{""incomplete_positions"": 46}",False,incomplete_derivation,,
E_PATTERN_6,repeat_12[1343],"{""incomplete_positions"": 39}",False,incomplete_derivation,,
E_PATTERN_7,repeat_12[1344],"{""incomplete_positions"": 51}",False,incomplete_derivation,,
E_PATTERN_8,repeat_12[1345],"{""incomplete_positions"": 35}",False,incomplete_derivation,,
E_PATTERN_9,repeat_12[1346],"{""incomplete_positions"": 54}",False,incomplete_derivation,,
