subset_size,trials,feasible_count,mean_undetermined,min_undetermined,max_undetermined
0,1,0,73,73,73
1,10,0,72.0,72,72
2,10,0,71.0,71,71
3,10,0,70.0,70,70
4,10,0,69.0,69,69
5,10,0,68.0,68,68
6,10,0,67.0,67,67
7,10,0,66.0,66,66
8,10,0,65.0,65,65
9,10,0,64.0,64,64
10,10,0,63.0,63,63
11,10,0,62.0,62,62
12,10,0,61.0,61,61
13,10,0,60.0,60,60
14,10,0,59.0,59,59
15,10,0,58.0,58,58
16,10,0,57.0,57,57
17,10,0,56.0,56,56
18,10,0,55.0,55,55
19,10,0,54.0,54,54
20,10,0,53.0,53,53
21,10,0,52.0,52,52
22,10,0,51.0,51,51
