Class,Slot,Indices,Count
0,0,0 30 60 90,4
0,1,,0
0,2,,0
0,3,18 48 78,3
0,4,,0
0,5,,0
0,6,6 36 66 96,4
0,7,,0
0,8,,0
0,9,24 54 84,3
0,10,,0
0,11,,0
0,12,12 42 72,3
0,13,,0
0,14,,0
1,0,,0
1,1,16 46 76,3
1,2,,0
1,3,,0
1,4,4 34 64 94,4
1,5,,0
1,6,,0
1,7,22 52 82,3
1,8,,0
1,9,,0
1,10,10 40 70,3
1,11,,0
1,12,,0
1,13,28 58 88,3
1,14,,0
2,0,,0
2,1,,0
2,2,2 32 62 92,4
2,3,,0
2,4,,0
2,5,20 50 80,3
2,6,,0
2,7,,0
2,8,8 38 68,3
2,9,,0
2,10,,0
2,11,26 56 86,3
2,12,,0
2,13,,0
2,14,14 44 74,3
3,0,15 45 75,3
3,1,,0
3,2,,0
3,3,3 33 63 93,4
3,4,,0
3,5,,0
3,6,21 51 81,3
3,7,,0
3,8,,0
3,9,9 39 69,3
3,10,,0
3,11,,0
3,12,27 57 87,3
3,13,,0
3,14,,0
4,0,,0
4,1,1 31 61 91,4
4,2,,0
4,3,,0
4,4,19 49 79,3
4,5,,0
4,6,,0
4,7,7 37 67,3
4,8,,0
4,9,,0
4,10,25 55 85,3
4,11,,0
4,12,,0
4,13,13 43 73,3
4,14,,0
5,0,,0
5,1,,0
5,2,17 47 77,3
5,3,,0
5,4,,0
5,5,5 35 65 95,4
5,6,,0
5,7,,0
5,8,23 53 83,3
5,9,,0
5,10,,0
5,11,11 41 71,3
5,12,,0
5,13,,0
5,14,29 59 89,3
