path,type,regex_hit,severity,note
/Users/aviswerdlow/Downloads/Kryptos Team/k4_cli_plus/experiments/alternates/scripts/confirm_and_nulls.py,code,(?i)(simulated|mock|placeholde...,HIGH,Simulation keyword
/Users/aviswerdlow/Downloads/Kryptos Team/k4_cli_plus/experiments/alternates/scripts/confirm_and_nulls.py,code,# Mock|# Simulated|# Placehold...,HIGH,Simulation comment
/Users/aviswerdlow/Downloads/Kryptos Team/k4_cli_plus/experiments/alternates/scripts/run_frame_variant.py,code,(?i)(simulated|mock|placeholde...,HIGH,Simulation keyword
/Users/aviswerdlow/Downloads/Kryptos Team/k4_cli_plus/experiments/audit/scripts/link_hygiene.py,code,(?i)(simulated|mock|placeholde...,HIGH,Simulation keyword
/Users/aviswerdlow/Downloads/Kryptos Team/k4_cli_plus/experiments/audit/scripts/sim_detector.py,code,(?i)(simulated|mock|placeholde...,HIGH,Simulation keyword
/Users/aviswerdlow/Downloads/Kryptos Team/k4_cli_plus/experiments/audit/scripts/sim_detector.py,code,# Mock|# Simulated|# Placehold...,HIGH,Simulation comment
/Users/aviswerdlow/Downloads/Kryptos Team/k4_cli_plus/experiments/audit/scripts/validate_bundle.py,code,(?i)(simulated|mock|placeholde...,HIGH,Simulation keyword
/Users/aviswerdlow/Downloads/Kryptos Team/k4_cli_plus/experiments/blinded_panel/scripts/create_blinded_panel.py,code,(?i)(simulated|mock|placeholde...,HIGH,Simulation keyword
/Users/aviswerdlow/Downloads/Kryptos Team/k4_cli_plus/experiments/internal_push/runs/2025-09-05/intake/sample_winner/coverage_report.json,json,missing: t2_sha256,HIGH,Missing coverage fields
/Users/aviswerdlow/Downloads/Kryptos Team/k4_cli_plus/experiments/internal_push/runs/2025-09-05/intake/sample_winner/holm_report_canonical.json,json,missing: metrics,HIGH,Missing nulls fields
/Users/aviswerdlow/Downloads/Kryptos Team/k4_cli_plus/experiments/internal_push/runs/2025-09-05/intake/sample_winner/phrase_gate_report.json,json,missing accepted_by,HIGH,Missing or empty accepted_by field
/Users/aviswerdlow/Downloads/Kryptos Team/k4_cli_plus/experiments/internal_push/scripts/generate_irregular_grid.py,code,(?i)(simulated|mock|placeholde...,HIGH,Simulation keyword
/Users/aviswerdlow/Downloads/Kryptos Team/k4_cli_plus/experiments/internal_push/scripts/intake_validate.py,code,(?i)(simulated|mock|placeholde...,HIGH,Simulation keyword
/Users/aviswerdlow/Downloads/Kryptos Team/k4_cli_plus/experiments/p74/runs/20250903_final/P74_A/coverage_report.json,json,"missing: t2_sha256,seed_recipe,seed_u64",HIGH,Missing coverage fields
/Users/aviswerdlow/Downloads/Kryptos Team/k4_cli_plus/experiments/p74/runs/20250903_final/P74_A/holm_report_canonical.json,json,"missing: K,metrics",HIGH,Missing nulls fields
/Users/aviswerdlow/Downloads/Kryptos Team/k4_cli_plus/experiments/p74/runs/20250903_final/P74_B/coverage_report.json,json,"missing: t2_sha256,seed_recipe,seed_u64",HIGH,Missing coverage fields
/Users/aviswerdlow/Downloads/Kryptos Team/k4_cli_plus/experiments/p74/runs/20250903_final/P74_B/holm_report_canonical.json,json,"missing: K,metrics",HIGH,Missing nulls fields
/Users/aviswerdlow/Downloads/Kryptos Team/k4_cli_plus/experiments/p74/runs/20250903_final/P74_C/coverage_report.json,json,"missing: t2_sha256,seed_recipe,seed_u64",HIGH,Missing coverage fields
/Users/aviswerdlow/Downloads/Kryptos Team/k4_cli_plus/experiments/p74/runs/20250903_final/P74_C/holm_report_canonical.json,json,"missing: K,metrics",HIGH,Missing nulls fields
/Users/aviswerdlow/Downloads/Kryptos Team/k4_cli_plus/experiments/p74/runs/20250903_final/P74_D/coverage_report.json,json,"missing: t2_sha256,seed_recipe,seed_u64",HIGH,Missing coverage fields
/Users/aviswerdlow/Downloads/Kryptos Team/k4_cli_plus/experiments/p74/runs/20250903_final/P74_D/holm_report_canonical.json,json,"missing: K,metrics",HIGH,Missing nulls fields
/Users/aviswerdlow/Downloads/Kryptos Team/k4_cli_plus/experiments/p74/runs/20250903_final/P74_E/coverage_report.json,json,"missing: t2_sha256,seed_recipe,seed_u64",HIGH,Missing coverage fields
/Users/aviswerdlow/Downloads/Kryptos Team/k4_cli_plus/experiments/p74/runs/20250903_final/P74_E/holm_report_canonical.json,json,"missing: K,metrics",HIGH,Missing nulls fields
/Users/aviswerdlow/Downloads/Kryptos Team/k4_cli_plus/experiments/p74/runs/20250903_final/P74_F/coverage_report.json,json,"missing: t2_sha256,seed_recipe,seed_u64",HIGH,Missing coverage fields
/Users/aviswerdlow/Downloads/Kryptos Team/k4_cli_plus/experiments/p74/runs/20250903_final/P74_F/holm_report_canonical.json,json,"missing: K,metrics",HIGH,Missing nulls fields
/Users/aviswerdlow/Downloads/Kryptos Team/k4_cli_plus/experiments/p74/runs/20250903_final/P74_G/coverage_report.json,json,"missing: t2_sha256,seed_recipe,seed_u64",HIGH,Missing coverage fields
/Users/aviswerdlow/Downloads/Kryptos Team/k4_cli_plus/experiments/p74/runs/20250903_final/P74_G/holm_report_canonical.json,json,"missing: K,metrics",HIGH,Missing nulls fields
/Users/aviswerdlow/Downloads/Kryptos Team/k4_cli_plus/experiments/p74/runs/20250903_final/P74_H/coverage_report.json,json,"missing: t2_sha256,seed_recipe,seed_u64",HIGH,Missing coverage fields
/Users/aviswerdlow/Downloads/Kryptos Team/k4_cli_plus/experiments/p74/runs/20250903_final/P74_H/holm_report_canonical.json,json,"missing: K,metrics",HIGH,Missing nulls fields
/Users/aviswerdlow/Downloads/Kryptos Team/k4_cli_plus/experiments/p74/runs/20250903_final/P74_I/coverage_report.json,json,"missing: t2_sha256,seed_recipe,seed_u64",HIGH,Missing coverage fields
