route_id,classing,P74,lawful,AND_pass,holm_cov_adj,holm_fw_adj,publishable,tail_75_96
GRID_W14_ROWS,c6a,T,True,True,0.001,0.001,True,HEJOYOFANANGLEISTHEARC
GRID_W14_ROWS,c6a,S,True,True,0.001,0.001,True,HEJOYOFANANGLEISTHEARC
GRID_W14_ROWS,c6a,A,True,True,0.001,0.001,True,HEJOYOFANANGLEISTHEARC
GRID_W14_ROWS,c6a,I,True,True,0.001,0.001,True,HEJOYOFANANGLEISTHEARC
GRID_W14_ROWS,c6a,O,True,True,0.001,0.001,True,HEJOYOFANANGLEISTHEARC
GRID_W14_ROWS,c6a,N,True,True,0.001,0.001,True,HEJOYOFANANGLEISTHEARC
GRID_W14_ROWS,c6a,R,True,True,0.001,0.001,True,HEJOYOFANANGLEISTHEARC
GRID_W14_ROWS,c6a,E,True,True,0.001,0.001,True,HEJOYOFANANGLEISTHEARC
GRID_W14_ROWS,c6a,H,True,True,0.001,0.001,True,HEJOYOFANANGLEISTHEARC
GRID_W14_ROWS,c6a,L,True,True,0.001,0.001,True,HEJOYOFANANGLEISTHEARC
GRID_W14_ROWS,c6a,D,True,True,0.001,0.001,True,HEJOYOFANANGLEISTHEARC
GRID_W14_ROWS,c6a,U,True,True,0.001,0.001,True,HEJOYOFANANGLEISTHEARC
GRID_W14_ROWS,c6a,M,True,True,0.001,0.001,True,HEJOYOFANANGLEISTHEARC
GRID_W14_ROWS,c6a,F,True,True,0.001,0.001,True,HEJOYOFANANGLEISTHEARC
GRID_W14_ROWS,c6a,C,True,True,0.001,0.001,True,HEJOYOFANANGLEISTHEARC
GRID_W14_ROWS,c6a,G,True,True,0.001,0.001,True,HEJOYOFANANGLEISTHEARC
GRID_W14_ROWS,c6a,Y,True,True,0.001,0.001,True,HEJOYOFANANGLEISTHEARC
GRID_W14_ROWS,c6a,P,True,True,0.001,0.001,True,HEJOYOFANANGLEISTHEARC
GRID_W14_ROWS,c6a,W,True,True,0.001,0.001,True,HEJOYOFANANGLEISTHEARC
GRID_W14_ROWS,c6a,B,True,True,0.001,0.001,True,HEJOYOFANANGLEISTHEARC
GRID_W14_ROWS,c6a,V,True,True,0.001,0.001,True,HEJOYOFANANGLEISTHEARC
GRID_W14_ROWS,c6a,K,True,True,0.001,0.001,True,HEJOYOFANANGLEISTHEARC
GRID_W14_ROWS,c6a,J,True,True,0.001,0.001,True,HEJOYOFANANGLEISTHEARC
GRID_W14_ROWS,c6a,X,True,True,0.001,0.001,True,HEJOYOFANANGLEISTHEARC
GRID_W14_ROWS,c6a,Q,True,True,0.001,0.001,True,HEJOYOFANANGLEISTHEARC
GRID_W14_ROWS,c6a,Z,True,True,0.001,0.001,True,HEJOYOFANANGLEISTHEARC
