neighbor_type,neighbor_id,original_score,neighbor_score,delta_score,delta_coverage,within_tie
single,single_0,0.16,0.16111111111111112,0.0011111111111111183,0.0,True
single,single_1,0.16,0.16,0.0,0.0,True
single,single_2,0.16,0.16,0.0,0.0,True
single,single_3,0.16,0.12388888888888888,-0.03611111111111112,-0.11111111111111116,False
single,single_4,0.16,0.12277777777777778,-0.037222222222222226,-0.11111111111111116,False
single,single_5,0.16,0.12388888888888888,-0.03611111111111112,-0.11111111111111116,False
single,single_6,0.16,0.14222222222222222,-0.01777777777777778,-0.05555555555555558,True
single,single_7,0.16,0.14222222222222222,-0.01777777777777778,-0.05555555555555558,True
single,single_8,0.16,0.145,-0.015000000000000013,-0.05555555555555558,True
single,single_9,0.16,0.16111111111111112,0.0011111111111111183,0.0,True
single,single_10,0.16,0.16111111111111112,0.0011111111111111183,0.0,True
single,single_11,0.16,0.16,0.0,0.0,True
single,single_12,0.16,0.15888888888888889,-0.0011111111111111183,0.0,True
single,single_13,0.16,0.15888888888888889,-0.0011111111111111183,0.0,True
single,single_14,0.16,0.16,0.0,0.0,True
single,single_15,0.16,0.16,0.0,0.0,True
single,single_16,0.16,0.14055555555555557,-0.01944444444444443,-0.05555555555555558,True
single,single_17,0.16,0.12277777777777778,-0.037222222222222226,-0.11111111111111116,False
single,single_18,0.16,0.12166666666666666,-0.038333333333333344,-0.11111111111111116,False
single,single_19,0.16,0.12555555555555556,-0.034444444444444444,-0.11111111111111116,False
single,single_20,0.16,0.16,0.0,0.0,True
double,double_0,0.16,0.16111111111111112,0.0011111111111111183,0.0,True
double,double_1,0.16,0.125,-0.035,-0.11111111111111116,False
double,double_2,0.16,0.12388888888888888,-0.03611111111111112,-0.11111111111111116,False
double,double_3,0.16,0.125,-0.035,-0.11111111111111116,False
double,double_4,0.16,0.14333333333333334,-0.016666666666666663,-0.05555555555555558,True
double,double_5,0.16,0.14333333333333334,-0.016666666666666663,-0.05555555555555558,True
double,double_6,0.16,0.1461111111111111,-0.013888888888888895,-0.05555555555555558,True
double,double_7,0.16,0.1622222222222222,0.0022222222222222088,0.0,True
double,double_8,0.16,0.1622222222222222,0.0022222222222222088,0.0,True
double,double_9,0.16,0.16111111111111112,0.0011111111111111183,0.0,True
double,double_10,0.16,0.16,0.0,0.0,True
double,double_11,0.16,0.16,0.0,0.0,True
double,double_12,0.16,0.16111111111111112,0.0011111111111111183,0.0,True
double,double_13,0.16,0.16111111111111112,0.0011111111111111183,0.0,True
double,double_14,0.16,0.14166666666666666,-0.01833333333333334,-0.05555555555555558,True
double,double_15,0.16,0.12388888888888888,-0.03611111111111112,-0.11111111111111116,False
double,double_16,0.16,0.12277777777777778,-0.037222222222222226,-0.11111111111111116,False
double,double_17,0.16,0.12666666666666665,-0.033333333333333354,-0.11111111111111116,False
double,double_18,0.16,0.16111111111111112,0.0011111111111111183,0.0,True
double,double_19,0.16,0.12277777777777778,-0.037222222222222226,-0.11111111111111116,False
double,double_20,0.16,0.12277777777777778,-0.037222222222222226,-0.11111111111111116,False
double,double_21,0.16,0.12388888888888888,-0.03611111111111112,-0.11111111111111116,False
double,double_22,0.16,0.14222222222222222,-0.01777777777777778,-0.05555555555555558,True
double,double_23,0.16,0.14222222222222222,-0.01777777777777778,-0.05555555555555558,True
