label,route,corridor_ok,delta_vs_shuffled,delta_vs_fixed_r1,anchor_delta_r1,delta_vs_fixed_r2,anchor_delta_r2,delta_vs_fixed_r3,anchor_delta_r3,delta_vs_fixed_r4,anchor_delta_r4
H_INSTRUCTIONAL_SIGNAGE_00_V1,GRID_W14_ROWS,True,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_DECLARATIVE_PROSE_04_V2,GRID_W14_ROWS,True,0.15000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_NEUTRAL_IMPERATIVE_03_V0,GRID_W14_ROWS,True,0.14999999999999947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_INSTRUCTIONAL_SIGNAGE_02_V1,GRID_W14_ROWS,True,0.1499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_NEUTRAL_IMPERATIVE_00_V2,GRID_W14_ROWS,True,0.15000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_NEUTRAL_IMPERATIVE_04_V2,GRID_W14_ROWS,True,0.15000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_MINIMALIST_DECLARATIVE_01_V0,GRID_W14_ROWS,True,0.15000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_INSTRUCTIONAL_SIGNAGE_03_V2,GRID_W14_ROWS,True,0.14999999999999947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_MINIMALIST_DECLARATIVE_03_V0,GRID_W14_ROWS,True,0.15000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_INSTRUCTIONAL_SIGNAGE_04_V1,GRID_W14_ROWS,True,0.15000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_MINIMALIST_DECLARATIVE_03_V2,GRID_W14_ROWS,True,0.14999999999999947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_MINIMALIST_04,GRID_W14_ROWS,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012500000000001066,0.08333333333333333
H_MUSEUM_CAPTION_03_V0,GRID_W14_ROWS,True,0.1499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_DECLARATIVE_PROSE_01_V2,GRID_W14_ROWS,True,0.15000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_NEUTRAL_IMPERATIVE_02_V0,GRID_W14_ROWS,True,0.1499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_DECLARATIVE_PROSE_01_V0,GRID_W14_ROWS,True,0.15000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_INSTRUCTIONAL_SIGNAGE_04_V0,GRID_W14_ROWS,True,0.15000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_NEUTRAL_IMPERATIVE_01_V0,GRID_W14_ROWS,True,0.14999999999999947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_MINIMALIST_DECLARATIVE_04_V2,GRID_W14_ROWS,True,0.15000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_INSTRUCTIONAL_SIGNAGE_01_V0,GRID_W14_ROWS,True,0.1499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_MINIMALIST_DECLARATIVE_02_V0,GRID_W14_ROWS,True,0.15000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_NEUTRAL_IMPERATIVE_03_V2,GRID_W14_ROWS,True,0.15000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_NEUTRAL_IMPERATIVE_04_V0,GRID_W14_ROWS,True,0.15000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_MINIMALIST_00,GRID_W14_ROWS,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01249999999999929,0.08333333333333333
