label,route,delta_vs_shuffled_fixed,delta_vs_shuffled_r2,delta_vs_shuffled_r3,delta_vs_shuffled_r4,delta_vs_fixed_r2,delta_vs_fixed_r3,delta_vs_fixed_r4
B0002,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0061,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0049,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0023,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0038,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0013,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0054,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0056,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0039,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0040,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0065,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0026,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0018,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0014,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0003,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0033,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0027,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0001,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0006,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0015,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0025,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0008,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0022,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0035,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0007,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0004,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0044,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0059,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0067,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0045,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0052,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0053,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0043,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0041,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0068,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0028,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0064,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0058,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0010,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0069,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0060,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0031,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0036,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0048,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0016,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0063,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0057,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0024,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0034,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0037,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0009,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0032,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0055,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0066,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0011,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0029,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0051,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0020,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0005,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0070,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0050,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0021,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0012,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0046,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0017,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0019,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0062,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0030,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0047,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0042,GRID_W14_ROWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
