label,seed_u64,arm,fw_post,verb_post,cov_post,pattern_post,delta_windowed_min,delta_shuffled,passed_head_gate,passed_deltas,leakage_diff
HEAD_00,10703616161622850427,A,23,2,0.8823529411764706,True,0.34021786492374684,0.17010893246187342,1,1,0.0
HEAD_01,13090451440531909799,A,23,2,0.8823529411764706,True,0.34021786492374684,0.17010893246187342,1,1,0.0
HEAD_02,13683542060426772316,A,15,2,0.85,True,0.4194444444444443,0.20972222222222214,1,1,0.0
HEAD_03,9934357344551199032,A,18,2,0.8823529411764706,True,0.34021786492374684,0.17010893246187342,1,1,0.0
HEAD_04,14159493773846325436,A,14,2,0.85,True,0.4194444444444443,0.20972222222222214,1,1,0.0
HEAD_05,15613459079833865540,A,21,2,0.8787878787878788,True,0.3536858974358972,0.1768429487179486,1,1,0.0
HEAD_06,9176909003849143184,A,16,2,0.85,True,0.4194444444444443,0.20972222222222214,1,1,0.0
HEAD_07,13958752991732266769,A,13,2,0.85,True,0.47857142857142865,0.23928571428571432,1,1,0.0
HEAD_08,1706772296666690069,A,11,2,0.85,True,0.44705882352941195,0.22352941176470598,1,1,0.0
HEAD_09,11624431075201963032,A,12,1,0.85,True,0.27739938080495374,0.13869969040247687,1,1,0.0
HEAD_10,2723011768035941521,A,14,3,0.85,True,0.3569444444444443,0.17847222222222214,1,1,0.0
HEAD_11,4583867692944105248,A,15,3,0.85,True,0.4194444444444443,0.20972222222222214,1,1,0.0
HEAD_12,6051573173032205351,A,15,1,0.85,True,0.31666666666666643,0.15833333333333321,1,1,0.0
HEAD_13,819540217221583359,A,20,3,0.8857142857142857,True,0.34021786492374684,0.17010893246187342,1,1,0.0
HEAD_14,16231054945296850372,A,19,2,0.8571428571428571,True,0.38398268398268387,0.19199134199134194,1,1,0.0
HEAD_15,13578156951612518162,A,25,2,0.8823529411764706,True,0.34021786492374684,0.17010893246187342,1,1,0.0
HEAD_16,6818225366580373039,A,18,2,0.8787878787878788,True,0.3536858974358972,0.1768429487179486,1,1,0.0
HEAD_17,17267596991283750868,A,15,3,0.85,True,0.4194444444444443,0.20972222222222214,1,1,0.0
HEAD_18,5481058956051901754,A,14,3,0.85,True,0.3569444444444443,0.17847222222222214,1,1,0.0
HEAD_19,386734084084477187,A,18,2,0.8787878787878788,True,0.3536858974358972,0.1768429487179486,1,1,0.0
HEAD_20,13961871563806178806,A,14,3,0.85,True,0.47857142857142865,0.23928571428571432,1,1,0.0
HEAD_21,820716032148234953,A,22,2,0.8709677419354839,True,0.3536858974358972,0.1768429487179486,1,1,0.0
HEAD_22,2178193444317276359,A,17,3,0.85,True,0.4194444444444443,0.20972222222222214,1,1,0.0
HEAD_23,8502993200427317055,A,18,2,0.8823529411764706,True,0.34021786492374684,0.17010893246187342,1,1,0.0
HEAD_24,11738806056851030178,A,14,3,0.875,True,0.328675191815857,0.1643375959079285,1,1,0.0
HEAD_25,7760575852807844271,A,14,1,0.85,True,0.3177777777777777,0.15888888888888886,1,1,0.0
HEAD_26,16308644883468597086,A,14,3,0.85,True,0.39504643962848274,0.19752321981424137,1,1,0.0
HEAD_27,16345859946786690041,A,24,2,0.8857142857142857,True,0.32771672771672744,0.16385836385836372,1,1,0.0
HEAD_28,8468587667118526838,A,12,1,0.85,True,0.3177777777777777,0.15888888888888886,1,1,0.0
HEAD_29,8682083037202130456,A,13,3,0.85,True,0.3569444444444443,0.17847222222222214,1,1,0.0
HEAD_30,9713069199359143547,A,17,3,0.8787878787878788,True,0.368231884057971,0.1841159420289855,1,1,0.0
HEAD_31,14025833081335416694,A,19,3,0.875,True,0.38844696969696946,0.19422348484848473,1,1,0.0
HEAD_32,13525961559570984731,A,24,2,0.8787878787878788,True,0.3536858974358972,0.1768429487179486,1,1,0.0
HEAD_33,14803678476797390494,A,13,3,0.85,True,0.3569444444444443,0.17847222222222214,1,1,0.0
HEAD_34,7712823768353611645,A,8,3,0.85,True,0.3137254901960782,0.1568627450980391,0,1,0.0
HEAD_35,8353529579381749720,A,19,3,0.8518518518518519,True,0.39504643962848274,0.19752321981424137,1,1,0.0
HEAD_36,16505268541459969824,A,20,2,0.8823529411764706,True,0.34021786492374684,0.17010893246187342,1,1,0.0
HEAD_37,14798905515817721327,A,16,3,0.8518518518518519,True,0.39504643962848274,0.19752321981424137,1,1,0.0
HEAD_38,12253159899279343520,A,18,2,0.8620689655172413,True,0.38398268398268387,0.19199134199134194,1,1,0.0
HEAD_39,14738846338821136225,A,13,3,0.85,True,0.3569444444444443,0.17847222222222214,1,1,0.0
HEAD_40,6513237495333987912,A,17,2,0.8571428571428571,True,0.3538847117794486,0.1769423558897243,1,1,0.0
HEAD_41,16471346428801537077,A,11,2,0.85,True,0.44705882352941195,0.22352941176470598,1,1,0.0
HEAD_42,16233368177553055410,A,15,3,0.85,True,0.2944444444444443,0.14722222222222214,1,1,0.0
HEAD_43,5423435411577136045,A,20,3,0.8666666666666667,True,0.35859213250517596,0.17929606625258798,1,1,0.0
HEAD_44,1537510331713077212,A,13,3,0.85,True,0.3569444444444443,0.17847222222222214,1,1,0.0
HEAD_45,3284911744327727027,A,22,2,0.8857142857142857,True,0.32771672771672744,0.16385836385836372,1,1,0.0
HEAD_46,1769165059971939447,A,12,3,0.85,True,0.44705882352941195,0.22352941176470598,1,1,0.0
HEAD_47,10292861510018340537,A,16,3,0.8518518518518519,True,0.39504643962848274,0.19752321981424137,1,1,0.0
HEAD_48,1867374517031594321,A,16,1,0.85,True,0.27739938080495374,0.13869969040247687,1,1,0.0
HEAD_49,4253430287851825493,A,13,2,0.85,True,0.39504643962848274,0.19752321981424137,1,1,0.0
HEAD_00,1975402098572957550,B,15,2,0.85,True,0.39504643962848274,0.19752321981424137,1,1,0.0
HEAD_01,13460563473273333777,B,14,2,0.85,True,0.39504643962848274,0.19752321981424137,1,1,0.0
HEAD_02,3950149287242314772,B,13,2,0.8571428571428571,True,0.3536858974358976,0.1768429487179488,1,1,0.0
HEAD_03,13776871397737721034,B,12,2,0.85,True,0.5137254901960779,0.25686274509803897,1,1,0.0
HEAD_04,15511068292415480193,B,8,2,0.85,True,0.6069930069930067,0.30349650349650337,0,1,0.0
HEAD_05,2922814630681453225,B,16,2,0.85,True,0.4470588235294115,0.22352941176470575,1,1,0.0
HEAD_06,16833068982366365622,B,16,2,0.85,True,0.4470588235294115,0.22352941176470575,1,1,0.0
HEAD_07,13093165621624778819,B,13,2,0.85,True,0.4194444444444443,0.20972222222222214,1,1,0.0
HEAD_08,10815399083731120431,B,15,3,0.85,True,0.3362229102167178,0.1681114551083589,1,1,0.0
