rank,token,start,L,phase,gains,forced_slots,score,uniformity,slot_reuse,class_skew
1,MERIDIAN,8,11,0,34,8,39.77,1.00,0,0.25
2,MERIDIAN,9,11,0,34,8,39.77,1.00,0,0.25
3,MERIDIAN,10,11,0,34,8,39.77,1.00,0,0.25
4,MERIDIAN,12,11,0,34,8,39.77,1.00,0,0.25
5,MERIDIAN,34,11,0,26,8,31.78,1.00,0,0.25
6,MERIDIAN,35,11,0,26,8,31.78,1.00,0,0.25
7,MERIDIAN,36,11,0,26,8,31.78,1.00,0,0.25
8,MERIDIAN,37,11,0,26,8,31.78,1.00,0,0.25
9,MERIDIAN,38,11,0,26,8,31.78,1.00,0,0.25
10,MERIDIAN,39,11,0,26,8,31.78,1.00,0,0.25
11,MERIDIAN,40,11,0,26,8,31.78,1.00,0,0.25
12,MERIDIAN,41,11,0,26,8,31.78,1.00,0,0.25
13,MERIDIAN,42,11,0,26,8,31.78,1.00,0,0.25
14,MERIDIAN,43,11,0,26,8,31.78,1.00,0,0.25
15,MERIDIAN,44,11,0,26,8,31.78,1.00,0,0.25
16,MERIDIAN,45,11,0,26,8,31.78,1.00,0,0.25
17,MERIDIAN,46,11,0,26,8,31.78,1.00,0,0.25
18,MERIDIAN,47,11,0,26,8,31.78,1.00,0,0.25
19,MERIDIAN,48,11,0,26,8,31.78,1.00,0,0.25
20,MERIDIAN,49,11,0,26,8,31.78,1.00,0,0.25
21,MERIDIAN,50,11,0,26,8,31.78,1.00,0,0.25
22,MERIDIAN,52,11,0,26,8,31.78,1.00,0,0.25
23,MERIDIAN,53,11,0,26,8,31.78,1.00,0,0.25
24,MERIDIAN,55,11,0,26,8,31.78,1.00,0,0.25
25,MERIDIAN,74,11,0,34,8,39.77,1.00,0,0.25
26,MERIDIAN,75,11,0,34,8,39.77,1.00,0,0.25
27,MERIDIAN,76,11,0,34,8,39.77,1.00,0,0.25
28,MERIDIAN,77,11,0,34,8,39.77,1.00,0,0.25
29,MERIDIAN,78,11,0,34,8,39.77,1.00,0,0.25
30,MERIDIAN,8,11,1,34,8,39.77,1.00,0,0.25
31,MERIDIAN,9,11,1,34,8,39.77,1.00,0,0.25
32,MERIDIAN,10,11,1,34,8,39.77,1.00,0,0.25
33,MERIDIAN,12,11,1,34,8,39.77,1.00,0,0.25
34,MERIDIAN,34,11,1,26,8,31.78,1.00,0,0.25
35,MERIDIAN,35,11,1,26,8,31.78,1.00,0,0.25
36,MERIDIAN,36,11,1,26,8,31.78,1.00,0,0.25
37,MERIDIAN,37,11,1,26,8,31.78,1.00,0,0.25
38,MERIDIAN,38,11,1,26,8,31.78,1.00,0,0.25
39,MERIDIAN,39,11,1,26,8,31.78,1.00,0,0.25
40,MERIDIAN,40,11,1,26,8,31.78,1.00,0,0.25
41,MERIDIAN,41,11,1,26,8,31.78,1.00,0,0.25
42,MERIDIAN,42,11,1,26,8,31.78,1.00,0,0.25
43,MERIDIAN,43,11,1,26,8,31.78,1.00,0,0.25
44,MERIDIAN,44,11,1,26,8,31.78,1.00,0,0.25
45,MERIDIAN,45,11,1,26,8,31.78,1.00,0,0.25
46,MERIDIAN,46,11,1,26,8,31.78,1.00,0,0.25
47,MERIDIAN,47,11,1,26,8,31.78,1.00,0,0.25
48,MERIDIAN,48,11,1,26,8,31.78,1.00,0,0.25
49,MERIDIAN,49,11,1,26,8,31.78,1.00,0,0.25
50,MERIDIAN,50,11,1,26,8,31.78,1.00,0,0.25
