P74,route_id,classing,encrypts_to_ct,and_pass,holm_cov_adj,holm_fw_adj,publishable
A,GRID_W14_ROWS,c6a,True,True,0.0080,0.0090,True
B,GRID_W14_ROWS,c6a,True,True,0.0080,0.0090,True
C,GRID_W14_ROWS,c6a,True,True,0.0080,0.0090,True
D,GRID_W14_ROWS,c6a,True,True,0.0080,0.0090,True
E,GRID_W14_ROWS,c6a,True,True,0.0080,0.0090,True
F,GRID_W14_ROWS,c6a,True,True,0.0080,0.0090,True
G,GRID_W14_ROWS,c6a,True,True,0.0080,0.0090,True
H,GRID_W14_ROWS,c6a,True,True,0.0080,0.0090,True
I,GRID_W14_ROWS,c6a,True,True,0.0080,0.0090,True
J,GRID_W14_ROWS,c6a,True,True,0.0080,0.0090,True
K,GRID_W14_ROWS,c6a,True,True,0.0080,0.0090,True
L,GRID_W14_ROWS,c6a,True,True,0.0080,0.0090,True
M,GRID_W14_ROWS,c6a,True,True,0.0080,0.0090,True
N,GRID_W14_ROWS,c6a,True,True,0.0080,0.0090,True
O,GRID_W14_ROWS,c6a,True,True,0.0080,0.0090,True
P,GRID_W14_ROWS,c6a,True,True,0.0080,0.0090,True
Q,GRID_W14_ROWS,c6a,True,True,0.0080,0.0090,True
R,GRID_W14_ROWS,c6a,True,True,0.0080,0.0090,True
S,GRID_W14_ROWS,c6a,True,True,0.0080,0.0090,True
T,GRID_W14_ROWS,c6a,True,True,0.0080,0.0090,True
U,GRID_W14_ROWS,c6a,True,True,0.0080,0.0090,True
V,GRID_W14_ROWS,c6a,True,True,0.0080,0.0090,True
W,GRID_W14_ROWS,c6a,True,True,0.0080,0.0090,True
X,GRID_W14_ROWS,c6a,True,True,0.0080,0.0090,True
Y,GRID_W14_ROWS,c6a,True,True,0.0080,0.0090,True
Z,GRID_W14_ROWS,c6a,True,True,0.0080,0.0090,True
