P74,feasible,route_id,classing,encrypts_to_ct,and_pass,holm_cov_adj,holm_fw_adj,publishable,fail_reason
A,True,GRID_W14_ROWS,c6a,True,False,1.0,1.0,False,not_evaluated
B,True,GRID_W14_ROWS,c6a,True,False,1.0,1.0,False,not_evaluated
C,True,GRID_W14_ROWS,c6a,True,False,1.0,1.0,False,not_evaluated
D,True,GRID_W14_ROWS,c6a,True,False,1.0,1.0,False,not_evaluated
E,True,GRID_W14_ROWS,c6a,True,False,1.0,1.0,False,not_evaluated
F,True,GRID_W14_ROWS,c6a,True,False,1.0,1.0,False,not_evaluated
G,True,GRID_W14_ROWS,c6a,True,False,1.0,1.0,False,not_evaluated
H,True,GRID_W14_ROWS,c6a,True,False,1.0,1.0,False,not_evaluated
I,True,GRID_W14_ROWS,c6a,True,False,1.0,1.0,False,not_evaluated
J,True,GRID_W14_ROWS,c6a,True,False,1.0,1.0,False,not_evaluated
K,True,GRID_W14_ROWS,c6a,True,False,1.0,1.0,False,not_evaluated
L,True,GRID_W14_ROWS,c6a,True,False,1.0,1.0,False,not_evaluated
M,True,GRID_W14_ROWS,c6a,True,False,1.0,1.0,False,not_evaluated
N,True,GRID_W14_ROWS,c6a,True,False,1.0,1.0,False,not_evaluated
O,True,GRID_W14_ROWS,c6a,True,False,1.0,1.0,False,not_evaluated
P,True,GRID_W14_ROWS,c6a,True,False,1.0,1.0,False,not_evaluated
Q,True,GRID_W14_ROWS,c6a,True,False,1.0,1.0,False,not_evaluated
R,True,GRID_W14_ROWS,c6a,True,False,1.0,1.0,False,not_evaluated
S,True,GRID_W14_ROWS,c6a,True,False,1.0,1.0,False,not_evaluated
T,True,GRID_W14_ROWS,c6a,True,False,1.0,1.0,False,not_evaluated
U,True,GRID_W14_ROWS,c6a,True,False,1.0,1.0,False,not_evaluated
V,True,GRID_W14_ROWS,c6a,True,False,1.0,1.0,False,not_evaluated
W,True,GRID_W14_ROWS,c6a,True,False,1.0,1.0,False,not_evaluated
X,True,GRID_W14_ROWS,c6a,True,False,1.0,1.0,False,not_evaluated
Y,True,GRID_W14_ROWS,c6a,True,False,1.0,1.0,False,not_evaluated
Z,True,GRID_W14_ROWS,c6a,True,False,1.0,1.0,False,not_evaluated
