label,campaign,route,mode,score_norm,delta_vs_shuffled,delta_vs_windowed,pass_explore,corridor_ok,notes
H_INSTRUCTIONAL_SIGNAGE_00_V0,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_INSTRUCTIONAL_SIGNAGE_00_V1,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_INSTRUCTIONAL_SIGNAGE_00_V2,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_INSTRUCTIONAL_SIGNAGE_01_V0,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_INSTRUCTIONAL_SIGNAGE_01_V1,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_INSTRUCTIONAL_SIGNAGE_01_V2,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_INSTRUCTIONAL_SIGNAGE_02_V0,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_INSTRUCTIONAL_SIGNAGE_02_V1,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_INSTRUCTIONAL_SIGNAGE_02_V2,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_INSTRUCTIONAL_SIGNAGE_03_V0,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_INSTRUCTIONAL_SIGNAGE_03_V1,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_INSTRUCTIONAL_SIGNAGE_03_V2,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_INSTRUCTIONAL_SIGNAGE_04_V0,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_INSTRUCTIONAL_SIGNAGE_04_V1,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_INSTRUCTIONAL_SIGNAGE_04_V2,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_DECLARATIVE_PROSE_00_V0,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_DECLARATIVE_PROSE_00_V1,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_DECLARATIVE_PROSE_00_V2,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_DECLARATIVE_PROSE_01_V0,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_DECLARATIVE_PROSE_01_V1,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_DECLARATIVE_PROSE_01_V2,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_DECLARATIVE_PROSE_02_V0,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_DECLARATIVE_PROSE_02_V1,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_DECLARATIVE_PROSE_02_V2,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_DECLARATIVE_PROSE_03_V0,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_DECLARATIVE_PROSE_03_V2,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_DECLARATIVE_PROSE_04_V0,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_DECLARATIVE_PROSE_04_V1,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_DECLARATIVE_PROSE_04_V2,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_MUSEUM_CAPTION_00_V0,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_MUSEUM_CAPTION_00_V2,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_MUSEUM_CAPTION_01_V0,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_MUSEUM_CAPTION_01_V1,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_MUSEUM_CAPTION_01_V2,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_MUSEUM_CAPTION_02_V0,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_MUSEUM_CAPTION_02_V2,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_MUSEUM_CAPTION_03_V0,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_MUSEUM_CAPTION_03_V1,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_MUSEUM_CAPTION_03_V2,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_MUSEUM_CAPTION_04_V0,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_MUSEUM_CAPTION_04_V2,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_NEUTRAL_IMPERATIVE_00_V0,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_NEUTRAL_IMPERATIVE_00_V2,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_NEUTRAL_IMPERATIVE_01_V0,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_NEUTRAL_IMPERATIVE_01_V1,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_NEUTRAL_IMPERATIVE_01_V2,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_NEUTRAL_IMPERATIVE_02_V0,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_NEUTRAL_IMPERATIVE_02_V2,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_NEUTRAL_IMPERATIVE_03_V0,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_NEUTRAL_IMPERATIVE_03_V2,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_NEUTRAL_IMPERATIVE_04_V0,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_NEUTRAL_IMPERATIVE_04_V2,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_MINIMALIST_DECLARATIVE_00_V0,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_MINIMALIST_DECLARATIVE_00_V2,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_MINIMALIST_DECLARATIVE_01_V0,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_MINIMALIST_DECLARATIVE_01_V2,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_MINIMALIST_DECLARATIVE_02_V0,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_MINIMALIST_DECLARATIVE_02_V1,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_MINIMALIST_DECLARATIVE_02_V2,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_MINIMALIST_DECLARATIVE_03_V0,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_MINIMALIST_DECLARATIVE_03_V2,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_MINIMALIST_DECLARATIVE_04_V0,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_MINIMALIST_DECLARATIVE_04_V2,2025-01-06-explore-H,GRID_W14_ROWS,,,0.1500,0.0000,False,True,
H_MINIMALIST_00,2025-01-06-explore-H,GRID_W14_ROWS,,,0.0000,-0.0125,False,False,
H_MINIMALIST_01,2025-01-06-explore-H,GRID_W14_ROWS,,,0.0000,-0.0125,False,False,
H_MINIMALIST_02,2025-01-06-explore-H,GRID_W14_ROWS,,,0.0000,-0.0125,False,False,
H_MINIMALIST_03,2025-01-06-explore-H,GRID_W14_ROWS,,,0.0000,-0.0125,False,False,
