label,category,delta_vs_shuffled_fixed,delta_vs_shuffled_r1,delta_vs_shuffled_r2,delta_vs_shuffled_r3,delta_vs_shuffled_r4,delta_vs_fixed_r1,delta_vs_fixed_r2,delta_vs_fixed_r3,delta_vs_fixed_r4,anchor_score_fixed,anchor_score_r1,anchor_score_r2,anchor_score_r3,anchor_score_r4,anchor_delta_fixed_r1,anchor_delta_fixed_r2,anchor_delta_fixed_r3,anchor_delta_fixed_r4
CORRIDOR_SHIFT-1_021,SHIFT-1,0.0,0.07499999999999996,0.07499999999999996,0.09999999999999998,0.11249999999999993,0.07499999999999996,0.07499999999999996,0.09999999999999998,0.11249999999999993,0.0,0.5,0.5,0.6666666666666666,0.75,0.5,0.5,0.6666666666666666,0.75
CORRIDOR_SHIFT+2_032,SHIFT+2,0.0,0.025000000000000022,0.025000000000000022,0.06666666666666665,0.08750000000000002,0.025000000000000022,0.025000000000000022,0.06666666666666665,0.08750000000000002,0.0,0.16666666666666666,0.16666666666666666,0.4444444444444445,0.5833333333333334,0.16666666666666666,0.16666666666666666,0.4444444444444445,0.5833333333333334
CORRIDOR_COMBO_SHIFT+1_TYPO_093,COMBO,0.050000000000000044,0.09999999999999998,0.09999999999999998,0.1166666666666667,0.125,0.04999999999999993,0.04999999999999993,0.06666666666666665,0.07499999999999996,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.4444444444444445,0.5
CORRIDOR_EAST_SHIFT+1_046,EAST,0.09999999999999998,0.11,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.010000000000000023,0.0,0.0,0.0,0.6666666666666666,0.7333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.06666666666666676,0.0,0.0,0.0
CORRIDOR_SHIFT-1_020,SHIFT-1,0.0,0.07499999999999996,0.07499999999999996,0.09999999999999998,0.11249999999999993,0.07499999999999996,0.07499999999999996,0.09999999999999998,0.11249999999999993,0.0,0.5,0.5,0.6666666666666666,0.75,0.5,0.5,0.6666666666666666,0.75
CORRIDOR_COMBO_SHIFT-1_TYPO_087,COMBO,0.050000000000000044,0.08499999999999996,0.07499999999999996,0.08333333333333337,0.08750000000000002,0.03499999999999992,0.02499999999999991,0.033333333333333326,0.03749999999999998,0.3333333333333333,0.5666666666666667,0.5,0.5555555555555556,0.5833333333333334,0.23333333333333334,0.16666666666666669,0.22222222222222227,0.25000000000000006
CORRIDOR_PERFECT_005,PERFECT,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
CORRIDOR_EAST_SHIFT-1_043,EAST,0.09999999999999999,0.125,0.125,0.1333333333333333,0.13749999999999996,0.025000000000000022,0.025000000000000022,0.033333333333333326,0.03749999999999998,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.888888888888889,0.9166666666666666,0.16666666666666674,0.16666666666666674,0.22222222222222232,0.25
CORRIDOR_SHIFT+2_034,SHIFT+2,0.0,0.025000000000000022,0.025000000000000022,0.06666666666666665,0.08750000000000002,0.025000000000000022,0.025000000000000022,0.06666666666666665,0.08750000000000002,0.0,0.16666666666666666,0.16666666666666666,0.4444444444444445,0.5833333333333334,0.16666666666666666,0.16666666666666666,0.4444444444444445,0.5833333333333334
CORRIDOR_PERFECT_007,PERFECT,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
